,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents Advice,Internet usage,Finances,Age,Siblings,Gender,Village - town
540,5.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,Sometimes,few hours a day,3.0,21.0,0.0,male,city
542,5.0,2.0,5.0,4.0,2.0,2.0,4.0,3.0,Sometimes,most of the day,2.0,29.0,1.0,,city
549,5.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,Sometimes,less than an hour a day,3.0,,1.0,female,village
550,5.0,1.0,5.0,3.0,3.0,5.0,5.0,5.0,Sometimes,few hours a day,1.0,17.0,3.0,female,village
553,3.0,3.0,4.0,2.0,3.0,5.0,5.0,3.0,Sometimes,few hours a day,2.0,18.0,1.0,female,village
554,4.0,3.0,4.0,2.0,5.0,3.0,2.0,3.0,Sometimes,few hours a day,3.0,19.0,0.0,male,village
559,5.0,1.0,5.0,1.0,1.0,2.0,1.0,5.0,Sometimes,most of the day,3.0,20.0,1.0,female,village
562,5.0,1.0,5.0,3.0,1.0,3.0,1.0,3.0,Sometimes,less than an hour a day,3.0,18.0,0.0,male,village
565,5.0,3.0,5.0,1.0,2.0,2.0,5.0,5.0,Sometimes,few hours a day,3.0,16.0,2.0,female,city
569,5.0,2.0,5.0,4.0,3.0,5.0,2.0,3.0,Sometimes,few hours a day,3.0,20.0,1.0,female,city
570,5.0,1.0,5.0,4.0,1.0,3.0,1.0,3.0,Sometimes,few hours a day,3.0,23.0,4.0,male,village
573,4.0,4.0,5.0,3.0,1.0,4.0,5.0,1.0,Sometimes,most of the day,1.0,17.0,3.0,male,city
574,5.0,5.0,5.0,3.0,1.0,4.0,1.0,3.0,Sometimes,less than an hour a day,3.0,20.0,1.0,female,village
576,5.0,3.0,5.0,3.0,3.0,4.0,4.0,2.0,Sometimes,few hours a day,1.0,21.0,3.0,male,city
538,5.0,3.0,5.0,4.0,1.0,5.0,5.0,1.0,Sometimes,few hours a day,4.0,20.0,1.0,female,village
537,5.0,2.0,5.0,4.0,2.0,1.0,2.0,2.0,Sometimes,few hours a day,3.0,25.0,3.0,male,city
536,5.0,5.0,5.0,3.0,1.0,5.0,5.0,1.0,Sometimes,few hours a day,1.0,19.0,1.0,female,city
535,5.0,4.0,5.0,3.0,3.0,5.0,1.0,3.0,Sometimes,few hours a day,1.0,17.0,2.0,male,village
505,5.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,Sometimes,few hours a day,2.0,20.0,3.0,male,village
507,5.0,1.0,4.0,3.0,2.0,3.0,5.0,4.0,Sometimes,few hours a day,3.0,21.0,1.0,female,village
510,5.0,2.0,4.0,3.0,3.0,5.0,1.0,2.0,Sometimes,less than an hour a day,3.0,22.0,1.0,male,village
513,5.0,3.0,4.0,2.0,5.0,4.0,1.0,3.0,Sometimes,most of the day,4.0,20.0,0.0,male,village
514,5.0,1.0,5.0,3.0,1.0,2.0,4.0,3.0,Sometimes,few hours a day,4.0,22.0,0.0,male,city
519,5.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,Sometimes,few hours a day,1.0,19.0,1.0,male,city
520,5.0,2.0,5.0,4.0,3.0,3.0,5.0,3.0,Sometimes,less than an hour a day,3.0,23.0,1.0,female,city
580,5.0,3.0,5.0,3.0,2.0,,1.0,1.0,Sometimes,few hours a day,5.0,21.0,0.0,male,city
521,5.0,3.0,5.0,3.0,1.0,4.0,1.0,4.0,Sometimes,few hours a day,1.0,20.0,0.0,female,city
523,5.0,3.0,5.0,2.0,,4.0,1.0,3.0,Sometimes,few hours a day,1.0,19.0,3.0,male,village
525,3.0,1.0,4.0,3.0,3.0,4.0,1.0,4.0,Sometimes,few hours a day,3.0,28.0,2.0,female,village
527,4.0,2.0,4.0,2.0,5.0,5.0,3.0,1.0,Sometimes,few hours a day,4.0,23.0,1.0,female,city
528,5.0,3.0,5.0,2.0,5.0,1.0,1.0,4.0,Sometimes,most of the day,3.0,20.0,2.0,male,city
529,5.0,1.0,4.0,5.0,1.0,3.0,1.0,3.0,Sometimes,few hours a day,3.0,20.0,1.0,male,city
533,5.0,3.0,5.0,3.0,3.0,1.0,1.0,4.0,Sometimes,few hours a day,3.0,21.0,3.0,male,city
534,5.0,2.0,5.0,3.0,1.0,5.0,5.0,4.0,Sometimes,few hours a day,3.0,21.0,1.0,female,city
522,5.0,4.0,5.0,2.0,1.0,5.0,2.0,1.0,Sometimes,few hours a day,3.0,18.0,2.0,female,city
663,5.0,2.0,4.0,4.0,3.0,1.0,2.0,3.0,Sometimes,no time at all,3.0,25.0,1.0,male,city
728,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,Sometimes,few hours a day,1.0,18.0,1.0,female,village
666,5.0,1.0,4.0,3.0,1.0,5.0,2.0,5.0,Sometimes,few hours a day,2.0,20.0,2.0,female,city
873,4.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,Sometimes,few hours a day,3.0,21.0,0.0,male,city
875,5.0,4.0,5.0,1.0,1.0,5.0,1.0,3.0,Sometimes,few hours a day,1.0,20.0,2.0,female,village
876,5.0,3.0,5.0,2.0,5.0,4.0,2.0,4.0,Sometimes,few hours a day,5.0,19.0,1.0,male,city
879,4.0,5.0,5.0,2.0,4.0,5.0,1.0,2.0,Sometimes,less than an hour a day,2.0,23.0,0.0,male,city
884,5.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,Sometimes,few hours a day,1.0,19.0,1.0,female,city
887,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,Sometimes,less than an hour a day,4.0,19.0,1.0,male,city
890,5.0,4.0,5.0,1.0,4.0,3.0,2.0,3.0,Sometimes,few hours a day,3.0,20.0,1.0,male,city
891,5.0,3.0,5.0,4.0,2.0,4.0,3.0,3.0,Sometimes,few hours a day,3.0,21.0,2.0,male,village
892,5.0,1.0,5.0,3.0,4.0,2.0,3.0,2.0,Sometimes,few hours a day,3.0,19.0,1.0,male,city
893,5.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,Sometimes,less than an hour a day,4.0,17.0,0.0,female,village
895,4.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0,Sometimes,few hours a day,3.0,16.0,1.0,male,village
896,5.0,1.0,5.0,4.0,1.0,3.0,2.0,2.0,Sometimes,few hours a day,4.0,22.0,1.0,male,village
897,5.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,Sometimes,few hours a day,2.0,23.0,2.0,male,city
898,5.0,1.0,5.0,4.0,1.0,3.0,2.0,2.0,Sometimes,less than an hour a day,3.0,28.0,2.0,female,village
899,5.0,1.0,3.0,4.0,3.0,5.0,1.0,3.0,Sometimes,few hours a day,2.0,20.0,2.0,male,city
872,5.0,4.0,5.0,2.0,1.0,2.0,2.0,3.0,Sometimes,few hours a day,3.0,20.0,1.0,male,village
870,5.0,4.0,5.0,2.0,3.0,2.0,4.0,1.0,Sometimes,few hours a day,4.0,25.0,1.0,female,city
864,5.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,Sometimes,few hours a day,2.0,20.0,1.0,male,village
863,5.0,5.0,5.0,3.0,1.0,5.0,2.0,3.0,Sometimes,few hours a day,3.0,21.0,1.0,male,village
819,5.0,2.0,4.0,3.0,3.0,5.0,2.0,1.0,Sometimes,less than an hour a day,4.0,17.0,0.0,female,city
821,5.0,1.0,5.0,5.0,1.0,5.0,3.0,4.0,Sometimes,few hours a day,1.0,17.0,1.0,male,city
824,5.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,Sometimes,most of the day,4.0,29.0,1.0,female,city
825,4.0,1.0,5.0,2.0,2.0,5.0,2.0,3.0,Sometimes,few hours a day,2.0,21.0,1.0,female,city
826,5.0,1.0,5.0,4.0,1.0,1.0,4.0,3.0,Sometimes,few hours a day,1.0,20.0,1.0,female,village
828,1.0,4.0,5.0,2.0,3.0,2.0,2.0,2.0,Sometimes,few hours a day,4.0,19.0,1.0,male,village
832,5.0,1.0,3.0,3.0,1.0,2.0,5.0,2.0,Sometimes,few hours a day,1.0,20.0,1.0,female,village
902,5.0,2.0,5.0,4.0,3.0,3.0,4.0,2.0,Sometimes,few hours a day,2.0,,,male,city
833,3.0,2.0,5.0,3.0,2.0,1.0,2.0,3.0,Sometimes,few hours a day,4.0,19.0,1.0,male,city
839,4.0,1.0,5.0,2.0,1.0,5.0,2.0,2.0,Sometimes,few hours a day,2.0,23.0,1.0,female,city
843,5.0,3.0,5.0,5.0,1.0,5.0,5.0,3.0,Sometimes,few hours a day,4.0,20.0,1.0,female,city
845,4.0,1.0,5.0,5.0,2.0,4.0,3.0,3.0,Sometimes,most of the day,1.0,20.0,1.0,female,city
856,5.0,3.0,5.0,4.0,4.0,5.0,4.0,2.0,Sometimes,few hours a day,2.0,17.0,1.0,female,city
858,3.0,1.0,5.0,5.0,2.0,1.0,1.0,5.0,Sometimes,few hours a day,4.0,20.0,2.0,male,village
859,5.0,4.0,5.0,3.0,2.0,5.0,2.0,3.0,Sometimes,few hours a day,2.0,20.0,1.0,male,city
860,5.0,5.0,5.0,3.0,1.0,4.0,3.0,1.0,Sometimes,few hours a day,2.0,20.0,2.0,male,city
835,4.0,1.0,5.0,4.0,4.0,1.0,3.0,3.0,Sometimes,few hours a day,3.0,19.0,0.0,male,city
905,5.0,3.0,5.0,5.0,1.0,2.0,1.0,1.0,Sometimes,few hours a day,4.0,23.0,1.0,male,city
913,5.0,3.0,5.0,4.0,3.0,2.0,5.0,4.0,Sometimes,few hours a day,4.0,21.0,1.0,female,city
916,4.0,1.0,5.0,4.0,1.0,4.0,1.0,4.0,Sometimes,few hours a day,1.0,21.0,1.0,male,city
960,5.0,1.0,5.0,5.0,3.0,1.0,3.0,1.0,Sometimes,few hours a day,3.0,,,female,city
961,5.0,4.0,5.0,5.0,5.0,5.0,1.0,3.0,Sometimes,few hours a day,5.0,20.0,3.0,male,village
964,5.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,Sometimes,few hours a day,4.0,21.0,3.0,male,city
965,5.0,4.0,5.0,5.0,1.0,1.0,5.0,5.0,Sometimes,few hours a day,3.0,17.0,2.0,female,city
968,5.0,3.0,5.0,2.0,5.0,4.0,1.0,2.0,Sometimes,few hours a day,3.0,19.0,2.0,male,city
970,5.0,1.0,5.0,2.0,4.0,3.0,2.0,5.0,Sometimes,few hours a day,1.0,22.0,1.0,male,city
973,5.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,Sometimes,most of the day,4.0,20.0,2.0,female,city
956,5.0,1.0,5.0,3.0,2.0,4.0,1.0,4.0,Sometimes,most of the day,3.0,20.0,2.0,male,city
979,5.0,2.0,5.0,5.0,3.0,4.0,4.0,2.0,Sometimes,few hours a day,3.0,19.0,0.0,male,city
986,4.0,4.0,4.0,5.0,5.0,1.0,1.0,3.0,Sometimes,few hours a day,1.0,19.0,3.0,female,city
988,5.0,,5.0,5.0,4.0,1.0,1.0,5.0,Sometimes,few hours a day,1.0,19.0,0.0,male,city
989,5.0,5.0,3.0,5.0,1.0,1.0,1.0,5.0,Sometimes,most of the day,3.0,30.0,2.0,female,village
992,4.0,5.0,4.0,5.0,5.0,1.0,5.0,3.0,Sometimes,most of the day,1.0,30.0,1.0,male,city
993,5.0,2.0,5.0,1.0,1.0,2.0,3.0,4.0,Sometimes,few hours a day,4.0,21.0,0.0,female,city
998,5.0,5.0,5.0,3.0,5.0,1.0,1.0,2.0,Sometimes,few hours a day,4.0,28.0,1.0,male,city
999,5.0,5.0,4.0,4.0,5.0,1.0,2.0,3.0,Sometimes,few hours a day,3.0,19.0,1.0,male,city
983,5.0,2.0,5.0,2.0,1.0,4.0,5.0,2.0,Sometimes,few hours a day,2.0,22.0,2.0,female,village
818,4.0,4.0,3.0,4.0,1.0,4.0,1.0,2.0,Sometimes,few hours a day,2.0,24.0,2.0,male,village
955,5.0,1.0,4.0,5.0,5.0,5.0,2.0,2.0,Sometimes,few hours a day,3.0,19.0,1.0,female,city
950,5.0,3.0,5.0,4.0,1.0,5.0,5.0,5.0,Sometimes,most of the day,5.0,15.0,0.0,male,village
918,4.0,1.0,5.0,5.0,2.0,4.0,1.0,4.0,Sometimes,most of the day,4.0,21.0,1.0,female,village
920,4.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,Sometimes,few hours a day,3.0,20.0,2.0,female,city
922,5.0,4.0,5.0,2.0,3.0,5.0,5.0,3.0,Sometimes,few hours a day,3.0,20.0,1.0,female,city
926,5.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,Sometimes,few hours a day,4.0,22.0,1.0,male,city
929,3.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,Sometimes,few hours a day,3.0,27.0,1.0,female,city
930,5.0,3.0,5.0,3.0,1.0,1.0,5.0,5.0,Sometimes,few hours a day,3.0,18.0,5.0,female,city
933,5.0,1.0,5.0,4.0,2.0,5.0,5.0,4.0,Sometimes,few hours a day,3.0,17.0,3.0,female,city
953,5.0,1.0,5.0,4.0,3.0,4.0,5.0,3.0,Sometimes,few hours a day,4.0,20.0,1.0,female,city
934,5.0,4.0,5.0,2.0,2.0,4.0,4.0,2.0,Sometimes,few hours a day,2.0,19.0,0.0,,city
936,4.0,3.0,4.0,2.0,2.0,2.0,5.0,4.0,Sometimes,few hours a day,2.0,21.0,0.0,female,city
942,5.0,5.0,5.0,4.0,1.0,5.0,1.0,5.0,Sometimes,most of the day,4.0,24.0,0.0,male,village
943,4.0,2.0,5.0,3.0,4.0,5.0,2.0,2.0,Sometimes,less than an hour a day,2.0,22.0,2.0,female,city
945,5.0,1.0,3.0,4.0,5.0,5.0,1.0,1.0,Sometimes,few hours a day,1.0,22.0,1.0,male,city
946,5.0,2.0,5.0,3.0,1.0,1.0,4.0,4.0,Sometimes,few hours a day,1.0,22.0,0.0,male,city
947,5.0,1.0,4.0,2.0,1.0,3.0,3.0,4.0,Sometimes,few hours a day,3.0,16.0,1.0,female,village
949,5.0,2.0,5.0,1.0,2.0,5.0,1.0,3.0,Sometimes,most of the day,3.0,18.0,3.0,female,city
935,5.0,1.0,5.0,3.0,1.0,5.0,5.0,3.0,Sometimes,few hours a day,3.0,16.0,1.0,female,city
665,5.0,4.0,5.0,4.0,1.0,5.0,3.0,3.0,Sometimes,few hours a day,3.0,20.0,1.0,female,city
815,5.0,2.0,5.0,4.0,4.0,5.0,1.0,1.0,Sometimes,few hours a day,3.0,20.0,1.0,male,city
808,5.0,3.0,5.0,2.0,1.0,1.0,2.0,2.0,Sometimes,few hours a day,2.0,20.0,1.0,male,city
697,5.0,1.0,5.0,2.0,4.0,1.0,5.0,4.0,Sometimes,most of the day,2.0,20.0,1.0,female,city
699,5.0,2.0,5.0,2.0,1.0,1.0,2.0,3.0,Sometimes,few hours a day,2.0,20.0,1.0,female,city
700,5.0,1.0,5.0,3.0,1.0,5.0,2.0,2.0,Sometimes,few hours a day,4.0,26.0,3.0,female,village
702,5.0,1.0,4.0,5.0,5.0,2.0,4.0,5.0,Sometimes,most of the day,3.0,19.0,2.0,male,city
703,4.0,1.0,5.0,3.0,1.0,5.0,1.0,1.0,Sometimes,few hours a day,1.0,23.0,1.0,male,city
704,5.0,2.0,5.0,2.0,1.0,4.0,5.0,3.0,Sometimes,less than an hour a day,3.0,21.0,2.0,female,village
706,5.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,Sometimes,few hours a day,1.0,18.0,2.0,male,city
709,5.0,2.0,5.0,2.0,1.0,3.0,1.0,3.0,Sometimes,less than an hour a day,2.0,17.0,0.0,female,city
711,4.0,1.0,3.0,3.0,1.0,5.0,2.0,4.0,Sometimes,few hours a day,4.0,22.0,1.0,female,village
713,5.0,2.0,3.0,5.0,1.0,3.0,5.0,3.0,Sometimes,most of the day,1.0,19.0,2.0,female,village
715,4.0,1.0,5.0,4.0,2.0,5.0,2.0,2.0,Sometimes,few hours a day,3.0,29.0,1.0,male,village
717,5.0,1.0,5.0,3.0,3.0,5.0,3.0,3.0,Sometimes,few hours a day,3.0,17.0,1.0,female,city
718,5.0,,5.0,3.0,1.0,4.0,5.0,4.0,Sometimes,less than an hour a day,3.0,17.0,1.0,female,city
719,4.0,3.0,5.0,3.0,4.0,3.0,2.0,1.0,Sometimes,few hours a day,2.0,19.0,2.0,male,city
724,4.0,2.0,5.0,2.0,2.0,2.0,5.0,3.0,Sometimes,few hours a day,3.0,19.0,1.0,female,city
696,5.0,3.0,5.0,3.0,2.0,3.0,1.0,4.0,Sometimes,less than an hour a day,3.0,18.0,1.0,female,city
695,5.0,3.0,4.0,4.0,2.0,5.0,5.0,3.0,Sometimes,few hours a day,3.0,23.0,0.0,female,city
694,5.0,4.0,5.0,5.0,5.0,1.0,3.0,5.0,Sometimes,few hours a day,3.0,21.0,4.0,male,city
693,5.0,4.0,4.0,2.0,1.0,3.0,2.0,5.0,Sometimes,few hours a day,3.0,18.0,1.0,female,village
667,5.0,1.0,3.0,5.0,2.0,4.0,2.0,2.0,Sometimes,few hours a day,4.0,23.0,1.0,male,city
669,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,Sometimes,few hours a day,4.0,21.0,1.0,male,village
670,5.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,Sometimes,few hours a day,3.0,23.0,1.0,female,city
672,3.0,1.0,4.0,3.0,1.0,5.0,5.0,3.0,Sometimes,few hours a day,4.0,28.0,1.0,female,city
673,4.0,1.0,4.0,3.0,1.0,5.0,4.0,4.0,Sometimes,less than an hour a day,4.0,22.0,2.0,female,city
676,5.0,2.0,5.0,3.0,1.0,3.0,3.0,2.0,Sometimes,few hours a day,3.0,20.0,2.0,female,city
677,4.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,Sometimes,few hours a day,2.0,28.0,1.0,female,city
725,5.0,3.0,5.0,5.0,1.0,3.0,1.0,2.0,Sometimes,few hours a day,1.0,19.0,0.0,male,village
680,5.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,Sometimes,few hours a day,3.0,25.0,1.0,female,city
682,4.0,5.0,5.0,3.0,4.0,5.0,2.0,3.0,Sometimes,few hours a day,1.0,19.0,4.0,male,village
684,5.0,1.0,5.0,2.0,3.0,3.0,3.0,2.0,Sometimes,few hours a day,2.0,28.0,1.0,female,village
686,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Sometimes,less than an hour a day,3.0,21.0,1.0,male,city
689,5.0,3.0,5.0,5.0,3.0,5.0,1.0,3.0,Sometimes,few hours a day,4.0,18.0,1.0,male,city
690,5.0,3.0,5.0,4.0,3.0,2.0,4.0,3.0,Sometimes,few hours a day,3.0,18.0,1.0,male,city
691,5.0,2.0,5.0,3.0,1.0,3.0,5.0,4.0,Sometimes,less than an hour a day,2.0,17.0,0.0,female,city
692,5.0,2.0,5.0,5.0,3.0,3.0,1.0,1.0,Sometimes,few hours a day,3.0,21.0,1.0,male,city
681,5.0,4.0,4.0,3.0,2.0,3.0,5.0,3.0,Sometimes,few hours a day,3.0,28.0,1.0,female,city
726,5.0,4.0,5.0,2.0,1.0,5.0,3.0,5.0,Sometimes,less than an hour a day,2.0,20.0,2.0,male,city
727,5.0,5.0,3.0,1.0,3.0,1.0,3.0,1.0,Sometimes,less than an hour a day,3.0,19.0,1.0,male,village
423,5.0,2.0,4.0,2.0,1.0,5.0,2.0,2.0,Sometimes,few hours a day,5.0,24.0,1.0,female,village
773,5.0,2.0,5.0,3.0,3.0,4.0,5.0,4.0,Sometimes,less than an hour a day,3.0,17.0,0.0,female,city
777,5.0,3.0,5.0,2.0,1.0,1.0,1.0,5.0,Sometimes,few hours a day,3.0,19.0,1.0,male,city
778,5.0,1.0,5.0,2.0,2.0,5.0,5.0,2.0,Sometimes,few hours a day,2.0,18.0,0.0,female,city
779,5.0,3.0,5.0,5.0,2.0,5.0,5.0,1.0,Sometimes,less than an hour a day,2.0,17.0,0.0,female,village
780,5.0,4.0,5.0,5.0,4.0,5.0,1.0,3.0,Sometimes,few hours a day,3.0,18.0,1.0,male,city
781,4.0,2.0,4.0,5.0,1.0,5.0,1.0,3.0,Sometimes,less than an hour a day,2.0,20.0,1.0,female,city
783,5.0,4.0,5.0,5.0,2.0,5.0,1.0,3.0,Sometimes,few hours a day,4.0,21.0,1.0,male,village
772,5.0,1.0,5.0,3.0,1.0,4.0,4.0,2.0,Sometimes,few hours a day,3.0,20.0,1.0,female,city
788,5.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,Sometimes,less than an hour a day,4.0,18.0,2.0,female,city
794,4.0,1.0,5.0,2.0,1.0,5.0,1.0,1.0,Sometimes,less than an hour a day,5.0,23.0,1.0,male,city
797,5.0,3.0,5.0,2.0,2.0,1.0,1.0,5.0,Sometimes,few hours a day,3.0,19.0,1.0,male,city
798,5.0,2.0,5.0,5.0,2.0,1.0,3.0,3.0,Sometimes,few hours a day,3.0,18.0,2.0,female,city
799,5.0,2.0,5.0,4.0,4.0,5.0,3.0,4.0,Sometimes,few hours a day,4.0,18.0,2.0,male,city
800,5.0,1.0,5.0,1.0,4.0,1.0,3.0,2.0,Sometimes,few hours a day,5.0,17.0,2.0,male,city
802,5.0,4.0,5.0,3.0,1.0,4.0,5.0,1.0,Sometimes,few hours a day,4.0,19.0,0.0,female,city
806,1.0,1.0,5.0,5.0,1.0,5.0,1.0,2.0,Sometimes,few hours a day,3.0,20.0,1.0,male,city
791,5.0,3.0,5.0,3.0,1.0,1.0,2.0,3.0,Sometimes,few hours a day,1.0,19.0,1.0,female,city
810,5.0,1.0,5.0,4.0,1.0,5.0,5.0,2.0,Sometimes,few hours a day,1.0,20.0,1.0,male,city
771,5.0,1.0,5.0,3.0,3.0,1.0,1.0,3.0,Sometimes,few hours a day,4.0,18.0,0.0,male,city
767,1.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,Sometimes,few hours a day,3.0,22.0,2.0,male,city
732,5.0,2.0,4.0,5.0,3.0,1.0,2.0,2.0,Sometimes,few hours a day,3.0,19.0,0.0,female,village
733,4.0,1.0,5.0,5.0,5.0,5.0,2.0,3.0,Sometimes,most of the day,3.0,24.0,2.0,female,village
736,4.0,2.0,5.0,5.0,2.0,4.0,3.0,3.0,Sometimes,few hours a day,2.0,20.0,1.0,female,city
737,5.0,3.0,5.0,4.0,1.0,5.0,3.0,4.0,Sometimes,most of the day,3.0,21.0,0.0,female,city
738,5.0,,5.0,1.0,4.0,4.0,1.0,2.0,Sometimes,few hours a day,2.0,23.0,2.0,male,city
739,5.0,3.0,5.0,5.0,5.0,4.0,2.0,1.0,Sometimes,few hours a day,4.0,23.0,0.0,male,city
745,5.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,Sometimes,most of the day,3.0,25.0,2.0,male,village
769,3.0,3.0,5.0,4.0,4.0,4.0,2.0,3.0,Sometimes,less than an hour a day,4.0,19.0,0.0,female,city
748,5.0,3.0,5.0,3.0,2.0,5.0,5.0,3.0,Sometimes,less than an hour a day,3.0,15.0,2.0,female,city
750,5.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,Sometimes,less than an hour a day,4.0,22.0,6.0,female,city
753,5.0,1.0,5.0,4.0,1.0,5.0,2.0,2.0,Sometimes,few hours a day,2.0,19.0,3.0,female,village
755,5.0,1.0,5.0,3.0,4.0,5.0,1.0,3.0,Sometimes,few hours a day,3.0,26.0,1.0,female,city
757,5.0,5.0,5.0,2.0,1.0,4.0,2.0,3.0,Sometimes,few hours a day,4.0,19.0,3.0,female,village
758,5.0,5.0,5.0,2.0,3.0,4.0,2.0,3.0,Sometimes,few hours a day,3.0,20.0,1.0,male,village
760,5.0,3.0,5.0,4.0,3.0,1.0,3.0,2.0,Sometimes,few hours a day,4.0,25.0,1.0,female,city
765,5.0,2.0,5.0,2.0,3.0,3.0,1.0,4.0,Sometimes,few hours a day,4.0,18.0,1.0,male,village
749,5.0,1.0,5.0,4.0,1.0,4.0,3.0,3.0,Sometimes,few hours a day,3.0,17.0,0.0,male,city
421,5.0,2.0,5.0,5.0,4.0,5.0,2.0,3.0,Sometimes,few hours a day,5.0,18.0,1.0,female,village
1009,5.0,3.0,5.0,2.0,2.0,5.0,1.0,3.0,Sometimes,few hours a day,5.0,21.0,1.0,male,village
189,5.0,1.0,5.0,4.0,3.0,1.0,3.0,4.0,Sometimes,few hours a day,4.0,17.0,1.0,female,city
330,5.0,3.0,5.0,4.0,1.0,5.0,5.0,2.0,Sometimes,few hours a day,3.0,22.0,0.0,female,city
329,5.0,3.0,5.0,3.0,2.0,4.0,2.0,5.0,Sometimes,few hours a day,2.0,17.0,1.0,female,city
244,5.0,2.0,5.0,1.0,1.0,5.0,5.0,2.0,Sometimes,most of the day,3.0,20.0,0.0,female,city
328,5.0,1.0,5.0,1.0,5.0,1.0,1.0,3.0,Sometimes,few hours a day,5.0,18.0,0.0,male,city
245,5.0,1.0,5.0,3.0,1.0,5.0,1.0,3.0,Sometimes,less than an hour a day,1.0,19.0,1.0,female,city
327,5.0,1.0,5.0,3.0,2.0,5.0,5.0,3.0,Sometimes,few hours a day,5.0,20.0,1.0,female,city
151,5.0,2.0,5.0,4.0,2.0,3.0,3.0,3.0,Sometimes,few hours a day,4.0,20.0,1.0,male,city
246,5.0,1.0,5.0,5.0,5.0,5.0,4.0,2.0,Sometimes,few hours a day,4.0,27.0,0.0,male,city
80,5.0,3.0,5.0,5.0,1.0,5.0,3.0,3.0,Sometimes,few hours a day,3.0,19.0,1.0,female,city
81,5.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,Sometimes,few hours a day,3.0,22.0,1.0,male,city
150,5.0,1.0,5.0,2.0,3.0,1.0,5.0,2.0,Sometimes,few hours a day,3.0,22.0,1.0,female,city
323,5.0,1.0,3.0,2.0,3.0,5.0,4.0,4.0,Sometimes,few hours a day,4.0,20.0,1.0,male,village
82,5.0,1.0,5.0,4.0,1.0,5.0,3.0,5.0,Sometimes,few hours a day,3.0,18.0,1.0,female,city
247,5.0,2.0,5.0,3.0,1.0,1.0,2.0,3.0,Sometimes,few hours a day,3.0,22.0,2.0,female,city
149,2.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,Sometimes,few hours a day,3.0,19.0,5.0,male,city
87,5.0,2.0,5.0,5.0,,3.0,3.0,1.0,Sometimes,few hours a day,2.0,18.0,3.0,female,village
318,5.0,2.0,5.0,3.0,3.0,5.0,5.0,3.0,Sometimes,less than an hour a day,3.0,16.0,0.0,female,city
90,4.0,1.0,4.0,1.0,1.0,3.0,5.0,3.0,Sometimes,most of the day,1.0,19.0,3.0,female,village
145,1.0,3.0,4.0,2.0,1.0,2.0,5.0,3.0,Sometimes,few hours a day,2.0,19.0,1.0,female,village
143,5.0,3.0,,,1.0,5.0,5.0,3.0,Sometimes,most of the day,2.0,20.0,1.0,female,city
316,5.0,4.0,4.0,3.0,2.0,5.0,3.0,2.0,Sometimes,less than an hour a day,3.0,20.0,1.0,female,city
75,5.0,1.0,4.0,5.0,2.0,4.0,1.0,2.0,Sometimes,few hours a day,3.0,20.0,1.0,male,village
251,5.0,5.0,5.0,2.0,1.0,5.0,1.0,2.0,Sometimes,few hours a day,3.0,19.0,2.0,female,village
239,5.0,2.0,5.0,4.0,1.0,4.0,5.0,2.0,Sometimes,less than an hour a day,3.0,21.0,1.0,female,city
235,5.0,1.0,5.0,5.0,1.0,3.0,2.0,3.0,Sometimes,few hours a day,3.0,16.0,0.0,female,city
352,5.0,1.0,5.0,1.0,1.0,2.0,3.0,4.0,Sometimes,few hours a day,3.0,19.0,1.0,male,city
225,5.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,Sometimes,few hours a day,3.0,20.0,1.0,male,village
350,2.0,2.0,5.0,2.0,2.0,3.0,1.0,2.0,Sometimes,most of the day,3.0,20.0,2.0,male,city
