,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Number of Siblings,Feels Lonely
678,5.0,1.0,3.0,5.0,2.0,5.0,3.0,4.0,4.0,few hours a day,3.0,23.0,1.0,female,city,1 - 2,True
536,5.0,5.0,5.0,3.0,1.0,5.0,5.0,1.0,3.0,few hours a day,1.0,19.0,1.0,female,city,1 - 2,False
555,5.0,2.0,4.0,1.0,1.0,3.0,1.0,4.0,2.0,few hours a day,1.0,21.0,1.0,female,village,1 - 2,True
702,5.0,1.0,4.0,5.0,5.0,2.0,4.0,5.0,3.0,most of the day,3.0,19.0,2.0,male,city,1 - 2,True
699,5.0,2.0,5.0,2.0,1.0,1.0,2.0,3.0,3.0,few hours a day,2.0,20.0,1.0,female,city,1 - 2,False
535,5.0,4.0,5.0,3.0,3.0,5.0,1.0,3.0,3.0,few hours a day,1.0,17.0,2.0,male,village,1 - 2,False
680,5.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,few hours a day,3.0,25.0,1.0,female,city,1 - 2,False
681,5.0,4.0,4.0,3.0,2.0,3.0,5.0,3.0,3.0,few hours a day,3.0,28.0,1.0,female,city,1 - 2,False
683,5.0,1.0,5.0,4.0,1.0,5.0,,3.0,4.0,less than an hour a day,3.0,30.0,1.0,female,village,1 - 2,False
684,5.0,1.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,few hours a day,2.0,28.0,1.0,female,village,1 - 2,False
701,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,few hours a day,4.0,21.0,1.0,female,city,1 - 2,False
595,5.0,1.0,5.0,4.0,1.0,5.0,1.0,5.0,2.0,most of the day,1.0,17.0,1.0,male,village,1 - 2,True
656,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,,few hours a day,3.0,18.0,1.0,female,city,1 - 2,False
667,5.0,1.0,3.0,5.0,2.0,4.0,2.0,2.0,3.0,few hours a day,4.0,23.0,1.0,male,city,1 - 2,False
612,5.0,5.0,3.0,4.0,3.0,2.0,3.0,1.0,4.0,most of the day,3.0,23.0,2.0,male,village,1 - 2,False
613,5.0,3.0,5.0,4.0,1.0,5.0,5.0,4.0,4.0,most of the day,2.0,18.0,1.0,female,city,1 - 2,True
584,5.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,4.0,most of the day,2.0,28.0,1.0,female,city,1 - 2,True
614,5.0,5.0,5.0,3.0,1.0,5.0,1.0,3.0,2.0,few hours a day,5.0,22.0,1.0,female,village,1 - 2,False
583,5.0,1.0,5.0,5.0,2.0,4.0,1.0,3.0,4.0,most of the day,3.0,22.0,1.0,male,city,1 - 2,False
581,5.0,5.0,4.0,1.0,3.0,5.0,5.0,3.0,4.0,few hours a day,4.0,22.0,1.0,female,city,1 - 2,False
616,3.0,4.0,5.0,4.0,3.0,4.0,1.0,1.0,1.0,few hours a day,3.0,19.0,1.0,male,city,1 - 2,False
585,5.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,4.0,less than an hour a day,3.0,21.0,1.0,male,city,1 - 2,False
617,5.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,5.0,most of the day,3.0,19.0,1.0,female,city,1 - 2,False
622,5.0,4.0,5.0,2.0,1.0,5.0,2.0,2.0,4.0,few hours a day,3.0,18.0,1.0,female,city,1 - 2,False
624,5.0,1.0,5.0,3.0,1.0,2.0,5.0,2.0,2.0,few hours a day,1.0,21.0,1.0,female,city,1 - 2,False
625,5.0,2.0,5.0,2.0,3.0,5.0,5.0,1.0,3.0,few hours a day,4.0,19.0,1.0,female,city,1 - 2,False
627,5.0,2.0,5.0,3.0,3.0,1.0,3.0,3.0,3.0,less than an hour a day,5.0,20.0,1.0,female,city,1 - 2,False
710,4.0,1.0,5.0,3.0,5.0,2.0,2.0,1.0,4.0,few hours a day,4.0,20.0,1.0,female,city,1 - 2,False
577,5.0,2.0,5.0,3.0,4.0,5.0,5.0,2.0,2.0,few hours a day,3.0,19.0,1.0,female,city,1 - 2,False
630,5.0,5.0,4.0,3.0,3.0,1.0,5.0,3.0,3.0,few hours a day,3.0,19.0,1.0,female,city,1 - 2,False
620,5.0,2.0,5.0,4.0,1.0,2.0,3.0,4.0,2.0,most of the day,1.0,20.0,2.0,male,city,1 - 2,True
610,5.0,3.0,4.0,2.0,2.0,1.0,5.0,3.0,2.0,few hours a day,3.0,20.0,1.0,male,city,1 - 2,False
586,5.0,5.0,5.0,4.0,1.0,4.0,3.0,,3.0,few hours a day,2.0,21.0,2.0,male,village,1 - 2,False
609,4.0,4.0,3.0,5.0,5.0,3.0,1.0,3.0,4.0,few hours a day,4.0,18.0,2.0,male,city,1 - 2,False
594,5.0,1.0,4.0,5.0,2.0,1.0,1.0,5.0,1.0,few hours a day,2.0,23.0,1.0,male,city,1 - 2,True
597,5.0,3.0,5.0,2.0,2.0,2.0,1.0,2.0,4.0,less than an hour a day,3.0,19.0,1.0,male,city,1 - 2,False
598,4.0,3.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,few hours a day,5.0,19.0,1.0,male,city,1 - 2,True
599,5.0,3.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,few hours a day,2.0,19.0,1.0,male,city,1 - 2,False
593,5.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,3.0,less than an hour a day,4.0,21.0,1.0,female,city,1 - 2,False
601,5.0,1.0,5.0,3.0,2.0,5.0,3.0,3.0,3.0,few hours a day,3.0,19.0,1.0,female,village,1 - 2,False
602,4.0,3.0,5.0,4.0,2.0,3.0,3.0,2.0,3.0,few hours a day,5.0,22.0,1.0,male,village,1 - 2,False
591,4.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,few hours a day,4.0,20.0,1.0,female,city,1 - 2,False
590,5.0,1.0,5.0,4.0,5.0,4.0,1.0,3.0,4.0,few hours a day,2.0,28.0,1.0,male,city,1 - 2,False
603,5.0,4.0,,3.0,2.0,3.0,3.0,3.0,4.0,few hours a day,3.0,21.0,1.0,female,city,1 - 2,False
604,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,few hours a day,3.0,21.0,1.0,female,city,1 - 2,True
605,5.0,1.0,5.0,3.0,2.0,5.0,5.0,1.0,4.0,less than an hour a day,3.0,21.0,1.0,male,village,1 - 2,False
606,4.0,1.0,5.0,2.0,2.0,4.0,1.0,4.0,4.0,few hours a day,4.0,22.0,1.0,male,village,1 - 2,True
589,5.0,2.0,5.0,5.0,1.0,4.0,5.0,3.0,4.0,few hours a day,1.0,17.0,1.0,female,village,1 - 2,False
607,3.0,1.0,4.0,4.0,1.0,5.0,2.0,2.0,5.0,less than an hour a day,3.0,19.0,1.0,female,city,1 - 2,False
608,3.0,1.0,5.0,5.0,5.0,4.0,2.0,1.0,2.0,few hours a day,3.0,25.0,1.0,male,city,1 - 2,False
588,5.0,1.0,5.0,3.0,1.0,3.0,5.0,2.0,3.0,less than an hour a day,2.0,21.0,1.0,female,city,1 - 2,False
631,5.0,3.0,5.0,3.0,4.0,5.0,4.0,2.0,3.0,few hours a day,2.0,18.0,1.0,female,village,1 - 2,False
575,5.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,less than an hour a day,4.0,21.0,1.0,female,city,1 - 2,True
632,5.0,4.0,4.0,4.0,3.0,4.0,1.0,3.0,4.0,few hours a day,2.0,17.0,1.0,male,village,1 - 2,False
633,5.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,less than an hour a day,2.0,21.0,2.0,male,city,1 - 2,False
651,5.0,4.0,5.0,5.0,1.0,2.0,1.0,2.0,3.0,few hours a day,5.0,22.0,1.0,male,city,1 - 2,False
561,5.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,less than an hour a day,5.0,20.0,1.0,male,city,1 - 2,False
560,5.0,2.0,3.0,1.0,1.0,5.0,1.0,4.0,4.0,less than an hour a day,4.0,16.0,2.0,female,village,1 - 2,True
654,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,few hours a day,4.0,24.0,2.0,male,village,1 - 2,False
559,5.0,1.0,5.0,1.0,1.0,2.0,1.0,5.0,3.0,most of the day,3.0,20.0,1.0,female,village,1 - 2,True
655,5.0,4.0,5.0,1.0,3.0,1.0,4.0,4.0,4.0,few hours a day,3.0,19.0,1.0,female,village,1 - 2,True
558,,2.0,3.0,3.0,2.0,4.0,5.0,2.0,4.0,few hours a day,2.0,19.0,2.0,female,city,1 - 2,False
657,5.0,1.0,5.0,1.0,1.0,3.0,4.0,3.0,3.0,most of the day,3.0,24.0,1.0,female,city,1 - 2,False
659,5.0,1.0,2.0,2.0,3.0,2.0,1.0,5.0,3.0,few hours a day,4.0,20.0,1.0,male,village,1 - 2,True
660,5.0,1.0,5.0,5.0,2.0,1.0,2.0,5.0,4.0,less than an hour a day,5.0,20.0,1.0,female,city,1 - 2,True
661,5.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,few hours a day,2.0,19.0,1.0,female,city,1 - 2,False
557,5.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,4.0,few hours a day,4.0,20.0,2.0,female,city,1 - 2,False
662,5.0,2.0,4.0,3.0,4.0,5.0,4.0,2.0,2.0,few hours a day,4.0,21.0,1.0,female,city,1 - 2,False
663,5.0,2.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,no time at all,3.0,25.0,1.0,male,city,1 - 2,False
664,5.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,4.0,few hours a day,4.0,28.0,1.0,female,village,1 - 2,False
665,5.0,4.0,5.0,4.0,1.0,5.0,3.0,3.0,3.0,few hours a day,3.0,20.0,1.0,female,city,1 - 2,False
666,5.0,1.0,4.0,3.0,1.0,5.0,2.0,5.0,3.0,few hours a day,2.0,20.0,2.0,female,city,1 - 2,True
650,5.0,3.0,5.0,3.0,4.0,5.0,2.0,4.0,2.0,few hours a day,3.0,20.0,1.0,male,city,1 - 2,True
668,5.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,few hours a day,3.0,27.0,1.0,male,city,1 - 2,True
649,5.0,2.0,5.0,3.0,1.0,5.0,5.0,4.0,3.0,few hours a day,2.0,17.0,1.0,female,city,1 - 2,True
563,5.0,2.0,5.0,5.0,1.0,4.0,4.0,1.0,4.0,few hours a day,1.0,20.0,1.0,male,village,1 - 2,False
634,5.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,few hours a day,3.0,19.0,1.0,female,village,1 - 2,False
635,4.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,4.0,less than an hour a day,3.0,25.0,1.0,female,city,1 - 2,False
636,5.0,3.0,5.0,5.0,1.0,4.0,3.0,1.0,4.0,few hours a day,1.0,24.0,2.0,male,village,1 - 2,False
574,5.0,5.0,5.0,3.0,1.0,4.0,1.0,3.0,3.0,less than an hour a day,3.0,20.0,1.0,female,village,1 - 2,False
571,3.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,5.0,few hours a day,5.0,19.0,2.0,male,village,1 - 2,True
569,5.0,2.0,5.0,4.0,3.0,5.0,2.0,3.0,3.0,few hours a day,3.0,20.0,1.0,female,city,1 - 2,False
568,5.0,3.0,5.0,1.0,1.0,1.0,3.0,4.0,4.0,most of the day,3.0,23.0,1.0,female,city,1 - 2,True
637,5.0,2.0,,4.0,5.0,5.0,1.0,2.0,3.0,less than an hour a day,2.0,29.0,1.0,male,village,1 - 2,False
567,5.0,2.0,4.0,1.0,3.0,2.0,1.0,3.0,2.0,few hours a day,2.0,19.0,1.0,male,city,1 - 2,False
638,5.0,1.0,4.0,4.0,1.0,5.0,3.0,3.0,3.0,few hours a day,2.0,21.0,1.0,female,city,1 - 2,False
639,5.0,1.0,5.0,2.0,3.0,1.0,3.0,5.0,3.0,few hours a day,3.0,18.0,1.0,male,city,1 - 2,True
566,5.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,less than an hour a day,3.0,19.0,1.0,female,village,1 - 2,False
565,5.0,3.0,5.0,1.0,2.0,2.0,5.0,5.0,3.0,few hours a day,3.0,16.0,2.0,female,city,1 - 2,True
641,5.0,3.0,5.0,2.0,2.0,3.0,2.0,4.0,3.0,most of the day,4.0,17.0,2.0,male,city,1 - 2,True
564,5.0,2.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0,less than an hour a day,4.0,20.0,2.0,male,village,1 - 2,False
643,5.0,2.0,5.0,4.0,2.0,5.0,2.0,2.0,4.0,few hours a day,4.0,18.0,2.0,female,village,1 - 2,False
645,5.0,5.0,4.0,5.0,3.0,5.0,1.0,3.0,4.0,few hours a day,4.0,23.0,1.0,male,village,1 - 2,False
646,4.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,3.0,few hours a day,3.0,22.0,1.0,male,city,1 - 2,False
0,5.0,1.0,5.0,1.0,3.0,4.0,1.0,3.0,4.0,few hours a day,3.0,20.0,1.0,female,village,1 - 2,False
764,5.0,1.0,5.0,3.0,2.0,2.0,5.0,2.0,4.0,less than an hour a day,4.0,19.0,2.0,female,village,1 - 2,False
712,5.0,1.0,5.0,1.0,1.0,3.0,5.0,1.0,4.0,few hours a day,3.0,20.0,1.0,female,village,1 - 2,False
897,5.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,few hours a day,2.0,23.0,2.0,male,city,1 - 2,False
898,5.0,1.0,5.0,4.0,1.0,3.0,2.0,2.0,3.0,less than an hour a day,3.0,28.0,2.0,female,village,1 - 2,False
899,5.0,1.0,3.0,4.0,3.0,5.0,1.0,3.0,3.0,few hours a day,2.0,20.0,2.0,male,city,1 - 2,False
900,5.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,few hours a day,3.0,21.0,1.0,male,city,1 - 2,False
901,4.0,1.0,5.0,4.0,1.0,5.0,5.0,2.0,4.0,less than an hour a day,4.0,22.0,1.0,female,city,1 - 2,False
903,5.0,1.0,3.0,5.0,5.0,3.0,1.0,2.0,4.0,few hours a day,4.0,19.0,1.0,male,city,1 - 2,False
904,3.0,1.0,5.0,3.0,2.0,1.0,1.0,2.0,4.0,few hours a day,3.0,24.0,1.0,female,city,1 - 2,False
905,5.0,3.0,5.0,5.0,1.0,2.0,1.0,1.0,3.0,few hours a day,4.0,23.0,1.0,male,city,1 - 2,False
906,5.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,4.0,less than an hour a day,2.0,21.0,2.0,female,city,1 - 2,False
907,5.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,most of the day,1.0,22.0,1.0,female,city,1 - 2,False
908,5.0,3.0,5.0,2.0,2.0,2.0,3.0,4.0,4.0,few hours a day,3.0,18.0,1.0,male,city,1 - 2,True
909,5.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,less than an hour a day,4.0,28.0,2.0,female,city,1 - 2,True
911,5.0,1.0,4.0,5.0,5.0,5.0,1.0,4.0,4.0,few hours a day,4.0,23.0,1.0,female,village,1 - 2,True
912,5.0,3.0,4.0,4.0,3.0,4.0,,3.0,4.0,less than an hour a day,4.0,22.0,1.0,female,village,1 - 2,False
913,5.0,3.0,5.0,4.0,3.0,2.0,5.0,4.0,3.0,few hours a day,4.0,21.0,1.0,female,city,1 - 2,True
914,5.0,2.0,5.0,5.0,3.0,3.0,1.0,5.0,2.0,few hours a day,1.0,20.0,1.0,female,city,1 - 2,True
915,4.0,4.0,5.0,1.0,2.0,5.0,4.0,3.0,4.0,few hours a day,5.0,18.0,1.0,female,city,1 - 2,False
916,4.0,1.0,5.0,4.0,1.0,4.0,1.0,4.0,3.0,few hours a day,1.0,21.0,1.0,male,city,1 - 2,True
917,5.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,2.0,few hours a day,2.0,20.0,1.0,male,village,1 - 2,False
918,4.0,1.0,5.0,5.0,2.0,4.0,1.0,4.0,3.0,most of the day,4.0,21.0,1.0,female,village,1 - 2,True
919,5.0,1.0,5.0,5.0,2.0,1.0,2.0,3.0,4.0,few hours a day,2.0,21.0,1.0,female,city,1 - 2,False
896,5.0,1.0,5.0,4.0,1.0,3.0,2.0,2.0,3.0,few hours a day,4.0,22.0,1.0,male,village,1 - 2,False
920,4.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,few hours a day,3.0,20.0,2.0,female,city,1 - 2,False
895,4.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0,3.0,few hours a day,3.0,16.0,1.0,male,village,1 - 2,False
892,5.0,1.0,5.0,3.0,4.0,2.0,3.0,2.0,3.0,few hours a day,3.0,19.0,1.0,male,city,1 - 2,False
866,4.0,1.0,3.0,5.0,2.0,3.0,1.0,3.0,2.0,most of the day,1.0,23.0,1.0,male,city,1 - 2,False
867,5.0,1.0,5.0,4.0,3.0,5.0,5.0,2.0,4.0,few hours a day,4.0,25.0,1.0,female,city,1 - 2,False
869,5.0,1.0,5.0,5.0,1.0,5.0,3.0,4.0,2.0,few hours a day,5.0,18.0,1.0,female,city,1 - 2,True
870,5.0,4.0,5.0,2.0,3.0,2.0,4.0,1.0,3.0,few hours a day,4.0,25.0,1.0,female,city,1 - 2,False
871,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,most of the day,1.0,21.0,1.0,male,village,1 - 2,True
872,5.0,4.0,5.0,2.0,1.0,2.0,2.0,3.0,3.0,few hours a day,3.0,20.0,1.0,male,village,1 - 2,False
874,5.0,3.0,5.0,3.0,1.0,4.0,2.0,2.0,4.0,few hours a day,4.0,18.0,1.0,female,city,1 - 2,False
875,5.0,4.0,5.0,1.0,1.0,5.0,1.0,3.0,3.0,few hours a day,1.0,20.0,2.0,female,village,1 - 2,False
876,5.0,3.0,5.0,2.0,5.0,4.0,2.0,4.0,3.0,few hours a day,5.0,19.0,1.0,male,city,1 - 2,True
877,5.0,1.0,5.0,4.0,3.0,2.0,1.0,3.0,5.0,few hours a day,4.0,22.0,2.0,male,city,1 - 2,False
880,5.0,4.0,5.0,3.0,1.0,4.0,2.0,2.0,4.0,few hours a day,4.0,18.0,1.0,female,city,1 - 2,False
881,5.0,1.0,5.0,5.0,1.0,5.0,4.0,3.0,2.0,few hours a day,4.0,18.0,1.0,female,city,1 - 2,False
882,5.0,4.0,5.0,3.0,1.0,1.0,1.0,3.0,4.0,few hours a day,2.0,16.0,1.0,female,city,1 - 2,False
883,5.0,3.0,5.0,4.0,1.0,1.0,1.0,4.0,4.0,few hours a day,4.0,19.0,2.0,female,village,1 - 2,True
884,5.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,few hours a day,1.0,19.0,1.0,female,city,1 - 2,True
886,5.0,2.0,5.0,1.0,4.0,1.0,1.0,2.0,2.0,few hours a day,2.0,21.0,1.0,male,city,1 - 2,False
887,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,less than an hour a day,4.0,19.0,1.0,male,city,1 - 2,False
888,5.0,2.0,5.0,4.0,1.0,5.0,3.0,2.0,4.0,less than an hour a day,2.0,20.0,1.0,female,city,1 - 2,False
889,5.0,2.0,5.0,5.0,1.0,1.0,4.0,4.0,2.0,few hours a day,1.0,22.0,1.0,female,city,1 - 2,True
890,5.0,4.0,5.0,1.0,4.0,3.0,2.0,3.0,3.0,few hours a day,3.0,20.0,1.0,male,city,1 - 2,False
891,5.0,3.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,few hours a day,3.0,21.0,2.0,male,village,1 - 2,False
894,5.0,1.0,5.0,2.0,1.0,4.0,3.0,2.0,4.0,few hours a day,4.0,19.0,2.0,female,city,1 - 2,False
922,5.0,4.0,5.0,2.0,3.0,5.0,5.0,3.0,3.0,few hours a day,3.0,20.0,1.0,female,city,1 - 2,False
926,5.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,3.0,few hours a day,4.0,22.0,1.0,male,city,1 - 2,False
927,5.0,3.0,5.0,1.0,1.0,5.0,1.0,3.0,4.0,few hours a day,4.0,19.0,1.0,female,city,1 - 2,False
977,5.0,4.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,few hours a day,2.0,19.0,1.0,male,village,1 - 2,False
978,5.0,1.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,few hours a day,2.0,21.0,2.0,female,city,1 - 2,True
980,5.0,1.0,5.0,5.0,1.0,3.0,5.0,2.0,4.0,less than an hour a day,1.0,18.0,2.0,female,city,1 - 2,False
981,5.0,1.0,5.0,5.0,1.0,1.0,5.0,4.0,2.0,most of the day,5.0,19.0,1.0,female,village,1 - 2,True
982,5.0,1.0,4.0,1.0,3.0,4.0,1.0,3.0,4.0,few hours a day,2.0,18.0,2.0,male,city,1 - 2,False
983,5.0,2.0,5.0,2.0,1.0,4.0,5.0,2.0,3.0,few hours a day,2.0,22.0,2.0,female,village,1 - 2,False
984,5.0,1.0,4.0,1.0,1.0,4.0,5.0,3.0,1.0,most of the day,4.0,21.0,1.0,female,city,1 - 2,False
985,5.0,1.0,5.0,4.0,1.0,2.0,4.0,3.0,1.0,few hours a day,5.0,20.0,1.0,female,city,1 - 2,False
987,4.0,1.0,4.0,5.0,2.0,2.0,2.0,4.0,2.0,few hours a day,3.0,20.0,1.0,male,city,1 - 2,True
989,5.0,5.0,3.0,5.0,1.0,1.0,1.0,5.0,3.0,most of the day,3.0,30.0,2.0,female,village,1 - 2,True
990,5.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,2.0,few hours a day,1.0,29.0,1.0,male,city,1 - 2,False
992,4.0,5.0,4.0,5.0,5.0,1.0,5.0,3.0,3.0,most of the day,1.0,30.0,1.0,male,city,1 - 2,False
997,5.0,1.0,4.0,1.0,2.0,5.0,4.0,2.0,,less than an hour a day,3.0,19.0,1.0,female,,1 - 2,False
998,5.0,5.0,5.0,3.0,5.0,1.0,1.0,2.0,3.0,few hours a day,4.0,28.0,1.0,male,city,1 - 2,False
999,5.0,5.0,4.0,4.0,5.0,1.0,2.0,3.0,3.0,few hours a day,3.0,19.0,1.0,male,city,1 - 2,False
1000,5.0,3.0,5.0,3.0,1.0,5.0,1.0,3.0,2.0,few hours a day,1.0,16.0,1.0,female,city,1 - 2,False
1001,5.0,3.0,3.0,3.0,1.0,4.0,1.0,2.0,2.0,few hours a day,2.0,18.0,2.0,female,city,1 - 2,False
1002,5.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,few hours a day,4.0,22.0,1.0,male,city,1 - 2,False
1003,4.0,4.0,5.0,3.0,1.0,5.0,4.0,3.0,4.0,few hours a day,3.0,20.0,1.0,female,city,1 - 2,False
1004,5.0,5.0,5.0,3.0,2.0,4.0,3.0,3.0,2.0,few hours a day,4.0,22.0,1.0,male,city,1 - 2,False
1005,5.0,3.0,5.0,4.0,1.0,4.0,2.0,4.0,4.0,few hours a day,3.0,20.0,1.0,female,city,1 - 2,True
976,5.0,2.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,few hours a day,4.0,19.0,1.0,female,city,1 - 2,False
975,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,2.0,most of the day,3.0,23.0,1.0,female,village,1 - 2,False
973,5.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,3.0,most of the day,4.0,20.0,2.0,female,city,1 - 2,False
971,5.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,few hours a day,4.0,18.0,1.0,male,city,1 - 2,False
929,3.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,few hours a day,3.0,27.0,1.0,female,city,1 - 2,False
931,5.0,2.0,5.0,1.0,2.0,3.0,1.0,4.0,4.0,most of the day,4.0,18.0,2.0,male,city,1 - 2,True
932,5.0,4.0,5.0,1.0,3.0,2.0,5.0,2.0,4.0,few hours a day,5.0,20.0,1.0,female,city,1 - 2,False
935,5.0,1.0,5.0,3.0,1.0,5.0,5.0,3.0,3.0,few hours a day,3.0,16.0,1.0,female,city,1 - 2,False
943,4.0,2.0,5.0,3.0,4.0,5.0,2.0,2.0,3.0,less than an hour a day,2.0,22.0,2.0,female,city,1 - 2,False
944,5.0,2.0,5.0,4.0,2.0,5.0,5.0,2.0,4.0,few hours a day,3.0,19.0,1.0,female,village,1 - 2,False
945,5.0,1.0,3.0,4.0,5.0,5.0,1.0,1.0,3.0,few hours a day,1.0,22.0,1.0,male,city,1 - 2,False
947,5.0,1.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,few hours a day,3.0,16.0,1.0,female,village,1 - 2,True
948,5.0,2.0,5.0,4.0,5.0,5.0,4.0,2.0,4.0,few hours a day,4.0,18.0,1.0,female,village,1 - 2,False
952,5.0,4.0,4.0,3.0,5.0,2.0,2.0,2.0,4.0,few hours a day,5.0,19.0,1.0,male,city,1 - 2,False
865,4.0,2.0,5.0,2.0,3.0,3.0,4.0,2.0,2.0,less than an hour a day,4.0,17.0,2.0,female,city,1 - 2,False
953,5.0,1.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,few hours a day,4.0,20.0,1.0,female,city,1 - 2,False
956,5.0,1.0,5.0,3.0,2.0,4.0,1.0,4.0,3.0,most of the day,3.0,20.0,2.0,male,city,1 - 2,True
958,5.0,4.0,4.0,3.0,1.0,5.0,5.0,3.0,4.0,few hours a day,2.0,22.0,2.0,female,city,1 - 2,False
959,4.0,1.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,few hours a day,2.0,24.0,1.0,female,city,1 - 2,True
962,5.0,1.0,3.0,5.0,3.0,1.0,1.0,4.0,4.0,less than an hour a day,5.0,21.0,1.0,female,village,1 - 2,True
965,5.0,4.0,5.0,5.0,1.0,1.0,5.0,5.0,3.0,few hours a day,3.0,17.0,2.0,female,city,1 - 2,True
966,5.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,less than an hour a day,1.0,19.0,1.0,female,city,1 - 2,False
967,5.0,2.0,5.0,5.0,5.0,4.0,1.0,2.0,4.0,few hours a day,4.0,18.0,1.0,male,city,1 - 2,False
968,5.0,3.0,5.0,2.0,5.0,4.0,1.0,2.0,3.0,few hours a day,3.0,19.0,2.0,male,city,1 - 2,False
969,5.0,1.0,5.0,3.0,3.0,1.0,2.0,1.0,2.0,few hours a day,2.0,19.0,2.0,male,village,1 - 2,False
970,5.0,1.0,5.0,2.0,4.0,3.0,2.0,5.0,3.0,few hours a day,1.0,22.0,1.0,male,city,1 - 2,True
955,5.0,1.0,4.0,5.0,5.0,5.0,2.0,2.0,3.0,few hours a day,3.0,19.0,1.0,female,city,1 - 2,False
711,4.0,1.0,3.0,3.0,1.0,5.0,2.0,4.0,3.0,few hours a day,4.0,22.0,1.0,female,village,1 - 2,True
864,5.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,few hours a day,2.0,20.0,1.0,male,village,1 - 2,True
862,5.0,4.0,5.0,3.0,4.0,5.0,1.0,2.0,4.0,few hours a day,2.0,21.0,2.0,male,city,1 - 2,False
751,5.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,4.0,few hours a day,4.0,21.0,1.0,female,city,1 - 2,False
754,4.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,few hours a day,1.0,26.0,1.0,male,city,1 - 2,False
755,5.0,1.0,5.0,3.0,4.0,5.0,1.0,3.0,3.0,few hours a day,3.0,26.0,1.0,female,city,1 - 2,False
756,5.0,4.0,5.0,5.0,3.0,5.0,1.0,2.0,4.0,few hours a day,4.0,25.0,2.0,male,city,1 - 2,False
758,5.0,5.0,5.0,2.0,3.0,4.0,2.0,3.0,3.0,few hours a day,3.0,20.0,1.0,male,village,1 - 2,False
760,5.0,3.0,5.0,4.0,3.0,1.0,3.0,2.0,3.0,few hours a day,4.0,25.0,1.0,female,city,1 - 2,False
