,Team,League,Year,RS,RA,W,G,Playoffs
637,TOR,AL,1989,731,651,89,162,1
638,ATL,NL,1988,555,741,54,160,0
639,BAL,AL,1988,550,789,54,161,0
640,BOS,AL,1988,813,689,89,162,1
641,CAL,AL,1988,714,771,75,162,0
642,CHC,NL,1988,660,694,77,163,0
643,CHW,AL,1988,631,757,71,161,0
644,CIN,NL,1988,641,596,87,161,0
645,CLE,AL,1988,666,731,78,162,0
646,DET,AL,1988,703,658,88,162,0
647,HOU,NL,1988,617,631,82,162,0
648,KCR,AL,1988,704,648,84,161,0
649,LAD,NL,1988,628,544,94,162,1
650,MIL,AL,1988,682,616,87,162,0
651,MIN,AL,1988,759,672,91,162,0
652,MON,NL,1988,628,592,81,163,0
653,NYM,NL,1988,703,532,100,160,1
654,NYY,AL,1988,772,748,85,161,0
655,OAK,AL,1988,800,620,104,162,1
656,PHI,NL,1988,597,734,65,162,0
657,PIT,NL,1988,651,616,85,160,0
658,SDP,NL,1988,594,583,83,161,0
659,SEA,AL,1988,664,744,68,161,0
660,SFG,NL,1988,670,626,83,162,0
661,STL,NL,1988,578,633,76,162,0
662,TEX,AL,1988,637,735,70,161,0
663,TOR,AL,1988,763,680,87,162,0
664,ATL,NL,1987,747,829,69,161,0
665,BAL,AL,1987,729,880,67,162,0
666,BOS,AL,1987,842,825,78,162,0
667,CAL,AL,1987,770,803,75,162,0
668,CHC,NL,1987,720,801,76,161,0
669,CHW,AL,1987,748,746,77,162,0
670,CIN,NL,1987,783,752,84,162,0
671,CLE,AL,1987,742,957,61,162,0
672,DET,AL,1987,896,735,98,162,1
673,HOU,NL,1987,648,678,76,162,0
674,KCR,AL,1987,715,691,83,162,0
675,LAD,NL,1987,635,675,73,162,0
676,MIL,AL,1987,862,817,91,162,0
677,MIN,AL,1987,786,806,85,162,1
678,MON,NL,1987,741,720,91,162,0
679,NYM,NL,1987,823,698,92,162,0
680,NYY,AL,1987,788,758,89,162,0
681,OAK,AL,1987,806,789,81,162,0
682,PHI,NL,1987,702,749,80,162,0
683,PIT,NL,1987,723,744,80,162,0
684,SDP,NL,1987,668,763,65,162,0
685,SEA,AL,1987,760,801,78,162,0
686,SFG,NL,1987,783,669,90,162,1
687,STL,NL,1987,798,693,95,162,1
688,TEX,AL,1987,823,849,75,162,0
689,TOR,AL,1987,845,655,96,162,0
690,ATL,NL,1986,615,719,72,161,0
691,BAL,AL,1986,708,760,73,162,0
692,BOS,AL,1986,794,696,95,161,1
693,CAL,AL,1986,786,684,92,162,1
694,CHC,NL,1986,680,781,70,160,0
695,CHW,AL,1986,644,699,72,162,0
696,CIN,NL,1986,732,717,86,162,0
697,CLE,AL,1986,831,841,84,163,0
698,DET,AL,1986,798,714,87,162,0
699,HOU,NL,1986,654,569,96,162,1
700,KCR,AL,1986,654,673,76,162,0
701,LAD,NL,1986,638,679,73,162,0
702,MIL,AL,1986,667,734,77,161,0
703,MIN,AL,1986,741,839,71,162,0
704,MON,NL,1986,637,688,78,161,0
705,NYM,NL,1986,783,578,108,162,1
706,NYY,AL,1986,797,738,90,162,0
707,OAK,AL,1986,731,760,76,162,0
708,PHI,NL,1986,739,713,86,161,0
709,PIT,NL,1986,663,700,64,162,0
710,SDP,NL,1986,656,723,74,162,0
711,SEA,AL,1986,718,835,67,162,0
712,SFG,NL,1986,698,618,83,162,0
713,STL,NL,1986,601,611,79,161,0
714,TEX,AL,1986,771,743,87,162,0
715,TOR,AL,1986,809,733,86,163,0
716,ATL,NL,1985,632,781,66,162,0
717,BAL,AL,1985,818,764,83,161,0
718,BOS,AL,1985,800,720,81,163,0
719,CAL,AL,1985,732,703,90,162,0
720,CHC,NL,1985,686,729,77,162,0
721,CHW,AL,1985,736,720,85,163,0
722,CIN,NL,1985,677,666,89,162,0
723,CLE,AL,1985,729,861,60,162,0
724,DET,AL,1985,729,688,84,161,0
725,HOU,NL,1985,706,691,83,162,0
726,KCR,AL,1985,687,639,91,162,1
727,LAD,NL,1985,682,579,95,162,1
728,MIL,AL,1985,690,802,71,161,0
729,MIN,AL,1985,705,782,77,162,0
730,MON,NL,1985,633,636,84,161,0
731,NYM,NL,1985,695,568,98,162,0
732,NYY,AL,1985,839,660,97,161,0
733,OAK,AL,1985,757,787,77,162,0
734,PHI,NL,1985,667,673,75,162,0
735,PIT,NL,1985,568,708,57,161,0
736,SDP,NL,1985,650,622,83,162,0
737,SEA,AL,1985,719,818,74,162,0
738,SFG,NL,1985,556,674,62,162,0
739,STL,NL,1985,747,572,101,162,1
740,TEX,AL,1985,617,785,62,161,0
741,TOR,AL,1985,759,588,99,161,1
742,ATL,NL,1984,632,655,80,162,0
743,BAL,AL,1984,681,667,85,162,0
744,BOS,AL,1984,810,764,86,162,0
745,CAL,AL,1984,696,697,81,162,0
746,CHC,NL,1984,762,658,96,161,1
747,CHW,AL,1984,679,736,74,162,0
748,CIN,NL,1984,627,747,70,162,0
749,CLE,AL,1984,761,766,75,163,0
750,DET,AL,1984,829,643,104,162,1
751,HOU,NL,1984,693,630,80,162,0
752,KCR,AL,1984,673,686,84,162,1
753,LAD,NL,1984,580,600,79,162,0
754,MIL,AL,1984,641,734,67,161,0
755,MIN,AL,1984,673,675,81,162,0
756,MON,NL,1984,593,585,78,161,0
757,NYM,NL,1984,652,676,90,162,0
758,NYY,AL,1984,758,679,87,162,0
759,OAK,AL,1984,738,796,77,162,0
760,PHI,NL,1984,720,690,81,162,0
761,PIT,NL,1984,615,567,75,162,0
762,SDP,NL,1984,686,634,92,162,1
763,SEA,AL,1984,682,774,74,162,0
764,SFG,NL,1984,682,807,66,162,0
765,STL,NL,1984,652,645,84,162,0
766,TEX,AL,1984,656,714,69,161,0
767,TOR,AL,1984,750,696,89,163,0
768,ATL,NL,1983,746,640,88,162,0
769,BAL,AL,1983,799,652,98,162,1
770,BOS,AL,1983,724,775,78,162,0
771,CAL,AL,1983,722,779,70,162,0
772,CHC,NL,1983,701,719,71,162,0
773,CHW,AL,1983,800,650,99,162,1
774,CIN,NL,1983,623,710,74,162,0
775,CLE,AL,1983,704,785,70,162,0
776,DET,AL,1983,789,679,92,162,0
777,HOU,NL,1983,643,646,85,162,0
778,KCR,AL,1983,696,767,79,163,0
779,LAD,NL,1983,654,609,91,163,1
780,MIL,AL,1983,764,708,87,162,0
781,MIN,AL,1983,709,822,70,162,0
782,MON,NL,1983,677,646,82,163,0
783,NYM,NL,1983,575,680,68,162,0
784,NYY,AL,1983,770,703,91,162,0
785,OAK,AL,1983,708,782,74,162,0
786,PHI,NL,1983,696,635,90,163,1
787,PIT,NL,1983,659,648,84,162,0
788,SDP,NL,1983,653,653,81,163,0
789,SEA,AL,1983,558,740,60,162,0
790,SFG,NL,1983,687,697,79,162,0
791,STL,NL,1983,679,710,79,162,0
792,TEX,AL,1983,639,609,77,163,0
793,TOR,AL,1983,795,726,89,162,0
794,ATL,NL,1982,739,702,89,162,1
795,BAL,AL,1982,774,687,94,163,0
796,BOS,AL,1982,753,713,89,162,0
797,CAL,AL,1982,814,670,93,162,1
798,CHC,NL,1982,676,709,73,162,0
799,CHW,AL,1982,786,710,87,162,0
800,CIN,NL,1982,545,661,61,162,0
801,CLE,AL,1982,683,748,78,162,0
802,DET,AL,1982,729,685,83,162,0
803,HOU,NL,1982,569,620,77,162,0
804,KCR,AL,1982,784,717,90,162,0
805,LAD,NL,1982,691,612,88,162,0
806,MIL,AL,1982,891,717,95,163,1
807,MIN,AL,1982,657,819,60,162,0
808,MON,NL,1982,697,616,86,162,0
809,NYM,NL,1982,609,723,65,162,0
810,NYY,AL,1982,709,716,79,162,0
811,OAK,AL,1982,691,819,68,162,0
812,PHI,NL,1982,664,654,89,162,0
813,PIT,NL,1982,724,696,84,162,0
814,SDP,NL,1982,675,658,81,162,0
815,SEA,AL,1982,651,712,76,162,0
816,SFG,NL,1982,673,687,87,162,0
817,STL,NL,1982,685,609,92,162,1
818,TEX,AL,1982,590,749,64,162,0
819,TOR,AL,1982,651,701,78,162,0
820,ATL,NL,1980,630,660,81,161,0
821,BAL,AL,1980,805,640,100,162,0
822,BOS,AL,1980,757,767,83,160,0
823,CAL,AL,1980,698,797,65,160,0
824,CHC,NL,1980,614,728,64,162,0
825,CHW,AL,1980,587,722,70,162,0
826,CIN,NL,1980,707,670,89,163,0
827,CLE,AL,1980,738,807,79,160,0
828,DET,AL,1980,830,757,84,163,0
829,HOU,NL,1980,637,589,93,163,1
830,KCR,AL,1980,809,694,97,162,1
831,LAD,NL,1980,663,591,92,163,0
832,MIL,AL,1980,811,682,86,162,0
833,MIN,AL,1980,670,724,77,161,0
834,MON,NL,1980,694,629,90,162,0
835,NYM,NL,1980,611,702,67,162,0
836,NYY,AL,1980,820,662,103,162,1
837,OAK,AL,1980,686,642,83,162,0
838,PHI,NL,1980,728,639,91,162,1
839,PIT,NL,1980,666,646,83,162,0
840,SDP,NL,1980,591,654,73,163,0
841,SEA,AL,1980,610,793,59,163,0
842,SFG,NL,1980,573,634,75,161,0
843,STL,NL,1980,738,710,74,162,0
844,TEX,AL,1980,756,752,76,163,0
845,TOR,AL,1980,624,762,67,162,0
846,ATL,NL,1979,669,763,66,160,0
847,BAL,AL,1979,757,582,102,159,1
848,BOS,AL,1979,841,711,91,160,0
849,CAL,AL,1979,866,768,88,162,1
850,CHC,NL,1979,706,707,80,162,0
851,CHW,AL,1979,730,748,73,160,0
852,CIN,NL,1979,731,644,90,161,1
853,CLE,AL,1979,760,805,81,161,0
854,DET,AL,1979,770,738,84,161,0
855,HOU,NL,1979,583,582,89,162,0
856,KCR,AL,1979,851,816,85,162,0
857,LAD,NL,1979,739,717,79,162,0
858,MIL,AL,1979,807,722,95,161,0
859,MIN,AL,1979,764,725,82,162,0
860,MON,NL,1979,701,581,95,160,0
861,NYM,NL,1979,593,706,63,163,0
862,NYY,AL,1979,734,672,89,160,0
863,OAK,AL,1979,573,860,54,162,0
864,PHI,NL,1979,683,718,84,163,0
865,PIT,NL,1979,775,643,98,163,1
866,SDP,NL,1979,603,681,68,161,0
867,SEA,AL,1979,711,820,67,162,0
868,SFG,NL,1979,672,751,71,162,0
869,STL,NL,1979,731,693,86,163,0
870,TEX,AL,1979,750,698,83,162,0
871,TOR,AL,1979,613,862,53,162,0
872,ATL,NL,1978,600,750,69,162,0
873,BAL,AL,1978,659,633,90,161,0
874,BOS,AL,1978,796,657,99,163,0
875,CAL,AL,1978,691,666,87,162,0
876,CHC,NL,1978,664,724,79,162,0
877,CHW,AL,1978,634,731,71,161,0
878,CIN,NL,1978,710,688,92,161,0
879,CLE,AL,1978,639,694,69,159,0
880,DET,AL,1978,714,653,86,162,0
881,HOU,NL,1978,605,634,74,162,0
882,KCR,AL,1978,743,634,92,162,1
883,LAD,NL,1978,727,573,95,162,1
884,MIL,AL,1978,804,650,93,162,0
885,MIN,AL,1978,666,678,73,162,0
886,MON,NL,1978,633,611,76,162,0
887,NYM,NL,1978,607,690,66,162,0
888,NYY,AL,1978,735,582,100,163,1
889,OAK,AL,1978,532,690,69,162,0
890,PHI,NL,1978,708,586,90,162,1
891,PIT,NL,1978,684,637,88,161,0
892,SDP,NL,1978,591,598,84,162,0
893,SEA,AL,1978,614,834,56,160,0
894,SFG,NL,1978,613,594,89,162,0
895,STL,NL,1978,600,657,69,162,0
896,TEX,AL,1978,692,632,87,162,0
897,TOR,AL,1978,590,775,59,161,0
898,ATL,NL,1977,678,895,61,162,0
899,BAL,AL,1977,719,653,97,161,0
900,BOS,AL,1977,859,712,97,161,0
901,CAL,AL,1977,675,695,74,162,0
902,CHC,NL,1977,692,739,81,162,0
903,CHW,AL,1977,844,771,90,162,0
904,CIN,NL,1977,802,725,88,162,0
905,CLE,AL,1977,676,739,71,161,0
906,DET,AL,1977,714,751,74,162,0
907,HOU,NL,1977,680,650,81,162,0
908,KCR,AL,1977,822,651,102,162,1
909,LAD,NL,1977,769,582,98,162,1
910,MIL,AL,1977,639,765,67,162,0
911,MIN,AL,1977,867,776,84,161,0
912,MON,NL,1977,665,736,75,162,0
913,NYM,NL,1977,587,663,64,162,0
914,NYY,AL,1977,831,651,100,162,1
915,OAK,AL,1977,605,749,63,161,0
916,PHI,NL,1977,847,668,101,162,1
917,PIT,NL,1977,734,665,96,162,0
918,SDP,NL,1977,692,834,69,162,0
919,SEA,AL,1977,624,855,64,162,0
920,SFG,NL,1977,673,711,75,162,0
921,STL,NL,1977,737,688,83,162,0
922,TEX,AL,1977,767,657,94,162,0
923,TOR,AL,1977,605,822,54,161,0
924,ATL,NL,1976,620,700,70,162,0
925,BAL,AL,1976,619,598,88,162,0
926,BOS,AL,1976,716,660,83,162,0
927,CAL,AL,1976,550,631,76,162,0
928,CHC,NL,1976,611,728,75,162,0
929,CHW,AL,1976,586,745,64,161,0
930,CIN,NL,1976,857,633,102,162,1
931,CLE,AL,1976,615,615,81,159,0
932,DET,AL,1976,609,709,74,161,0
933,HOU,NL,1976,625,657,80,162,0
934,KCR,AL,1976,713,611,90,162,1
935,LAD,NL,1976,608,543,92,162,0
936,MIL,AL,1976,570,655,66,161,0
937,MIN,AL,1976,743,704,85,162,0
938,MON,NL,1976,531,734,55,162,0
939,NYM,NL,1976,615,538,86,162,0
940,NYY,AL,1976,730,575,97,159,1
941,OAK,AL,1976,686,598,87,161,0
942,PHI,NL,1976,770,557,101,162,1
943,PIT,NL,1976,708,630,92,162,0
944,SDP,NL,1976,570,662,73,162,0
945,SFG,NL,1976,595,686,74,162,0
946,STL,NL,1976,629,671,72,162,0
947,TEX,AL,1976,616,652,76,162,0
948,ATL,NL,1975,583,739,67,161,0
949,BAL,AL,1975,682,553,90,159,0
950,BOS,AL,1975,796,709,95,160,1
951,CAL,AL,1975,628,723,72,161,0
952,CHC,NL,1975,712,827,75,162,0
953,CHW,AL,1975,655,703,75,161,0
954,CIN,NL,1975,840,586,108,162,1
955,CLE,AL,1975,688,703,79,159,0
956,DET,AL,1975,570,786,57,159,0
957,HOU,NL,1975,664,711,64,162,0
958,KCR,AL,1975,710,649,91,162,0
959,LAD,NL,1975,648,534,88,162,0
960,MIL,AL,1975,675,792,68,162,0
961,MIN,AL,1975,724,736,76,159,0
962,MON,NL,1975,601,690,75,162,0
963,NYM,NL,1975,646,625,82,162,0
964,NYY,AL,1975,681,588,83,160,0
965,OAK,AL,1975,758,606,98,162,1
966,PHI,NL,1975,735,694,86,162,0
967,PIT,NL,1975,712,565,92,161,1
968,SDP,NL,1975,552,683,71,162,0
969,SFG,NL,1975,659,671,80,161,0
970,STL,NL,1975,662,689,82,163,0
971,TEX,AL,1975,714,733,79,162,0
972,ATL,NL,1974,661,563,88,163,0
973,BAL,AL,1974,659,612,91,162,1
974,BOS,AL,1974,696,661,84,162,0
975,CAL,AL,1974,618,657,68,163,0
976,CHC,NL,1974,669,826,66,162,0
977,CHW,AL,1974,684,721,80,163,0
978,CIN,NL,1974,776,631,98,163,0
979,CLE,AL,1974,662,694,77,162,0
980,DET,AL,1974,620,768,72,162,0
981,HOU,NL,1974,653,632,81,162,0
982,KCR,AL,1974,667,662,77,162,0
983,LAD,NL,1974,798,561,102,162,1
984,MIL,AL,1974,647,660,76,162,0
985,MIN,AL,1974,673,669,82,163,0
986,MON,NL,1974,662,657,79,161,0
987,NYM,NL,1974,572,646,71,162,0
988,NYY,AL,1974,671,623,89,162,0
989,OAK,AL,1974,689,551,90,162,1
990,PHI,NL,1974,676,701,80,162,0
991,PIT,NL,1974,751,657,88,162,1
992,SDP,NL,1974,541,830,60,162,0
993,SFG,NL,1974,634,723,72,162,0
994,STL,NL,1974,677,643,86,161,0
995,TEX,AL,1974,690,698,83,161,0
996,ATL,NL,1973,799,774,76,162,0
997,BAL,AL,1973,754,561,97,162,1
998,BOS,AL,1973,738,647,89,162,0
999,CAL,AL,1973,629,657,79,162,0
1000,CHC,NL,1973,614,655,77,161,0
1001,CHW,AL,1973,652,705,77,162,0
1002,CIN,NL,1973,741,621,99,162,1
1003,CLE,AL,1973,680,826,71,162,0
1004,DET,AL,1973,642,674,85,162,0
1005,HOU,NL,1973,681,672,82,162,0
1006,KCR,AL,1973,755,752,88,162,0
1007,LAD,NL,1973,675,565,95,162,0
1008,MIL,AL,1973,708,731,74,162,0
1009,MIN,AL,1973,738,692,81,162,0
1010,MON,NL,1973,668,702,79,162,0
1011,NYM,NL,1973,608,588,82,161,1
1012,NYY,AL,1973,641,610,80,162,0
1013,OAK,AL,1973,758,615,94,162,1
1014,PHI,NL,1973,642,717,71,162,0
1015,PIT,NL,1973,704,693,80,162,0
1016,SDP,NL,1973,548,770,60,162,0
1017,SFG,NL,1973,739,702,88,162,0
1018,STL,NL,1973,643,603,81,162,0
1019,TEX,AL,1973,619,844,57,162,0
1020,ATL,NL,1971,643,699,82,162,0
1021,BAL,AL,1971,742,530,101,158,1
1022,BOS,AL,1971,691,667,85,162,0
1023,CAL,AL,1971,511,576,76,162,0
1024,CHC,NL,1971,637,648,83,162,0
1025,CHW,AL,1971,617,597,79,162,0
1026,CIN,NL,1971,586,581,79,162,0
1027,CLE,AL,1971,543,747,60,162,0
1028,DET,AL,1971,701,645,91,162,0
1029,HOU,NL,1971,585,567,79,162,0
1030,KCR,AL,1971,603,566,85,161,0
1031,LAD,NL,1971,663,587,89,162,0
1032,MIL,AL,1971,534,609,69,161,0
1033,MIN,AL,1971,654,670,74,160,0
1034,MON,NL,1971,622,729,71,162,0
1035,NYM,NL,1971,588,550,83,162,0
1036,NYY,AL,1971,648,641,81,162,0
1037,OAK,AL,1971,691,564,101,161,1
1038,PHI,NL,1971,558,688,67,162,0
1039,PIT,NL,1971,788,599,97,162,1
1040,SDP,NL,1971,486,610,61,161,0
1041,SFG,NL,1971,706,644,90,162,1
1042,STL,NL,1971,739,699,90,163,0
1043,WSA,AL,1971,537,660,63,159,0
1044,ATL,NL,1970,736,772,76,162,0
1045,BAL,AL,1970,792,574,108,162,1
1046,BOS,AL,1970,786,722,87,162,0
1047,CAL,AL,1970,631,630,86,162,0
1048,CHC,NL,1970,806,679,84,162,0
1049,CHW,AL,1970,633,822,56,162,0
1050,CIN,NL,1970,775,681,102,162,1
1051,CLE,AL,1970,649,675,76,162,0
1052,DET,AL,1970,666,731,79,162,0
1053,HOU,NL,1970,744,763,79,162,0
1054,KCR,AL,1970,611,705,65,162,0
1055,LAD,NL,1970,749,684,87,161,0
1056,MIL,AL,1970,613,751,65,163,0
1057,MIN,AL,1970,744,605,98,162,1
1058,MON,NL,1970,687,807,73,162,0
1059,NYM,NL,1970,695,630,83,162,0
1060,NYY,AL,1970,680,612,93,163,0
1061,OAK,AL,1970,678,593,89,162,0
1062,PHI,NL,1970,594,730,73,161,0
1063,PIT,NL,1970,729,664,89,162,1
1064,SDP,NL,1970,681,788,63,162,0
1065,SFG,NL,1970,831,826,86,162,0
1066,STL,NL,1970,744,747,76,162,0
1067,WSA,AL,1970,626,689,70,162,0
1068,ATL,NL,1969,691,631,93,162,1
1069,BAL,AL,1969,779,517,109,162,1
1070,BOS,AL,1969,743,736,87,162,0
1071,CAL,AL,1969,528,652,71,163,0
1072,CHC,NL,1969,720,611,92,163,0
1073,CHW,AL,1969,625,723,68,162,0
1074,CIN,NL,1969,798,768,89,163,0
1075,CLE,AL,1969,573,717,62,161,0
1076,DET,AL,1969,701,601,90,162,0
1077,HOU,NL,1969,676,668,81,162,0
1078,KCR,AL,1969,586,688,69,163,0
1079,LAD,NL,1969,645,561,85,162,0
1080,MIN,AL,1969,790,618,97,162,1
1081,MON,NL,1969,582,791,52,162,0
1082,NYM,NL,1969,632,541,100,162,1
1083,NYY,AL,1969,562,587,80,162,0
1084,OAK,AL,1969,740,678,88,162,0
1085,PHI,NL,1969,645,745,63,162,0
1086,PIT,NL,1969,725,652,88,162,0
1087,SDP,NL,1969,468,746,52,162,0
1088,SEP,AL,1969,639,799,64,163,0
1089,SFG,NL,1969,713,636,90,162,0
1090,STL,NL,1969,595,540,87,162,0
1091,WSA,AL,1969,694,644,86,162,0
1092,ATL,NL,1968,514,549,81,163,0
1093,BAL,AL,1968,579,497,91,162,0
1094,BOS,AL,1968,614,611,86,162,0
1095,CAL,AL,1968,498,615,67,162,0
1096,CHC,NL,1968,612,611,84,163,0
1097,CHW,AL,1968,463,527,67,162,0
1098,CIN,NL,1968,690,673,83,163,0
1099,CLE,AL,1968,516,504,86,162,0
1100,DET,AL,1968,671,492,103,164,1
1101,HOU,NL,1968,510,588,72,162,0
1102,LAD,NL,1968,470,509,76,162,0
1103,MIN,AL,1968,562,546,79,162,0
1104,NYM,NL,1968,473,499,73,163,0
1105,NYY,AL,1968,536,531,83,164,0
1106,OAK,AL,1968,569,544,82,163,0
1107,PHI,NL,1968,543,615,76,162,0
1108,PIT,NL,1968,583,532,80,163,0
1109,SFG,NL,1968,599,529,88,163,0
1110,STL,NL,1968,583,472,97,162,1
1111,WSA,AL,1968,524,665,65,161,0
1112,ATL,NL,1967,631,640,77,162,0
1113,BAL,AL,1967,654,592,76,161,0
1114,BOS,AL,1967,722,614,92,162,1
1115,CAL,AL,1967,567,587,84,161,0
1116,CHC,NL,1967,702,624,87,162,0
1117,CHW,AL,1967,531,491,89,162,0
1118,CIN,NL,1967,604,563,87,162,0
1119,CLE,AL,1967,559,613,75,162,0
1120,DET,AL,1967,683,587,91,163,0
1121,HOU,NL,1967,626,742,69,162,0
1122,KCA,AL,1967,533,660,62,161,0
1123,LAD,NL,1967,519,595,73,162,0
1124,MIN,AL,1967,671,590,91,164,0
1125,NYM,NL,1967,498,672,61,162,0
1126,NYY,AL,1967,522,621,72,163,0
1127,PHI,NL,1967,612,581,82,162,0
1128,PIT,NL,1967,679,693,81,163,0
1129,SFG,NL,1967,652,551,91,162,0
1130,STL,NL,1967,695,557,101,161,1
1131,WSA,AL,1967,550,637,76,161,0
1132,ATL,NL,1966,782,683,85,163,0
1133,BAL,AL,1966,755,601,97,160,1
1134,BOS,AL,1966,655,731,72,162,0
1135,CAL,AL,1966,604,643,80,162,0
1136,CHC,NL,1966,644,809,59,162,0
1137,CHW,AL,1966,574,517,83,163,0
1138,CIN,NL,1966,692,702,76,160,0
1139,CLE,AL,1966,574,586,81,162,0
1140,DET,AL,1966,719,698,88,162,0
1141,HOU,NL,1966,612,695,72,163,0
1142,KCA,AL,1966,564,648,74,160,0
1143,LAD,NL,1966,606,490,95,162,1
1144,MIN,AL,1966,663,581,89,162,0
1145,NYM,NL,1966,587,761,66,161,0
1146,NYY,AL,1966,611,612,70,160,0
1147,PHI,NL,1966,696,640,87,162,0
1148,PIT,NL,1966,759,641,92,162,0
1149,SFG,NL,1966,675,626,93,161,0
1150,STL,NL,1966,571,577,83,162,0
1151,WSA,AL,1966,557,659,71,159,0
1152,BAL,AL,1965,641,578,94,162,0
1153,BOS,AL,1965,669,791,62,162,0
1154,CAL,AL,1965,527,569,75,162,0
1155,CHC,NL,1965,635,723,72,164,0
1156,CHW,AL,1965,647,555,95,162,0
1157,CIN,NL,1965,825,704,89,162,0
1158,CLE,AL,1965,663,613,87,162,0
1159,DET,AL,1965,680,602,89,162,0
1160,HOU,NL,1965,569,711,65,162,0
1161,KCA,AL,1965,585,755,59,162,0
1162,LAD,NL,1965,608,521,97,162,1
1163,MIN,AL,1965,774,600,102,162,1
1164,MLN,NL,1965,708,633,86,162,0
1165,NYM,NL,1965,495,752,50,164,0
1166,NYY,AL,1965,611,604,77,162,0
1167,PHI,NL,1965,654,667,85,162,0
1168,PIT,NL,1965,675,580,90,163,0
1169,SFG,NL,1965,682,593,95,163,0
1170,STL,NL,1965,707,674,80,162,0
1171,WSA,AL,1965,591,721,70,162,0
1172,BAL,AL,1964,679,567,97,163,0
1173,BOS,AL,1964,688,793,72,162,0
1174,CHC,NL,1964,649,724,76,162,0
1175,CHW,AL,1964,642,501,98,162,0
1176,CIN,NL,1964,660,566,92,163,0
1177,CLE,AL,1964,689,693,79,164,0
1178,DET,AL,1964,699,678,85,163,0
1179,HOU,NL,1964,495,628,66,162,0
1180,KCA,AL,1964,621,836,57,163,0
1181,LAA,AL,1964,544,551,82,162,0
1182,LAD,NL,1964,614,572,80,164,0
1183,MIN,AL,1964,737,678,79,163,0
1184,MLN,NL,1964,803,744,88,162,0
1185,NYM,NL,1964,569,776,53,163,0
1186,NYY,AL,1964,730,577,99,164,1
1187,PHI,NL,1964,693,632,92,162,0
1188,PIT,NL,1964,663,636,80,162,0
1189,SFG,NL,1964,656,587,90,162,0
1190,STL,NL,1964,715,652,93,162,1
1191,WSA,AL,1964,578,733,62,162,0
1192,BAL,AL,1963,644,621,86,162,0
1193,BOS,AL,1963,666,704,76,161,0
1194,CHC,NL,1963,570,578,82,162,0
1195,CHW,AL,1963,683,544,94,162,0
1196,CIN,NL,1963,648,594,86,162,0
1197,CLE,AL,1963,635,702,79,162,0
1198,DET,AL,1963,700,703,79,162,0
1199,HOU,NL,1963,464,640,66,162,0
1200,KCA,AL,1963,615,704,73,162,0
1201,LAA,AL,1963,597,660,70,161,0
1202,LAD,NL,1963,640,550,99,163,1
1203,MIN,AL,1963,767,602,91,161,0
1204,MLN,NL,1963,677,603,84,163,0
1205,NYM,NL,1963,501,774,51,162,0
1206,NYY,AL,1963,714,547,104,161,1
1207,PHI,NL,1963,642,578,87,162,0
1208,PIT,NL,1963,567,595,74,162,0
1209,SFG,NL,1963,725,641,88,162,0
1210,STL,NL,1963,747,628,93,162,0
1211,WSA,AL,1963,578,812,56,162,0
1212,BAL,AL,1962,652,680,77,162,0
1213,BOS,AL,1962,707,756,76,160,0
1214,CHC,NL,1962,632,827,59,162,0
1215,CHW,AL,1962,707,658,85,162,0
1216,CIN,NL,1962,802,685,98,162,0
1217,CLE,AL,1962,682,745,80,162,0
1218,DET,AL,1962,758,692,85,161,0
1219,HOU,NL,1962,592,717,64,162,0
1220,KCA,AL,1962,745,837,72,162,0
1221,LAA,AL,1962,718,706,86,162,0
1222,LAD,NL,1962,842,697,102,165,0
1223,MIN,AL,1962,798,713,91,163,0
1224,MLN,NL,1962,730,665,86,162,0
1225,NYM,NL,1962,617,948,40,161,0
1226,NYY,AL,1962,817,680,96,162,1
1227,PHI,NL,1962,705,759,81,161,0
1228,PIT,NL,1962,706,626,93,161,0
1229,SFG,NL,1962,878,690,103,165,1
1230,STL,NL,1962,774,664,84,163,0
1231,WSA,AL,1962,599,716,60,162,0
