,title,tagline
356,True Lies,"When he said I do, he never said what he did."
670,American Buffalo,They had a plan. It wasn't worth a nickle.
867,Sleepers,When friendship runs deeper than blood.
340,The Lion King,Life's greatest adventure is finding your place in the Circle of Life.
431,The Hudsucker Proxy,They took him for a fall guy... but he threw them for a hoop.
953,Strictly Ballroom,A life lived in fear... ...is a life half lived
858,Looking for Richard,A four hundred year old work-in-progress.
203,The Babysitter,Something about her captures the imagination.
634,The Arrival,The greatest danger facing our world has been the planet's best kept secret... until now.
93,White Squall,
969,A Clockwork Orange,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven."
68,The Confessional,
626,Twister,The Dark Side of Nature.
284,Roommates,
810,Big Night,"In love and life, one big night can change everything."
434,In the Line of Fire,An assassin on the loose. A president in danger. Only one man stands between them...
153,Crumb,Weird sex · Obsession · Comic books
75,Lawnmower Man 2: Beyond Cyberspace,"God made him simple. Science made him a god. Now, he wants revenge."
971,Apocalypse Now,This is the end...
446,Lightning Jack,
188,The Tie That Binds,
271,Only You,A love story written in the stars.
236,I.Q.,Think Love.
487,The Secret Garden,"The timeless tale of a special place where magic, hope and love grow."
117,Margaret's Museum,She found a way to preserve her memories forever.
824,Old Yeller,"All the heart, all the excitement of a great frontier adventure!"
512,The Pagemaster,All The Adventure Your Imagination Can Hold.
800,"Yes, Madam",
595,Operation Dumbo Drop,A Top-Secret Mission Of Gigantic Proportions!
126,Flirting with Disaster,"A comedy about sex, love, family and other accidents waiting to happen."
116,Before and After,A murder. A suspect. A shadow of a doubt.
473,The Remains of the Day,Diamond in the Rough
697,The Spitfire Grill,"To a town with no future, comes a girl with a past."
57,How To Make An American Quilt,There's beauty in the patterns of life.
678,Kaspar Hauser,
918,Private Benjamin,
369,Highlander: The Final Dimension,"Throughout time they have hunted each other fulfilling the prophecy, that there can be only one."
268,Beyond Bedlam,Psychological Terror Beyond Your Wildest Nightmares
46,Carrington,A Love so Unusual it has to be True
349,Red Rock West,Where nothing is as it seems.
195,A Walk in the Clouds,A man in search. A woman in need. A story of fate.
1007,Dead Poets Society,He was their inspiration. He made their lives extraordinary.
946,Hear My Song,There's definitely magic in the air
741,Casablanca,They had a date with fate in Casablanca!
263,My Family,Three generations of dreams.
443,Lassie,Best Friends Are Forever
679,The Adventures of Pinocchio,A new angle on the classic tale... And that's no lie!
304,Tank Girl,"In 2033, justice rides a tank and wears lip gloss."
341,Little Buddha,A magical journey to a place where the past and present meet
602,Feeling Minnesota,"Just when she met the man of her dreams, along came her husband to ruin everything."
974,Wings of Desire,There are angels on the streets of Berlin.
149,Casper,Get an afterlife
124,Chungking Express,What a difference a day makes
892,The Doors,"The Ultimate Story of Sex, Drugs & Rock 'N' Roll"
828,The Shaggy Dog,"""I was a Teen-age boy!"""
50,Clueless,Sex. Clothes. Popularity. Is there a problem here?
353,Speed,Get ready for rush hour
933,The Bloody Child,An interior of violence.
142,Apollo 13,"Houston, we have a problem."
470,The Puppet Masters,Trust No One
399,The Cowboy Way,
629,Thinner,Let the curse fit the crime.
320,The Baby-Sitters Club,Friends Forever
19,Sabrina,You are cordially invited to the most surprising merger of the year.
906,The Funeral,"One family, one murder, too many lies."
803,The Pompatus of Love,Woman are a mystery
814,2 Days in the Valley,You have one minute to decide the rest of your life.
407,Farewell My Concubine,
537,Snow White and the Seven Dwarfs,"The Happiest, Dopiest, Grumpiest, Sneeziest movie of the year."
869,Aladdin and the King of Thieves,The Spectacular Adventure Continues!
38,Othello,"Envy, greed, jealousy and love."
175,The Net,"No driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... She finds her identity stolen."
245,Little Women,"The story that has lived in our hearts for generations, now comes to the screen for the holidays."
834,Cinderella,The greatest love story ever told.
845,The Fox and the Hound,A story of two friends who didn't know they were supposed to be enemies.
759,Spellbound,The maddest love that ever possessed a woman.
864,Everyone Says I Love You,
154,Desperado,"When the smoke clears, it just means he's reloading."
287,Three Colors: Blue,
613,Flipper,This summer it's finally safe to go back in the water.
569,Girl 6,"A fresh, sassy and sexy comedy!"
819,The Apple Dumpling Gang,"Wanted: For chicanery, skulduggery, tomfoolery and habitual bungling!"
17,Father of the Bride Part II,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!
127,The Neverending Story III: Escape from Fantasia,It's a brand new beginning in the adventure that never ends
322,"The Adventures of Priscilla, Queen of the Desert",She's back... Looking as gorgeous and outrageous as ever in a brand new frock.
255,Losing Isaiah,Who decides what makes a mother?
987,Henry V,The great adventure of a king who defied the odds to prove himself a man.
972,Once Upon a Time in the West,There were three men in her life. One to take her... one to love her... and one to kill her.
190,Total Eclipse,Touched by Genius. Cursed by Madness. Blinded by Love.
115,Rumble in the Bronx,No Fear. No Stuntman. No Equal.
620,The Great White Hype,If you can't find the perfect contender....make one.
606,Boys,No one stays innocent forever.
180,Safe,In the 21st century nobody will be... Safe.
301,The Sum of Us,We're all just . . . The Sum of Us.
764,Ninotchka,Greta Garbo laughs!
717,The Trigger Effect,"When Nothing Works, Anything Goes."
728,Singin' in the Rain,What a Glorious Feeling!
689,Emma,Cupid is armed and dangerous!
665,Harriet the Spy,On your case!
517,Chasers,It was supposed to be a routine prisoner transfer. But this was no ordinary prisoner.
992,Annie Hall,A nervous romance.
45,Babe,A little pig goes a long way.
915,The Howling,Imagine your worst fear a reality
157,The Doom Generation,Sex. Violence. Whatever.
749,Gone with the Wind,The greatest romance of all time!
171,Mallrats,They're not there to shop. They're not there to work. They're just there.
16,Waiting to Exhale,Friends are the people who let you be yourself... and never let you forget it.
511,The War Room,They Changed The Way Campaigns Are Won
48,Across the Sea of Time,
979,The Big Blue,Danger...Like Passion...Runs Deep
846,Freeway,Her life is no fairy tale.
515,Welcome to the Dollhouse,Not all girls want to play with dolls.
829,Swiss Family Robinson,THE ADVENTURE OF ADVENTURES!
480,Romper Stomper,Give Him Smack In Head Special ...
283,The Quick and the Dead,Think you are quick enough?
723,Twelfth Night,
684,High School High,A Dangerous Mind is a terrible thing to waste
225,Fluke,Unleash your imagination... and come along on a magical journey. Follow him home.
26,Nixon,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation."
787,Little Lord Fauntleroy,
437,What's Love Got to Do with It,Who needs a heart when a heart can be broken?
958,One Flew Over the Cuckoo's Nest,"If he's crazy, what does that make you?"
364,"Faster, Pussycat! Kill! Kill!",Go-Go For a Wild Ride With the ACTION GIRLS!
229,The Glass Shield,In a world filled with violence... his only weapon is the truth!
37,Leaving Las Vegas,I Love You... The Way You Are.
973,Return of the Jedi,The Empire Falls...
374,The Age of Innocence,In a world of tradition. In an age of innocence. They dared to break the rules.
469,The Program,From Different Worlds They Come To Prove Themselves In The Gritty World of College Football.
975,The Third Man,Hunted by men ... Sought by WOMEN!
881,The Candidate,Too Handsome. Too Young. Too Liberal. Doesn't have a chance. He's PERFECT!
708,Carpool,A dad in a hurry. A man on the run. And five kids with an attitude.
730,Funny Face,'S Wonderful! 'S Marvelous!
194,Unzipped,
1005,Manhattan,Woody Allen's New Comedy Hit
870,Shall We Dance,"Foot-free Fred and joyous Ginger...in their gayest, gladdest show!"
503,Terminal Velocity,It's not the fall that kills you...
977,Alien,In space no one can hear you scream.
836,The Three Caballeros,
579,Fear,Together forever. Or else.
976,GoodFellas,Three Decades of Life in the Mafia.
162,Jeffrey,Love is an adventure when one of you is sure... and the other is positive.
706,Small Faces,You are now entering Tongland
152,Crimson Tide,Danger runs deep.
685,Phat Beach,Ain't nothin' but a g-string.
704,Police Story 3: Supercop,"There's never a cop around when you need one, but when this cop's around, all you need is one."
760,An Affair to Remember,In Italy... on the Mediterranean... across an ocean... and all over New York!
111,Muppet Treasure Island,Set sail for Muppet mayhem!
226,Farinelli,Où s'arrête le pouvoir de sa voix?
692,Eyes Without a Face,
103,Shopping,No one leaves without paying...
421,Getting Even with Dad,"..He's not getting mad, he's Getting Even With Dad."
419,Geronimo: An American Legend,A Warrior. A Leader. A Legend.
755,The Women,It's all about men!
586,Mystery Science Theater 3000: The Movie,Every year Hollywood makes hundreds of movies. This is one of them.
785,The Scarlet Letter,
672,Fled,See how they run.
119,The Young Poisoner's Handbook,
53,Dead Presidents,"In this daring heist, the only color that counts is green"
151,Congo,Where you are the endangered species.
403,Demolition Man,The 21st Century's most dangerous cop. The 21st Century's most ruthless criminal.
951,"Sex, Lies, and Videotape",
207,Circle of Friends,
658,Eraser,He will erase your past to protect your future.
849,The Lawnmower Man,God made him simple. Science made him a god.
767,The Reluctant Debutante,MGM presents the Comedy-Romance in luscious COLOR!
8,Batman: Under the Red Hood,Dare to Look Beneath the Hood.
813,Set It Off,It's about crime. It's about payback. It's about survival.
36,Powder,An extraordinary encounter with another human being.
452,Menace II Society,This is the truth. This is what's real.
651,Til There Was You,
253,Mi Vida Loca,Mothers. Warriors. Sisters. Survivors.
303,To Live,
751,Sunset Boulevard,A Hollywood Story
571,Courage Under Fire,A medal for honor. A search for justice. A battle for truth.
623,Heaven's Prisoners,"For an ex-cop obsessed with an unsolved murder, trusting the wrong woman could be a deadly choice."
714,The Relic,The Next Evolution In Terror.
898,Days of Thunder,You can't stop the thunder.
262,Miami Rhapsody,Love is great. Marriage is a completely different affair.
610,The Truth About Cats & Dogs,Brian's about to discover the woman he loves isn't the woman he loves.
297,Shallow Grave,The award winning thriller that'll bury you with laughs.
414,For Love or Money,He thought there was nothing as seductive as money. He was wrong.
150,Clockers,"When there's murder on the streets, everyone is a suspect."
793,Night of the Living Dead,"If it doesn't scare you, you're already dead!"
640,Ashes of Time,
895,Sophie's Choice,
550,The Pallbearer,Something magical is about to unfold in the most unexpected place.
796,Cat on a Hot Tin Roof,Just one pillow on her bed ... and just one desire in her heart!
488,Serial Mom,"Every Mom Wants to Be Wanted, But Not For Murder One!"
710,Gone Fishin',Even the fish are laughing!
147,Blue in the Face,Welcome to the planet Brooklyn.
146,Beyond Rangoon,Truth has a witness
847,The Sound of Music,The happiest sound in all the world!
937,Bob Roberts,Vote first.  Ask questions later.
784,Penny Serenade,"""Remember the tune they were singing the night we fell in love?..."""
659,The Gate of Heavenly Peace,
348,Reality Bites,A comedy about love in the '90s
463,North,A family comedy that appeals to the child in everyone.
325,Bullets Over Broadway,
186,Strange Days,You know you want it.
123,Boomerang,A Player Who's About to be Played.
859,Trees Lounge,
608,Cosi,
143,Rob Roy,Honor made him a man. Courage made him a hero. History made him a legend.
966,Withnail & I,"If you don't remember the sixties, don't worry - neither did they."
197,White Man's Burden,Reality Just Switched Sides
609,Mulholland Falls,"This isn't America, this is Los Angeles."
279,Priest,"In a world of rituals, in a place of secrets, a man must choose between keeping the faith and exposing the truth."
293,The Specialist,The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld.
400,Dangerous Game,TURBULENCE REDEMPTION HOLLYWOOD
122,The Boys of St. Vincent,
183,Smoke,Where there's smoke... there's laughter!
202,Billy Madison,Billy is going back to school... Way back.
438,Judgment Night,Don't move. Don't whisper. Don't even breathe.
246,A Little Princess,Every girl everywhere is a princess.
415,The Firm,Power can be murder to resist.
781,It's a Wonderful Life,It's a wonderful laugh! It's a wonderful love!
770,Laura,The story of a love that became the most fearful thing that ever happened to a woman!
912,The Abyss,"There's everything you've ever known about adventure, and then there's The Abyss."
773,Top Hat,They're Dancing Cheek-To-Cheek Again!
893,The Crying Game,Play At Your Own Risk.
129,Angela,
637,Gold Diggers: The Secret of Bear Mountain,Some friendships are worth a fortune
402,Dazed and Confused,See it with a bud.
789,The Inspector General,A new comedy kayo from Warner Bros.
928,T-Men,Terrific... and true!
735,Gaslight,Strange drama of a captive sweetheart!
919,Monty Python and the Holy Grail,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.
219,Ed Wood,"When it came to making bad movies, Ed Wood was the best."
641,Maya Lin: A Strong Clear Vision,The story of The Vietnam Veterans Memorial and its inspiring creator.
921,Snowriders,Man Wasn't Meant To Fly... Until Now!
757,Foreign Correspondent,The thrill spectacle of the year!
883,Bonnie and Clyde,They’re young… they’re in love… and they kill people.
925,Faust,
624,The Rock,Alcatraz.  Only one man has ever broken out.  Now five million lives depend on two men breaking in.
844,Alice in Wonderland,A world of wonders in One Great Picture
765,Love in the Afternoon,Love is a game any number can play... especially in the afternoon...
386,Blue Chips,
980,Ran,The Greatest Shakespeare Film
509,Trial by Jury,"For one juror, the question of guilt or innocence is a matter of life or death... her own."
267,New Jersey Drive,The Only Thing That Matters Is The Ride
825,The Parent Trap,
441,Killing Zoe,
496,Sliver,You like to watch... don't you?
112,Catwalk,"The moment when fashion, art and entertainment come together with stunning force and beauty."
691,House Arrest,There's More Than One Way To Keep A Marriage Together...
232,Houseguest,
956,Madonna: Truth or Dare,
607,The Quest,Go the distance
671,Alaska,A missing father. A desperate search. An unforgettable adventure.
373,Addams Family Values,The Family Just Got A Little Stranger
989,The Quiet Man,Action...Excitement...Romance...Fill the Screen !
848,Die Hard,40 Stories. Twelve Terrorists. One Cop.
233,Immortal Beloved,
790,Angel and the Badman,He lived only for revenge...She lived only for his love!
676,A Very Brady Sequel,The more everything changes the more they stay the same.
317,The War,
648,The Grass Harp,Love is a chain of love... as nature is a chain of life.
410,Fear of a Black Hat,The First Drive-By Comedy
904,Palookaville,One foot in the door. The other one in the gutter.
709,Kansas City,"Kansas City, 1934. Anything could happen here. One night it did."
358,Wolf,The animal is out.
258,Man of the House,Jack wants to marry Ben's mother. But there are strings attached.
744,Sabrina,...the chauffeur's daughter who learned her stuff in Paris
627,Barb Wire,Don't call me babe!
632,Force of Evil,
282,Queen Margot,
376,The Air Up There,
384,Blink,"What you can't see, can kill you."
224,Hideaway,He was bought back from the dead... but he didn't come back alone.
961,The Princess Bride,It's as real as the feelings you feel.
820,"Davy Crockett, King of the Wild Frontier",NOW...on the MOTION PICTURE SCREEN!
472,The Ref,They might be his hostages but what they're doing to this guy is criminal.
347,The Paper,"A behind-the-lines look at work, marriage and other forms of combat."
505,Threesome,One girl. Two guys. Three possibilities.
639,Carmen Miranda: Bananas Is My Business,
995,Das Boot,When the hunters become the hunted
797,The Last Time I Saw Paris,The sensational story of youth on a fling
934,Dear God,Many people write to God. Somebody is answering.
911,Drop Dead Fred,Dishes. Relationships. Wind. This guy breaks everything.
619,The Craft,Welcome to the witching hour.
861,Get on the Bus,"On October 16, 1996, the one year anniversary of the Million Man March, Spike Lee invites you to lift your head, raise your voice, and...get on the bus."
809,The Rich Man's Wife,Someone Is Playing A Very Deadly Game...
645,Heavy,
852,That Thing You Do!,In every life there comes a time when that dream you dream becomes that thing you do.
556,Ed,Minor league. Major friendship.
965,"The Good, the Bad and the Ugly",For three men the Civil War wasn't hell. It was practice.
577,Purple Noon,Passion at ten. Envy at eleven. Murder at noon.
795,Beat the Devil,They're Out To Beat the Devil At His Own Game!
85,The Crossing Guard,"...some lives cross, others collide."
242,A Kid in King Arthur's Court,Joust Do It.
698,Escape from L.A.,Snake Is Back.
159,First Knight,Their greatest battle would be for her love.
524,Spanking the Monkey,A gripping comedy about letting go.
35,Assassins,"In the shadows of life, In the business of death, One man found a reason to live..."
540,Pretty Woman,Who knew it was so much fun to be a hooker?
170,Mad Love,A wild and sexy adventure!
654,The Fan,All fans have a favorite player.  This one has a favorite target.
896,E.T. the Extra-Terrestrial,He is afraid. He is alone. He is three million light years from home.
863,Jude,A time without pity. A society without mercy. A love without equal.
853,To Gillian on Her 37th Birthday,Some love lasts a lifetime. Real love lasts forever.
950,My Left Foot: The Story of Christy Brown,"A film about life, laughter, and the occasional miracle."
733,Rear Window,It only takes one witness to spoil the perfect crime.
95,Black Sheep,There's one in every family.
563,All Dogs Go to Heaven 2,Heaven help us! Look who's back in the adventure of 2 lifetimes.
240,Junior,Nothing is inconceivable
742,The Maltese Falcon,A story as EXPLOSIVE as his BLAZING automatics!
574,The Superwife,
690,The Crow: City of Angels,Believe in the power of another
460,Naked,
553,Bread and Chocolate,You'll Laugh Till Your Heart Breaks
884,The Old Man and the Sea,SPENCER TRACY in his most suspenseful role...ERNEST HEMINGWAY'S story of Heroism...Defeat...Victory!
206,Castle Freak,Hideous... hungry... and loose!
392,Carlito's Way,He's got a good future if he can live past next week.
794,The African Queen,The greatest adventure a man ever lived...with a woman!
397,Color of Night,"In the heat of desire, love can turn to deception. Nothing is what it seems when day turns into night."
766,Gigi,Thank heaven for Gigi
854,Surviving Picasso,Only his passion for women could rival his passion for painting.
217,Exotica,"In a world of temptation, obsession is the deadliest desire."
4,Batman & Robin,Strength. Courage. Honor. And loyalty.
768,The Adventures of Robin Hood,Excitement...Danger...Suspense...as this classic adventure story sweeps across the screen!
642,Stalingrad,
903,Microcosmos,
612,Celtic Pride,"If you can't beat 'em, steal him."
738,The Apartment,"Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!"
546,Fargo,A lot can happen in the middle of nowhere.
725,Wild Reeds,
683,Ransom,Someone is going to pay.
98,Vampire in Brooklyn,A comic tale of horror and seduction.
804,Fly Away Home,
727,The Philadelphia Story,Broadway's howling year-run comedy hit of the snooty society beauty who slipped and fell - IN LOVE!
573,Moll Flanders,The remarkable story of one woman's unbreakable spirit.
406,Fatal Instinct,"Sex, murder and revenge were never this funny."
502,Surviving the Game,The ultimate manhunt.
47,Dead Man Walking,
32,Money Train,"Get on, or GET OUT THE WAY!"
779,His Girl Friday,She learned about men from him!
839,Robin Hood: Prince of Thieves,"For the good of all men, and the love of one woman, he fought to uphold justice by breaking the law."
200,Before the Rain,Once You Know The Faces You Will Begin To Understand The Story
134,Up Close & Personal,"Every Day we Have, is One More Than We Deserve."
27,Cutthroat Island,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!
886,Madame Butterfly,
230,Hoop Dreams,An Extraordinary True Story.
489,The Shadow,The Shadow Knows!
772,Lost Horizon,At Last ! . . . The Masterpiece Of America's Foremost Film Genius Blazes To The Screen !
378,Bad Girls,It was a dangerous time to be a woman. And a good time to have friends.
288,Three Colors: White,
418,The Fugitive,A murdered wife. A one-armed man. An obsessed detective. The chase begins.
674,Larger Than Life,He's got 5 days to go coast-to-coast. (There's just one BIG problem.)
391,Cabin Boy,"He's Setting Sail On The High Seas... Without A Rudder, A Compass, Or A Clue!"
592,Coup de Torchon,
498,Son in Law,He's a relative nightmare.
138,The Amazing Panda Adventure,"In the sweeping highlands of China, a boy begins a magical journey to save the life of a natural wonder."
62,Mighty Aphrodite,
471,Radioland Murders,"At station WBN, the hits just keep on coming."
647,I Shot Andy Warhol,You only get one shot at fame.
128,Pie in the Sky,The only thing that stands in the way of fate and true love is a little traffic.
984,The Godfather: Part II,"I don't feel I have to wipe everybody out, Tom. Just my enemies."
520,Bhaji on the Beach,
838,So Dear to My Heart,
970,To Kill a Mockingbird,
64,The Big Green,The biggest kick of the year!
812,Caught,
14,Jumanji,Roll the dice and unleash the excitement!
156,Die Hard: With a Vengeance,Think fast. Look alive. Die hard.
40,Persuasion,
492,A Simple Twist of Fate,A twist of fate brought them something wonderful... Each other!
379,Barcelona,Americans. Anti Americans. In Love.
187,The Umbrellas of Cherbourg,a film for all the young lovers of the world
763,The Band Wagon,Get Aboard!
216,Eat Drink Man Woman,
791,The 39 Steps,Handcuffed to the girl who double-crossed him
52,Richard III,"I can smile, and murder while I smile"
878,A Fish Called Wanda,"A tale of murder, lust, greed, revenge, and seafood."
337,It Could Happen to You,A cop. A waitress. A lottery ticket.
748,The Wizard of Oz,"We're off to see the Wizard, the wonderful Wizard of Oz!"
719,Bulletproof,Tough cop. Hostile witness.
724,Mother Night,The truth is more shocking than the uniform he wears... HE WAS AN AMERICAN SPY.
295,The Santa Clause,What if your dad was Santa Claus?
701,Tin Cup,Golf Pro. Love Amateur.
251,Major Payne,He's looking for a few good men... or a few guys old enough to shave.
726,For Whom the Bell Tolls,Thunderous! Tender! Touching!
461,The Next Karate Kid,Who says the good guy has to be a guy?
455,What Happened Was...,
1004,Rosencrantz & Guildenstern Are Dead,
815,Extreme Measures,Not all surgery is intended to cure.
862,Shadow Conspiracy,
269,Nina Takes a Lover,Sometimes you have to break your vow to keep your promise.
201,Before Sunrise,Can the greatest romance of your life last only one night?
161,Hackers,"There is no right or wrong, only fun and boring"
555,The Flower of My Secret,Every woman has a secret...
729,An American in Paris,What a joy! It's M-G-M's Technicolor musical!
401,Dave,"In a country where anybody can become President, anybody just did."
702,The Ballad of Narayama,
476,The Road to Wellville,A comedy of the heart and other organs.
821,Escape to Witch Mountain,Caught in a world where they don't belong... they have one chance to escape!
771,The Ghost and Mrs. Muir,THE SPIRIT... so willing! THE FLESH... so weak! THE ROMANCE... so wonderful!
105,City Hall,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.
565,Denise Calls Up,"A hilarious heart-ringing fable about life, love and hangups."
389,Boxing Helena,"Beyond love, beyond obsession, there hides something beyond reason."
1,Batman Forever,"Courage now, truth always..."
943,Enchanted April,"It's April in Italy, and anything can happen...even love."
990,Once Upon a Time in America,"Crime, passion and lust for power - Sergio Leone's explosive saga of gangland America."
561,Primal Fear,"Sooner or later, a man who wears two faces forgets which one is real."
80,Kicking and Screaming,Anxiety loves company.
205,The Cure,The best cure for a disease is friendship
34,Copycat,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next."
775,My Man Godfrey,
508,Tombstone,Justice is coming.
427,Live Nude Girls,"Sex, Lies and Fantasies... Unrated!"
454,In the Realm of the Senses,
366,The Secret Adventures of Tom Thumb,A nursery crime of epic proportions...
91,Last Summer in the Hamptons,
339,"The Wonderful, Horrible Life of Leni Riefenstahl",
897,A Christmas Carol,"Greater than ""David Copperfield"" !"
564,Land and Freedom,The fight against fascism begins with the fight against Stalinism.
345,Mrs. Parker and the Vicious Circle,"New York in the 1920's. The only place to be was the Algonquin, and the only person to know was Dorothy Parker."
776,Giant,The legendary epic that's as big as Texas.
241,Just Cause,Buried deep in the Florida Everglades is a secret that can save an innocent man or let a killer kill again.
13,Toy Story,
315,Virtuosity,Justice needs a new program.
600,True Crime,Trust no one.
387,Blue Sky,"In a world of secrets, love is the most powerful weapon."
273,Poison Ivy II: Lily,Passion. Seduction. Betrayal. Lily wanted to be just like Ivy.
166,Kids,
840,Mary Poppins,It's supercalifragilisticexpialidocious!
1000,Local Hero,
646,Jack,Jack Powell is about to tackle his biggest adventure ever... the fifth grade!
818,The Chamber,
484,Schindler's List,"Whoever saves one life, saves the world entire."
988,Amadeus,...Everything you've heard is true
504,Thirty Two Short Films About Glenn Gould,The sound of genius.
831,"20,000 Leagues Under the Sea",The mightiest motion picture of them all!
243,Kiss of Death,
566,A Family Thing,"With family, everything is relative."
875,The Innocents,Apparitions? Evils? Corruptions?
562,Carried Away,A story of first loves and last chances.
960,The Empire Strikes Back,The Adventure Continues...
686,Foxfire,It took them 17 years to learn the rules. And one week to break them all.
957,Paris is Burning,Having a ball... Wish you were here.
189,Three Wishes,"If you really believe, magic will find you"
782,Mr. Smith Goes to Washington,"Romance, drama, laughter and heartbreak... created out of the very heart and soil of America!"
699,Cyclo,
475,Rising Sun,A collision of East and West. A conspiracy of seduction and murder. A battle between tradition and power. Business is war.
681,The First Wives Club,Don't get mad. Get everything.
510,True Romance,"Stealing, Cheating, Killing. Who said romance was dead?"
58,Se7en,Seven deadly sins. Seven ways to die.
474,Renaissance Man,"One Man's Mission To Teach The Few, The Proud... The Impossible!"
560,The Last Supper,Love... Sex... Life... Death. In this house it's all on the table.
856,The Long Kiss Goodnight,What's forgotten is not always gone.
747,Meet Me in St. Louis,M·G·M's glorious love story with music!
252,Little Odessa,Brothers in blood. Partners in crime.
21,Sudden Death,Terror goes into overtime.
313,The Walking Dead,Surviving the streets was just a rehearsal.
459,Mrs. Doubtfire,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.
160,Free Willy 2 - The Adventure Home,The adventure is back. The fun is back. Willy's back. And this time he's brought his whole family to meet an old friend ... and take on a new challenge.
276,The Perez Family,"On the way to finding a family, she found love."
955,Tie Me Up! Tie Me Down!,A love story... With strings attached!
191,"To Wong Foo, Thanks for Everything! Julie Newmar",Attitude is everything
385,Blown Away,5. 4. 3. 2. 1......Time's Up.
805,Bliss,Love is only the beginning.
413,Widows' Peak,
491,Short Cuts,Short Cuts raises the roof on America.
343,The Mask,From zero to hero.
769,The Mark of Zorro,
308,Tom & Viv,"For better, for worse, forever."
661,My Life and Times With Antonin Artaud,
130,Frankie Starlight,Sometimes the brightest star is the one that shines within.
663,The Frighteners,No Rest for the Wicked.
871,A Damsel in Distress,
99,Beautiful Girls,"Good times never seemed so good,"
372,Above the Rim,Some games you play. Some games play you.
87,The White Balloon,
458,Mr. Wonderful,Sometimes love is a stranger. And sometimes it's someone you've known all your life.
330,The Crow,Real love is forever.
214,Dolores Claiborne,"Sometimes, an accident can be an unhappy woman's best friend."
466,Philadelphia,No one would take on his case... until one man was willing to take on the system.
121,Steal Big Steal Little,Two brothers. One fortune. Zero chance they'll share it.
614,Dead Man,No one can survive becoming a legend.
20,Tom and Huck,The Original Bad Boys.
700,Basquiat,"In 1981, A Nineteen-Year-Old Unknown Graffiti Writer Took The New York Art World By Storm. The Rest Is Art History."
71,Mr. Holland's Opus,"Of All the Lives He Changed, the One That Changed the Most Was His Own."
106,Bottle Rocket,"They're not really criminals, but everyone's got to have a dream."
270,Natural Born Killers,The Media Made Them Superstars.
860,Normal Life,They found the American Dream ... One bullet at a time!
435,In the Name of the Father,Falsely accused. Wrongly imprisoned. He fought for justice to clear his father's name.
102,La Haine,Three Young Friends... One Last Chance.
