,id,words,label,terms,hash,features
643,644,"['i', 'had', 'askd', 'u', 'a', 'question', 'some', 'hours', 'before', 'its', 'answer']",0,"['askd', 'u', 'question', 'hours', 'answer']","(1024,[131,241,445,945,982],[1.0,1.0,1.0,1.0,1.0])","(1024,[131,241,445,945,982],[3.4442640460362344,3.9165173950159855,2.691153400708732,4.841857962410058,1.776981313694862])"
644,645,"['well', 'imma', 'definitely', 'need', 'to', 'restock', 'before', 'thanksgiving', ""i'll"", 'let', 'you', 'know', 'when', ""i'm"", 'out']",0,"['well', 'imma', 'definitely', 'need', 'restock', 'thanksgiving', 'let', 'know']","(1024,[217,261,433,557,643,666,700,973],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[217,261,433,557,643,666,700,973],[3.009276498661748,4.137411226596179,4.797406199839225,3.691573663197628,3.0313362167264803,5.630315322774329,3.2278848948105665,5.015129683684095])"
645,646,"['said', 'kiss', 'kiss', 'i', ""can't"", 'do', 'the', 'sound', 'effects', 'he', 'is', 'a', 'gorgeous', 'man', ""isn't"", 'he', 'kind', 'of', 'person', 'who', 'needs', 'a', 'smile', 'to', 'brighten', 'his', 'day']",0,"['said', 'kiss', 'kiss', 'sound', 'effects', 'gorgeous', 'man', 'kind', 'person', 'needs', 'smile', 'brighten', 'day']","(1024,[16,69,270,284,342,410,443,505,530,645,739,984],[1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[16,69,270,284,342,410,443,505,530,645,739,984],[3.595609674935884,3.642440974619983,10.587686172306231,5.681608617161879,4.637063549764045,4.912475529624012,5.7356758384321544,3.934699714099176,4.754846585420428,2.8894752988491277,4.694221963603994,4.244020961654438])"
646,647,"['probably', 'gonna', 'swing', 'by', 'in', 'a', 'wee', 'bit']",0,"['probably', 'gonna', 'swing', 'wee', 'bit']","(1024,[441,482,542,782,967],[1.0,1.0,1.0,1.0,1.0])","(1024,[441,482,542,782,967],[4.051336617824937,5.630315322774329,4.498913211283228,3.582622479409073,4.2193283490640665])"
647,648,"['ya', 'very', 'nice', 'be', 'ready', 'on', 'thursday']",0,"['ya', 'nice', 'ready', 'thursday']","(1024,[740,842,890,919],[1.0,1.0,1.0,1.0])","(1024,[740,842,890,919],[4.819385106557999,4.4671645129686475,5.447993765980374,4.4671645129686475])"
648,649,"['allo', 'we', 'have', 'braved', 'the', 'buses', 'and', 'taken', 'on', 'the', 'trains', 'and', 'triumphed', 'i', 'mean', 'were', 'in', 'bham', 'have', 'a', 'jolly', 'good', 'rest', 'of', 'week']",0,"['allo', 'braved', 'buses', 'taken', 'trains', 'triumphed', 'mean', 'bham', 'jolly', 'good', 'rest', 'week']","(1024,[1,110,141,290,338,401,521,631,637,792,852,905],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[1,110,141,290,338,401,521,631,637,792,852,905],[5.160311693528593,5.293843086153116,4.694221963603994,3.758513145872737,3.9439163692041,5.581525158604896,3.7060666705001943,5.293843086153116,4.6557556827761974,2.9561666733478,5.49055338039917,5.070699534838906])"
649,650,"['watching', 'cartoon', 'listening', 'music', '&', 'at', 'eve', 'had', 'to', 'go', 'temple', '&', 'church', 'what', 'about', 'u']",0,"['watching', 'cartoon', 'listening', 'music', '&', 'eve', 'go', 'temple', '&', 'church', 'u']","(1024,[91,398,445,454,623,675,818,973,979,982],[1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0])","(1024,[91,398,445,454,623,675,818,973,979,982],[5.986990266713061,5.630315322774329,2.691153400708732,4.937168142214383,5.129540034861839,4.937168142214383,6.241432120791914,5.015129683684095,4.734227298217693,1.776981313694862])"
650,651,"['do', 'you', 'mind', 'if', 'i', 'ask', 'what', 'happened', 'you', 'dont', 'have', 'to', 'say', 'if', 'it', 'is', 'uncomfortable']",0,"['mind', 'ask', 'happened', 'dont', 'say', 'uncomfortable']","(1024,[233,242,394,700,704,998],[1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[233,242,394,700,704,998],[3.557143394108088,4.01092707948706,5.04252865787221,3.2278848948105665,3.44989786375449,5.581525158604896])"
651,652,"['private', 'your', 'account', 'statement', 'for', 'shows', 'un', 'redeemed', 's', 'i', 'm', 'points', 'call', 'identifier', 'code', 'expires', '/', '/']",1,"['private', 'account', 'statement', 'shows', 'un', 'redeemed', 'm', 'points', 'call', 'identifier', 'code', 'expires', '/', '/']","(1024,[78,100,128,138,230,437,478,549,571,731,783,997,1018],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0])","(1024,[78,100,128,138,230,437,478,549,571,731,783,997,1018],[5.630315322774329,4.962485950198674,5.04252865787221,2.2391682769656747,4.436392854301894,4.030927746193729,4.072170704727778,4.864847480634757,4.60069590559317,6.716378874529982,5.070699534838906,5.293843086153116,5.258751766341845])"
652,653,"['no', 'prob', 'i', 'will', 'send', 'to', 'your', 'email']",0,"['prob', 'send', 'email']","(1024,[163,423,470],[1.0,1.0,1.0])","(1024,[163,423,470],[3.317779898927115,5.293843086153116,5.630315322774329])"
653,654,"['you', 'have', 'won', 'cash', 'or', 'a', 'prize', 'to', 'claim', 'call', 't&c', 'rstm', 'sw', 'ss', 'ppm']",1,"['won', 'cash', 'prize', 'claim', 'call', 't&c', 'rstm', 'sw', 'ss', 'ppm']","(1024,[31,69,138,276,350,518,550,699,879,938],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[31,69,138,276,350,518,550,699,879,938],[3.7897656893768414,3.642440974619983,2.2391682769656747,3.889849147933824,4.819385106557999,3.642440974619983,3.595609674935884,4.295314256041989,4.694221963603994,5.49055338039917])"
654,655,"['thats', 'cool', 'sometimes', 'slow', 'and', 'gentle', 'sonetimes', 'rough', 'and', 'hard']",0,"['thats', 'cool', 'sometimes', 'slow', 'gentle', 'sonetimes', 'rough', 'hard']","(1024,[59,179,236,332,387,389,558,1010],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[59,179,236,332,387,389,558,1010],[5.160311693528593,5.681608617161879,4.5656045857819,5.853458874088538,4.4671645129686475,4.436392854301894,5.7356758384321544,4.4671645129686475])"
655,656,"[""i'm"", 'gonna', 'say', 'no', 'sorry', 'i', 'would', 'but', 'as', 'normal', 'am', 'starting', 'to', 'panic', 'about', 'time', 'sorry', 'again', 'are', 'you', 'seeing', 'on', 'tuesday']",0,"['gonna', 'say', 'sorry', 'normal', 'starting', 'panic', 'time', 'sorry', 'seeing', 'tuesday']","(1024,[344,364,445,547,685,700,737,760,967],[2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[344,364,445,547,685,700,737,760,967],[5.785412638861148,4.5656045857819,2.691153400708732,5.853458874088538,3.2600715813064682,3.2278848948105665,4.962485950198674,6.228152323529949,4.2193283490640665])"
656,657,"['wait', 'do', 'you', 'know', 'if', 'wesleys', 'in', 'town', 'i', 'bet', 'she', 'does', 'hella', 'drugs']",0,"['wait', 'know', 'wesleys', 'town', 'bet', 'hella', 'drugs']","(1024,[137,565,624,643,875,876,1016],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[137,565,624,643,875,876,1016],[4.498913211283228,4.256599743861298,4.734227298217693,3.0313362167264803,5.129540034861839,4.841857962410058,4.694221963603994])"
657,658,"['fine', 'i', 'miss', 'you', 'very', 'much']",0,"['fine', 'miss', 'much']","(1024,[191,287,988],[1.0,1.0,1.0])","(1024,[191,287,988],[3.5020836169250606,4.207206988531722,3.8469241032167902])"
658,659,"['did', 'u', 'got', 'that', 'persons', 'story']",0,"['u', 'got', 'persons', 'story']","(1024,[743,949,982,1009],[1.0,1.0,1.0,1.0])","(1024,[743,949,982,1009],[3.0425512875466203,5.792834252272104,1.776981313694862,4.888377978044951])"
659,660,"['tell', 'them', 'the', 'drug', ""dealer's"", 'getting', 'impatient']",0,"['tell', 'drug', ""dealer's"", 'getting', 'impatient']","(1024,[293,348,538,660,966],[1.0,1.0,1.0,1.0,1.0])","(1024,[293,348,538,660,966],[5.129540034861839,4.082752814058316,3.5384512610959353,2.9492937940600377,4.126237925998055])"
660,661,"['sun', 'cant', 'come', 'to', 'earth', 'but', 'send', 'luv', 'as', 'rays', 'cloud', 'cant', 'come', 'to', 'river', 'but', 'send', 'luv', 'as', 'rain', 'i', 'cant', 'come', 'to', 'meet', 'u', 'but', 'can', 'send', 'my', 'care', 'as', 'msg', 'to', 'u', 'gud', 'evng']",0,"['sun', 'cant', 'come', 'earth', 'send', 'luv', 'rays', 'cloud', 'cant', 'come', 'river', 'send', 'luv', 'rain', 'cant', 'come', 'meet', 'u', 'send', 'care', 'msg', 'u', 'gud', 'evng']","(1024,[3,107,148,163,173,246,308,497,604,686,742,935,948,970,982,1019],[1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0])","(1024,[3,107,148,163,173,246,308,497,604,686,742,935,948,970,982,1019],[5.407171771460119,5.407171771460119,3.813863240955902,9.953339696781345,4.183396339838003,5.099687071712158,3.907548725033225,5.224850214666164,9.313760035398218,4.051336617824937,3.981656697186947,4.244020961654438,4.030927746193729,13.090103157861012,3.553962627389724,9.349607755493784])"
661,662,"['you', 'will', 'be', 'in', 'the', 'place', 'of', 'that', 'man']",0,"['place', 'man']","(1024,[342,815],[1.0,1.0])","(1024,[342,815],[4.637063549764045,4.32198250312415])"
662,663,"['it', 'doesnt', 'make', 'sense', 'to', 'take', 'it', 'there', 'unless', 'its', 'free', 'if', 'you', 'need', 'to', 'know', 'more', 'wikipedia', 'com']",0,"['doesnt', 'make', 'sense', 'take', 'unless', 'free', 'need', 'know', 'wikipedia', 'com']","(1024,[185,193,217,343,525,629,643,771,821,940],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[185,193,217,343,525,629,643,771,821,940],[4.734227298217693,2.8269549418677937,3.009276498661748,3.520102122427739,4.082752814058316,3.8811154679650697,3.0313362167264803,6.141140946540319,4.888377978044951,5.160311693528593])"
663,664,"['and', 'are', 'premium', 'phone', 'services', 'call']",1,"['premium', 'phone', 'services', 'call']","(1024,[138,268,344,442],[1.0,1.0,1.0,1.0])","(1024,[138,268,344,442],[2.2391682769656747,5.192060391843174,2.892706319430574,3.8638736615305636])"
664,665,"['under', 'the', 'sea', 'there', 'lays', 'a', 'rock', 'in', 'the', 'rock', 'there', 'is', 'an', 'envelope', 'in', 'the', 'envelope', 'there', 'is', 'a', 'paper', 'on', 'the', 'paper', 'there', 'are', 'words']",0,"['sea', 'lays', 'rock', 'rock', 'envelope', 'envelope', 'paper', 'paper', 'words']","(1024,[212,569,664,670,937,979],[1.0,2.0,1.0,2.0,1.0,2.0])","(1024,[212,569,664,670,937,979],[4.451660326432682,10.08505731574442,4.754846585420428,9.874336284428766,4.295314256041989,9.468454596435386])"
665,666,"['then', ""mum's"", 'repent', 'how']",0,"[""mum's"", 'repent']","(1024,[559,681],[1.0,1.0])","(1024,[559,681],[4.160139477673736,5.099687071712158])"
666,667,"['sorry', 'me', 'going', 'home', 'first', 'daddy', 'come', 'fetch', 'later']",0,"['sorry', 'going', 'home', 'first', 'daddy', 'come', 'fetch', 'later']","(1024,[23,191,237,344,378,462,485,604],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[23,191,237,344,378,462,485,604],[5.853458874088538,3.5020836169250606,3.1288793710351177,2.892706319430574,3.684405173719015,4.888377978044951,2.8894752988491277,3.104586678466073])"
667,668,"['leave', 'it', 'de', 'start', 'prepare', 'for', 'next']",0,"['leave', 'de', 'start', 'prepare', 'next']","(1024,[226,609,689,772,812],[1.0,1.0,1.0,1.0,1.0])","(1024,[226,609,689,772,812],[3.5080537839115644,5.367951058306837,3.934699714099176,4.051336617824937,4.335588155179928])"
668,669,"['yes', 'baby', 'we', 'can', 'study', 'all', 'the', 'positions', 'of', 'the', 'kama', 'sutra']",0,"['yes', 'baby', 'study', 'positions', 'kama', 'sutra']","(1024,[593,602,616,835,868,896],[1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[593,602,616,835,868,896],[4.406539891152213,5.792834252272104,5.681608617161879,3.6288353225642043,3.981656697186947,5.630315322774329])"
669,670,"['en', 'chikku', 'nange', 'bakra', 'msg', 'kalstiya', 'then', 'had', 'tea/coffee']",0,"['en', 'chikku', 'nange', 'bakra', 'msg', 'kalstiya', 'tea/coffee']","(1024,[173,393,421,665,719,795,977],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[173,393,421,665,719,795,977],[4.183396339838003,5.986990266713061,5.630315322774329,4.841857962410058,4.988461436601934,5.681608617161879,5.224850214666164])"
670,671,"[""carlos'll"", 'be', 'here', 'in', 'a', 'minute', 'if', 'you', 'still', 'need', 'to', 'buy']",0,"[""carlos'll"", 'minute', 'still', 'need', 'buy']","(1024,[217,267,360,485,757],[1.0,1.0,1.0,1.0,1.0])","(1024,[217,267,360,485,757],[3.009276498661748,6.323462503334274,3.2415525335392306,2.8894752988491277,4.001074783044048])"
671,672,"['this', 'pay', 'is', '<decimal>', 'lakhs']",0,"['pay', '<decimal>', 'lakhs']","(1024,[315,801,909],[1.0,1.0,1.0])","(1024,[315,801,909],[4.797406199839225,3.5508737810944924,5.099687071712158])"
672,673,"['have', 'a', 'good', 'evening', 'ttyl']",0,"['good', 'evening', 'ttyl']","(1024,[43,543,792],[1.0,1.0,1.0])","(1024,[43,543,792],[4.5656045857819,6.4288230189921,2.9561666733478])"
673,674,"['did', 'u', 'receive', 'my', 'msg']",0,"['u', 'receive', 'msg']","(1024,[173,340,982],[1.0,1.0,1.0])","(1024,[173,340,982],[4.183396339838003,4.093448103175064,1.776981313694862])"
674,675,"['ho', 'ho', 'big', 'belly', 'laugh', 'see', 'ya', 'tomo']",0,"['ho', 'ho', 'big', 'belly', 'laugh', 'see', 'ya', 'tomo']","(1024,[31,239,280,310,432,919,955],[2.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[31,239,280,310,432,919,955],[7.579531378753683,4.436392854301894,5.04252865787221,4.5485101524226,5.224850214666164,4.4671645129686475,3.19232559277408])"
675,676,"['sms', 'ac', 'sun', 'posts', 'hello', 'you', 'seem', 'cool', 'wanted', 'to', 'say', 'hi', 'hi', 'stop', 'send', 'stop', 'to']",1,"['sms', 'ac', 'sun', 'posts', 'hello', 'seem', 'cool', 'wanted', 'say', 'hi', 'hi', 'stop', 'send', 'stop']","(1024,[55,152,163,246,296,335,387,540,700,844,915,975],[1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0])","(1024,[55,152,163,246,296,335,387,540,700,844,915,975],[4.5317030341062186,7.548034664817405,3.317779898927115,5.099687071712158,4.5656045857819,5.535005142970004,4.4671645129686475,7.204334150964086,3.2278848948105665,5.330210730323991,4.888377978044951,5.192060391843174])"
676,677,"['get', 'ur', 'st', 'ringtone', 'free', 'now', 'reply', 'to', 'this', 'msg', 'with', 'tone', 'gr', 'top', 'tones', 'to', 'your', 'phone', 'every', 'week', 'just', 'per', 'wk', 'opt', 'out', 'send', 'stop']",1,"['get', 'ur', 'st', 'ringtone', 'free', 'reply', 'msg', 'tone', 'gr', 'top', 'tones', 'phone', 'every', 'week', 'per', 'wk', 'opt', 'send', 'stop']","(1024,[16,19,122,163,173,193,237,249,256,338,344,540,567,640,709,789,821,935,937],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[16,19,122,163,173,193,237,249,256,338,344,540,567,640,709,789,821,935,937],[3.595609674935884,2.836087425431066,3.557143394108088,3.317779898927115,4.183396339838003,2.8269549418677937,3.1288793710351177,3.104586678466073,4.126237925998055,3.9439163692041,2.892706319430574,3.602167075482043,2.569263583099695,5.224850214666164,4.937168142214383,3.526181168504121,4.888377978044951,4.244020961654438,4.295314256041989])"
677,678,"['ditto', 'and', 'you', ""won't"", 'have', 'to', 'worry', 'about', 'me', 'saying', 'anything', 'to', 'you', 'anymore', 'like', 'i', 'said', 'last', 'night', 'you', 'do', 'whatever', 'you', 'want', 'and', ""i'll"", 'do', 'the', 'same', 'peace']",0,"['ditto', 'worry', 'saying', 'anything', 'anymore', 'like', 'said', 'last', 'night', 'whatever', 'want', 'peace']","(1024,[16,46,79,114,127,261,290,386,550,556,816,858],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[16,46,79,114,127,261,290,386,550,556,816,858],[3.595609674935884,4.4671645129686475,5.258751766341845,5.681608617161879,4.988461436601934,4.137411226596179,3.758513145872737,3.0692195346287816,3.595609674935884,3.8811154679650697,3.201097578846917,4.937168142214383])"
678,679,"[""i've"", 'got', '<#>', 'any', 'way', 'i', 'could', 'pick', 'up']",0,"['got', '<#>', 'way', 'pick']","(1024,[598,599,743,796],[1.0,1.0,1.0,1.0])","(1024,[598,599,743,796],[3.108594699863612,3.7740173324087025,3.0425512875466203,4.195230797485006])"
679,680,"['i', 'dont', 'knw', 'pa', 'i', 'just', 'drink', 'milk']",0,"['dont', 'knw', 'pa', 'drink', 'milk']","(1024,[52,93,225,233,513],[1.0,1.0,1.0,1.0,1.0])","(1024,[52,93,225,233,513],[5.129540034861839,5.224850214666164,4.001074783044048,3.557143394108088,4.451660326432682])"
680,681,"['maybe', 'say', 'hi', 'to', 'and', 'find', 'out', 'if', 'got', 'his', 'card', 'great', 'escape', 'or', 'wetherspoons']",0,"['maybe', 'say', 'hi', 'find', 'got', 'card', 'great', 'escape', 'wetherspoons']","(1024,[39,116,152,207,395,700,742,743,960],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[39,116,152,207,395,700,742,743,960],[4.020877410340228,3.7282077963774083,3.7740173324087025,6.228152323529949,4.231598441655881,3.2278848948105665,3.981656697186947,3.0425512875466203,5.129540034861839])"
681,682,"['piggy', 'r', 'u', 'awake', 'i', 'bet', ""u're"", 'still', 'sleeping', ""i'm"", 'going', 'lunch', 'now']",0,"['piggy', 'r', 'u', 'awake', 'bet', ""u're"", 'still', 'sleeping', 'going', 'lunch']","(1024,[40,137,138,226,237,256,360,483,728,982],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[40,137,138,226,237,256,360,483,728,982],[5.630315322774329,4.498913211283228,2.2391682769656747,3.5080537839115644,3.1288793710351177,4.126237925998055,3.2415525335392306,4.308559482792009,4.60069590559317,1.776981313694862])"
682,683,"['cause', ""i'm"", 'not', 'freaky', 'lol']",0,"['cause', 'freaky', 'lol']","(1024,[72,206,683],[1.0,1.0,1.0])","(1024,[72,206,683],[4.694221963603994,4.104259019279279,5.070699534838906])"
683,684,"['missed', 'your', 'call', 'cause', 'i', 'was', 'yelling', 'at', 'scrappy', 'miss', 'u', ""can't"", 'wait', 'for', 'u', 'to', 'come', 'home', ""i'm"", 'so', 'lonely', 'today']",0,"['missed', 'call', 'cause', 'yelling', 'scrappy', 'miss', 'u', 'wait', 'u', 'come', 'home', 'lonely', 'today']","(1024,[72,126,138,217,287,485,534,565,604,649,982,984],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0])","(1024,[72,126,138,217,287,485,534,565,604,649,982,984],[4.694221963603994,5.447993765980374,2.2391682769656747,3.009276498661748,4.207206988531722,2.8894752988491277,3.496148881405246,4.256599743861298,3.104586678466073,4.5317030341062186,3.553962627389724,4.244020961654438])"
684,685,"['what', 'is', 'this', 'hex', 'place', 'you', 'talk', 'of', 'explain']",0,"['hex', 'place', 'talk', 'explain']","(1024,[445,682,746,815],[1.0,1.0,1.0,1.0])","(1024,[445,682,746,815],[2.691153400708732,4.841857962410058,5.986990266713061,4.32198250312415])"
685,686,"['log', 'off', 'wat', ""it's"", 'sdryb', 'i']",0,"['log', 'wat', 'sdryb']","(1024,[15,960,982],[1.0,1.0,1.0])","(1024,[15,960,982],[5.099687071712158,5.129540034861839,1.776981313694862])"
686,687,"['is', 'xy', 'going', 'e', 'lunch']",0,"['xy', 'going', 'e', 'lunch']","(1024,[176,237,483,838],[1.0,1.0,1.0,1.0])","(1024,[176,237,483,838],[4.6557556827761974,3.1288793710351177,4.308559482792009,3.813863240955902])"
687,688,"['hi', ""i'm"", 'sue', 'i', 'am', 'years', 'old', 'and', 'work', 'as', 'a', 'lapdancer', 'i', 'love', 'sex', 'text', 'me', 'live', ""i'm"", 'i', 'my', 'bedroom', 'now', 'text', 'sue', 'to', 'by', 'textoperator', 'g', 'da', 'ppmsg', '+']",1,"['hi', 'sue', 'years', 'old', 'work', 'lapdancer', 'love', 'sex', 'text', 'live', 'bedroom', 'text', 'sue', 'textoperator', 'g', 'da', 'ppmsg', '+']","(1024,[95,104,112,152,177,285,305,385,551,572,625,649,745,874,887,931],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0])","(1024,[95,104,112,152,177,285,305,385,551,572,625,649,745,874,887,931],[4.5151737321550085,5.015129683684095,3.255409568200657,3.7740173324087025,3.5890949939146903,4.60069590559317,4.60069590559317,12.8576460379842,3.9720872461707963,4.60069590559317,6.685687735180662,4.5317030341062186,4.819385106557999,5.792834252272104,3.532297395521557,4.7140245909001735])"
688,689,"['i', 'wanted', 'to', 'ask', 'to', 'wait', 'me', 'to', 'finish', 'lect', 'cos', 'my', 'lect', 'finishes', 'in', 'an', 'hour', 'anyway']",0,"['wanted', 'ask', 'wait', 'finish', 'lect', 'cos', 'lect', 'finishes', 'hour', 'anyway']","(1024,[125,127,130,141,188,242,477,565,915],[1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0])","(1024,[125,127,130,141,188,242,477,565,915],[4.451660326432682,4.988461436601934,3.8302570507315785,4.694221963603994,11.363217234323757,4.01092707948706,6.4288230189921,4.256599743861298,4.888377978044951])"
689,690,"['have', 'you', 'finished', 'work', 'yet']",0,"['finished', 'work', 'yet']","(1024,[500,551,757],[1.0,1.0,1.0])","(1024,[500,551,757],[4.5656045857819,3.9720872461707963,4.001074783044048])"
690,691,"['every', 'king', 'was', 'once', 'a', 'crying', 'baby', 'and', 'every', 'great', 'building', 'was', 'once', 'a', 'map', 'not', 'imprtant', 'where', 'u', 'r', 'today', 'but', 'where', 'u', 'wil', 'reach', 'tomorw', 'gud', 'ni']",0,"['every', 'king', 'crying', 'baby', 'every', 'great', 'building', 'map', 'imprtant', 'u', 'r', 'today', 'u', 'wil', 'reach', 'tomorw', 'gud', 'ni']","(1024,[37,62,116,148,226,256,316,390,534,588,762,868,961,965,982],[1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0])","(1024,[37,62,116,148,226,256,316,390,534,588,762,868,961,965,982],[3.981656697186947,5.792834252272104,3.7282077963774083,3.813863240955902,3.5080537839115644,8.25247585199611,5.49055338039917,5.192060391843174,6.992297762810492,4.244020961654438,5.367951058306837,3.981656697186947,6.4288230189921,4.734227298217693,3.553962627389724])"
691,692,"['dear', 'me', 'at', 'cherthala', 'in', 'case', 'u', 'r', 'coming', 'cochin', 'pls', 'call', 'bfore', 'u', 'start', 'i', 'shall', 'also', 'reach', 'accordingly', 'or', 'tell', 'me', 'which', 'day', 'u', 'r', 'coming', 'tmorow', 'i', 'am', 'engaged', 'ans', 'its', 'holiday']",0,"['dear', 'cherthala', 'case', 'u', 'r', 'coming', 'cochin', 'pls', 'call', 'bfore', 'u', 'start', 'shall', 'also', 'reach', 'accordingly', 'tell', 'day', 'u', 'r', 'coming', 'tmorow', 'engaged', 'ans', 'holiday']","(1024,[37,46,90,138,226,250,270,362,538,547,559,627,645,662,704,772,782,822,967,982,1013],[1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0])","(1024,[37,46,90,138,226,250,270,362,538,547,559,627,645,662,704,772,782,822,967,982,1013],[3.981656697186947,4.4671645129686475,5.581525158604896,2.2391682769656747,7.016107567823129,4.082752814058316,5.293843086153116,4.126237925998055,3.5384512610959353,5.853458874088538,4.160139477673736,5.447993765980374,2.8894752988491277,8.297421563700226,3.44989786375449,4.051336617824937,3.582622479409073,4.754846585420428,4.2193283490640665,5.330943941084586,3.8638736615305636])"
692,693,"['thanks', 'love', 'but', 'am', 'i', 'doing', 'torch', 'or', 'bold']",0,"['thanks', 'love', 'torch', 'bold']","(1024,[93,112,467,606],[1.0,1.0,1.0,1.0])","(1024,[93,112,467,606],[5.224850214666164,3.255409568200657,5.535005142970004,3.6356150095495834])"
693,694,"['<forwarded', 'from', '>please', 'call', 'immediately', 'as', 'there', 'is', 'an', 'urgent', 'message', 'waiting', 'for', 'you']",1,"['<forwarded', '>please', 'call', 'immediately', 'urgent', 'message', 'waiting']","(1024,[36,45,138,251,307,919,989],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[36,45,138,251,307,919,989],[4.5656045857819,3.758513145872737,2.2391682769656747,4.5317030341062186,6.141140946540319,4.4671645129686475,4.126237925998055])"
694,695,"['was', 'the', 'farm', 'open']",0,"['farm', 'open']","(1024,[339,567],[1.0,1.0])","(1024,[339,567],[6.061098238866783,2.569263583099695])"
695,696,"['sorry', 'to', 'trouble', 'u', 'again', 'can', 'buy', 'd', 'for', 'my', 'dad', 'again', 'all', 'big', 'small', 'sat', 'n', 'sun', 'thanx']",0,"['sorry', 'trouble', 'u', 'buy', 'd', 'dad', 'big', 'small', 'sat', 'n', 'sun', 'thanx']","(1024,[236,246,310,334,344,391,532,704,743,757,902,982],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[236,246,310,334,344,391,532,704,743,757,902,982],[4.5656045857819,5.099687071712158,4.5485101524226,5.407171771460119,2.892706319430574,3.595609674935884,4.60069590559317,3.44989786375449,3.0425512875466203,4.001074783044048,4.093448103175064,1.776981313694862])"
696,697,"['my', 'sister', 'in', 'law', 'hope', 'you', 'are', 'having', 'a', 'great', 'month', 'just', 'saying', 'hey', 'abiola']",0,"['sister', 'law', 'hope', 'great', 'month', 'saying', 'hey', 'abiola']","(1024,[116,160,360,406,550,571,594,1007],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[116,160,360,406,550,571,594,1007],[3.7282077963774083,3.7897656893768414,3.2415525335392306,3.822026551595063,3.595609674935884,4.60069590559317,3.608767759513395,4.674803877746892])"
697,698,"['will', 'purchase', 'd', 'stuff', 'today', 'and', 'mail', 'to', 'you', 'do', 'you', 'have', 'a', 'po', 'box', 'number']",0,"['purchase', 'd', 'stuff', 'today', 'mail', 'po', 'box', 'number']","(1024,[65,72,352,441,499,534,751,902],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[65,72,352,441,499,534,751,902],[4.5485101524226,4.694221963603994,3.8638736615305636,4.051336617824937,5.070699534838906,3.496148881405246,3.7356984681065657,4.093448103175064])"
