,mon,dom,dow,carrier,flight,org,mile,depart,duration,delay,org_idx
8921,4,14,3,WN,873,SJC,333,16.33,70,-7.0,4.0
8922,5,14,6,OO,6081,ORD,585,20.0,114,-4.0,0.0
8923,11,22,1,UA,612,ORD,612,11.97,107,119.0,0.0
8924,11,30,2,WN,2009,SJC,188,12.5,55,-4.0,4.0
8925,1,24,0,B6,47,JFK,1069,19.75,205,-26.0,2.0
8926,8,22,1,AA,439,ORD,334,14.42,90,-10.0,0.0
8927,0,3,4,US,397,SMF,397,14.0,84,114.0,5.0
8928,11,9,2,OO,5991,ORD,522,20.17,107,,0.0
8929,1,13,3,B6,918,ORD,740,19.0,139,,0.0
8930,11,7,0,US,2140,LGA,185,19.0,69,-27.0,3.0
8931,8,17,3,UA,446,ORD,599,16.08,115,-8.0,0.0
8932,0,15,2,UA,835,LGA,733,8.0,155,,3.0
8933,10,6,4,OO,5561,SFO,262,11.6,79,-4.0,1.0
8934,1,9,6,UA,645,ORD,1726,17.32,269,17.0,0.0
8935,3,21,1,WN,2003,TUS,367,11.17,75,-9.0,6.0
8936,4,13,2,UA,907,ORD,1846,17.32,273,35.0,0.0
8937,4,31,6,OO,5853,ORD,196,11.92,59,-13.0,0.0
8938,6,6,0,AA,1565,ORD,334,7.33,85,,0.0
8939,10,3,1,AA,358,ORD,733,16.08,135,,0.0
8940,1,8,5,UA,455,ORD,299,8.67,78,9.0,0.0
8941,9,20,1,OO,5572,SFO,329,11.3,92,6.0,1.0
8942,11,31,3,WN,1932,SJC,342,12.67,75,39.0,4.0
8943,0,15,2,UA,479,SFO,679,18.17,122,7.0,1.0
8944,4,6,2,B6,73,JFK,944,12.42,164,-24.0,2.0
8945,0,31,4,UA,927,SFO,337,22.5,79,19.0,1.0
8946,10,4,2,WN,2175,TUS,365,18.17,80,61.0,6.0
8947,3,18,5,B6,383,LGA,1076,21.75,170,34.0,3.0
8948,1,8,5,UA,119,SFO,337,16.0,84,28.0,1.0
8949,1,19,2,UA,530,ORD,334,7.17,93,-10.0,0.0
8950,1,12,2,WN,1597,SMF,480,18.17,85,96.0,5.0
8951,8,21,0,UA,1550,SFO,414,16.07,96,72.0,1.0
8952,7,15,5,WN,3902,SFO,337,8.42,80,71.0,1.0
8953,2,16,0,AA,370,ORD,733,12.58,130,69.0,0.0
8954,2,14,5,AA,1635,JFK,1597,8.08,230,79.0,2.0
8955,3,2,3,UA,395,ORD,1723,17.58,259,168.0,0.0
8956,11,1,1,B6,363,LGA,1035,7.58,171,34.0,3.0
8957,11,10,3,UA,573,SFO,447,8.82,94,-10.0,1.0
8958,3,14,1,AA,1479,SJC,342,18.58,75,-11.0,4.0
8959,2,30,0,UA,1547,ORD,1515,14.8,235,40.0,0.0
8960,1,18,1,B6,610,JFK,187,9.83,85,34.0,2.0
8961,4,28,3,UA,673,LGA,733,9.0,150,6.0,3.0
8962,10,27,4,OO,5655,SFO,86,9.83,45,39.0,1.0
8963,4,20,2,B6,345,JFK,1041,8.42,182,38.0,2.0
8964,2,24,1,AA,2103,LGA,1097,6.17,180,10.0,3.0
8965,11,29,1,OO,6750,ORD,264,6.88,74,-14.0,0.0
8966,11,8,1,AA,1815,ORD,1249,19.67,210,30.0,0.0
8967,6,30,3,OO,5914,ORD,654,21.15,110,,0.0
8968,6,24,4,UA,836,ORD,733,18.08,141,26.0,0.0
8969,8,21,0,UA,21,JFK,2475,6.5,374,75.0,2.0
8970,5,16,1,AA,1544,ORD,612,18.17,110,2.0,0.0
8971,8,12,5,AA,2491,ORD,978,22.0,150,61.0,0.0
8972,3,13,0,OO,5672,SFO,158,18.0,58,5.0,1.0
8973,4,1,4,AA,59,JFK,2586,7.0,375,,2.0
8974,3,9,3,AA,370,ORD,733,12.58,125,,0.0
8975,6,19,6,UA,1030,ORD,1005,8.0,161,55.0,0.0
8976,0,7,1,UA,1101,ORD,802,8.17,166,21.0,0.0
8977,4,10,6,AA,1855,LGA,887,8.92,165,-19.0,3.0
8978,10,21,5,OO,6189,ORD,522,15.8,107,-12.0,0.0
8979,11,14,0,UA,150,SFO,1846,16.6,243,44.0,1.0
8980,7,19,2,UA,518,ORD,412,16.77,86,,0.0
8981,0,8,2,AA,313,ORD,1726,11.58,260,19.0,0.0
8982,6,5,6,AA,1637,ORD,1437,9.83,210,-7.0,0.0
8983,7,11,1,WN,3577,SFO,337,21.67,80,-5.0,1.0
8984,1,28,4,UA,599,ORD,334,10.03,85,-1.0,0.0
8985,1,27,3,B6,644,SFO,2586,12.42,325,-2.0,1.0
8986,8,9,2,OO,5477,SFO,158,14.55,66,20.0,1.0
8987,3,20,0,US,605,ORD,1515,15.33,236,20.0,0.0
8988,9,31,5,OO,6647,ORD,416,6.0,86,-4.0,0.0
8989,6,23,3,AA,2305,ORD,802,7.5,135,-11.0,0.0
8990,8,12,5,UA,1176,SFO,679,16.07,126,47.0,1.0
8991,11,2,2,WN,3097,SFO,414,16.25,90,-4.0,1.0
8992,7,1,5,UA,1512,SFO,651,10.95,121,90.0,1.0
8993,11,19,5,UA,635,ORD,416,8.5,94,,0.0
8994,0,28,1,AA,350,ORD,733,18.25,130,69.0,0.0
8995,4,9,5,OO,6485,ORD,438,18.5,97,-18.0,0.0
8996,5,21,6,UA,955,SFO,447,15.83,93,-7.0,1.0
8997,10,30,0,OO,5449,SFO,86,15.98,43,-1.0,1.0
8998,4,23,5,UA,265,ORD,1249,9.75,204,36.0,0.0
8999,4,9,5,US,2138,LGA,185,18.0,75,,3.0
9000,8,3,3,WN,1017,SJC,342,21.08,80,-8.0,4.0
9001,7,31,0,UA,756,ORD,865,18.83,140,29.0,0.0
9002,3,26,6,B6,1608,JFK,274,20.08,97,43.0,2.0
9003,7,6,3,OO,5475,SFO,250,14.58,80,53.0,1.0
9004,0,10,4,WN,2457,SMF,358,16.25,65,24.0,5.0
9005,2,13,4,US,2167,LGA,214,9.0,82,4.0,3.0
9006,11,7,0,AA,1713,LGA,1097,6.75,185,-19.0,3.0
9007,2,3,1,UA,23,JFK,2475,7.9,386,-26.0,2.0
9008,0,31,4,OO,5449,SMF,86,17.17,45,,5.0
9009,5,6,5,AA,730,ORD,1182,12.17,185,0.0,0.0
9010,6,12,6,UA,722,ORD,589,15.9,117,82.0,0.0
9011,6,18,5,B6,173,JFK,2569,17.92,390,44.0,2.0
9012,7,8,5,OH,5539,JFK,589,21.48,149,,2.0
9013,6,14,1,B6,19,JFK,1069,7.92,180,26.0,2.0
9014,3,13,0,AA,1255,ORD,925,19.17,160,-7.0,0.0
9015,11,18,4,UA,729,SFO,447,20.45,88,29.0,1.0
9016,11,1,1,WN,2133,SFO,651,15.42,120,126.0,1.0
9017,2,20,4,B6,1065,JFK,1522,13.58,251,19.0,2.0
9018,0,24,4,UA,793,ORD,334,12.25,89,-2.0,0.0
9019,10,7,5,UA,1582,SFO,414,19.28,93,22.0,1.0
9020,8,21,0,UA,685,LGA,733,15.0,154,1.0,3.0
9021,4,9,5,UA,692,ORD,733,20.33,129,57.0,0.0
9022,0,21,1,UA,385,ORD,334,15.0,85,52.0,0.0
9023,11,15,1,WN,1285,SJC,569,16.58,110,127.0,4.0
9024,0,7,1,UA,1404,SFO,967,7.0,156,70.0,1.0
9025,0,17,4,AA,637,LGA,1097,13.08,190,1.0,3.0
9026,3,12,6,WN,1371,SMF,397,13.0,80,9.0,5.0
9027,9,4,6,AA,2057,ORD,2072,8.25,275,-1.0,0.0
9028,4,1,4,US,347,SMF,647,6.0,111,-7.0,5.0
9029,8,22,1,OO,5919,ORD,264,9.67,70,72.0,0.0
9030,1,25,1,AA,1815,JFK,740,15.67,169,71.0,2.0
9031,7,5,2,UA,478,SFO,1464,10.67,213,31.0,1.0
9032,1,7,4,WN,2624,SMF,373,20.0,80,95.0,5.0
9033,1,1,5,WN,2372,SMF,479,21.42,85,42.0,5.0
9034,11,19,5,B6,1107,JFK,426,17.75,127,,2.0
9035,0,23,3,AA,2313,ORD,802,9.33,150,-2.0,0.0
9036,4,31,6,B6,1107,JFK,426,17.25,117,410.0,2.0
9037,6,9,3,UA,133,SFO,337,11.07,90,-1.0,1.0
9038,6,30,3,UA,1274,SFO,451,22.57,90,2.0,1.0
9039,7,10,0,OO,5905,ORD,1118,10.37,179,26.0,0.0
9040,6,20,0,UA,589,ORD,802,9.72,142,1.0,0.0
9041,11,9,2,WN,2255,SJC,333,7.5,75,-5.0,4.0
9042,8,20,6,WN,2752,SFO,447,6.67,85,-11.0,1.0
9043,0,28,1,HA,165,OGG,100,14.42,34,-4.0,7.0
9044,1,2,6,UA,877,JFK,2586,7.33,396,36.0,2.0
9045,0,7,1,AA,1377,ORD,1721,20.08,265,80.0,0.0
9046,2,20,4,UA,710,SFO,192,22.75,59,8.0,1.0
9047,6,20,0,AA,1130,SJC,1829,6.75,250,-18.0,4.0
9048,7,18,1,WN,2906,SMF,480,18.33,90,42.0,5.0
9049,2,30,0,WN,1426,SFO,1855,7.33,250,-26.0,1.0
9050,11,29,1,OO,6063,ORD,179,13.23,55,-16.0,0.0
9051,7,24,0,UA,10,SFO,2586,11.58,354,18.0,1.0
9052,4,12,1,UA,536,ORD,867,13.92,148,18.0,0.0
9053,0,21,1,B6,112,JFK,301,22.92,83,16.0,2.0
9054,11,9,2,UA,538,ORD,867,17.08,139,26.0,0.0
9055,9,28,2,OO,6382,SFO,522,7.12,92,-13.0,1.0
9056,6,26,6,AA,1417,ORD,1515,14.75,225,-6.0,0.0
9057,4,16,5,UA,482,SFO,967,19.58,141,2.0,1.0
9058,2,17,1,AA,394,ORD,733,6.83,120,13.0,0.0
9059,11,23,2,OH,6499,LGA,292,18.42,97,123.0,3.0
9060,4,30,5,UA,294,SFO,2457,15.2,312,33.0,1.0
9061,7,3,0,OO,5490,SFO,262,21.17,80,1.0,1.0
9062,2,16,0,AA,1253,ORD,258,21.5,65,1.0,0.0
9063,8,2,2,UA,732,ORD,589,8.02,106,21.0,0.0
9064,0,21,1,AA,1881,JFK,1090,15.83,195,33.0,2.0
9065,5,23,1,AA,194,SFO,2704,13.83,335,46.0,1.0
9066,8,18,4,US,1881,ORD,599,17.75,116,24.0,0.0
9067,0,17,4,AA,317,LGA,733,9.92,170,57.0,3.0
9068,0,31,4,B6,1051,JFK,340,8.42,114,-24.0,2.0
9069,0,24,4,AA,547,ORD,1652,10.17,251,53.0,0.0
9070,10,2,0,AA,1931,SFO,337,14.33,85,8.0,1.0
9071,8,9,2,WN,937,SFO,337,13.33,85,1.0,1.0
9072,11,7,0,AA,1184,ORD,719,11.83,130,62.0,0.0
9073,8,26,5,WN,541,SMF,389,21.83,75,-1.0,5.0
9074,8,24,3,AA,1423,ORD,1846,20.25,280,70.0,0.0
9075,5,23,1,OO,5718,SFO,78,13.57,48,146.0,1.0
9076,8,18,4,AA,2341,ORD,802,16.83,145,29.0,0.0
9077,5,17,2,WN,3141,SJC,386,16.25,85,0.0,4.0
9078,11,30,2,AA,2011,LGA,1097,17.5,195,-4.0,3.0
9079,3,14,1,UA,444,ORD,865,8.27,142,-15.0,0.0
9080,7,22,5,OO,5854,ORD,631,19.93,110,52.0,0.0
9081,8,7,0,WN,981,SMF,397,20.58,80,-11.0,5.0
9082,2,11,2,OO,5955,ORD,222,6.5,65,-9.0,0.0
9083,2,2,0,OH,5032,ORD,264,19.17,73,55.0,0.0
9084,2,9,0,UA,888,SFO,337,11.5,86,,1.0
9085,1,6,3,AA,2341,ORD,802,16.58,155,,0.0
9086,3,29,2,UA,203,ORD,334,9.12,90,106.0,0.0
9087,5,9,1,US,401,ORD,1440,18.92,217,57.0,0.0
9088,7,10,0,UA,460,ORD,723,13.52,120,128.0,0.0
9089,0,25,5,HA,305,OGG,100,12.0,34,-7.0,7.0
9090,10,4,2,UA,466,SFO,967,16.7,148,18.0,1.0
9091,6,19,6,AA,269,JFK,2421,16.75,370,143.0,2.0
9092,6,20,0,UA,1015,ORD,1721,22.63,265,23.0,0.0
9093,2,31,1,WN,2272,SJC,308,15.58,70,23.0,4.0
9094,11,31,3,AA,16,SFO,2586,11.83,330,4.0,1.0
9095,2,16,0,B6,97,JFK,1626,21.33,275,121.0,2.0
9096,2,9,0,B6,95,JFK,2576,20.83,407,31.0,2.0
9097,7,6,3,AA,2420,ORD,1120,7.0,165,-7.0,0.0
9098,3,3,4,AA,1733,ORD,1440,19.42,230,30.0,0.0
9099,5,2,1,UA,624,ORD,612,18.0,109,-6.0,0.0
9100,3,7,1,AA,1447,ORD,837,13.67,140,14.0,0.0
9101,9,13,1,US,1483,SFO,2254,13.75,280,-8.0,1.0
9102,3,12,6,B6,711,JFK,1597,9.17,240,17.0,2.0
9103,8,3,3,UA,793,ORD,334,12.08,88,-23.0,0.0
9104,10,6,4,AA,544,ORD,1182,18.5,185,36.0,0.0
9105,9,1,3,UA,704,SFO,550,7.63,104,86.0,1.0
9106,2,20,4,WN,817,SFO,337,9.83,85,31.0,1.0
9107,7,25,1,OO,6510,SMF,373,18.23,91,-6.0,5.0
9108,7,19,2,UA,174,ORD,642,18.98,117,25.0,0.0
9109,1,4,1,UA,602,ORD,612,7.0,103,0.0,0.0
9110,6,14,1,AA,1145,ORD,1249,11.42,190,18.0,0.0
9111,9,12,0,OH,6730,JFK,144,15.33,71,27.0,2.0
9112,9,17,5,AA,1918,ORD,719,18.33,140,30.0,0.0
9113,5,6,5,UA,704,SFO,550,7.87,101,89.0,1.0
9114,3,1,2,OH,5201,JFK,213,8.58,95,10.0,2.0
9115,10,30,0,OO,5960,ORD,174,10.02,55,-22.0,0.0
9116,1,21,4,UA,789,ORD,334,17.17,92,34.0,0.0
9117,8,16,2,AA,154,ORD,867,17.75,140,27.0,0.0
9118,3,19,6,AA,317,ORD,925,12.08,160,-28.0,0.0
9119,2,23,0,UA,597,ORD,334,19.83,92,-27.0,0.0
9120,4,26,1,B6,121,JFK,944,7.17,163,-21.0,2.0
9121,8,27,6,UA,656,ORD,177,13.32,64,-18.0,0.0
9122,4,2,5,WN,3767,SMF,480,17.83,85,55.0,5.0
9123,3,18,5,B6,619,JFK,829,19.92,172,23.0,2.0
9124,4,30,5,AA,566,SFO,1464,19.17,200,-24.0,1.0
9125,6,3,4,B6,128,JFK,267,22.92,84,19.0,2.0
9126,4,12,1,OH,5483,LGA,647,15.97,145,57.0,3.0
9127,4,16,5,OO,6467,SMF,373,10.65,89,-14.0,5.0
9128,1,27,3,OO,6085,ORD,122,6.9,48,1.0,0.0
9129,2,21,5,B6,1061,JFK,1522,8.08,267,17.0,2.0
9130,2,27,4,OO,5963,ORD,130,13.17,52,11.0,0.0
9131,5,23,1,OO,6380,SFO,522,10.73,95,162.0,1.0
9132,3,17,4,OO,6017,ORD,588,8.17,120,-6.0,0.0
9133,7,9,6,UA,600,ORD,612,6.08,106,-11.0,0.0
9134,3,6,0,UA,732,ORD,589,8.5,111,-15.0,0.0
9135,4,19,1,UA,1244,SJC,1829,13.35,249,-22.0,4.0
9136,9,28,2,US,670,ORD,678,5.75,122,138.0,0.0
9137,9,31,5,US,2167,LGA,214,9.0,80,21.0,3.0
9138,7,9,6,UA,180,SFO,2704,22.63,331,16.0,1.0
9139,10,1,6,AA,789,ORD,888,15.83,155,-10.0,0.0
9140,4,21,3,AA,301,ORD,258,8.08,70,-8.0,0.0
9141,6,24,4,UA,1514,ORD,1182,17.98,187,160.0,0.0
9142,1,28,4,OH,5251,LGA,544,15.17,135,-8.0,3.0
9143,11,31,3,B6,87,JFK,1989,20.33,338,79.0,2.0
9144,0,5,6,B6,1604,JFK,274,13.33,80,31.0,2.0
9145,6,18,5,OH,5203,JFK,1522,17.5,269,1.0,2.0
9146,6,27,0,AA,2450,SFO,337,12.08,85,52.0,1.0
9147,0,15,2,UA,685,ORD,334,18.05,92,-15.0,0.0
9148,11,3,3,UA,344,SFO,550,10.83,110,-8.0,1.0
9149,0,20,0,UA,292,SFO,2445,13.25,302,17.0,1.0
9150,3,19,6,B6,855,JFK,1028,21.75,183,-15.0,2.0
9151,3,22,2,UA,473,ORD,1726,20.17,261,7.0,0.0
9152,4,10,6,OO,6226,ORD,584,14.53,104,31.0,0.0
9153,2,6,4,UA,392,ORD,594,19.67,107,,0.0
9154,9,5,0,B6,1069,JFK,1522,20.17,263,15.0,2.0
9155,11,17,3,OO,5862,ORD,222,13.27,62,17.0,0.0
9156,2,12,3,UA,941,ORD,888,17.93,158,-3.0,0.0
9157,5,13,5,UA,352,ORD,590,19.83,111,,0.0
9158,8,7,0,US,2140,LGA,185,19.0,77,,3.0
9159,4,29,4,AA,1704,ORD,719,9.25,125,-10.0,0.0
9160,0,4,5,UA,315,LGA,1619,15.87,268,23.0,3.0
9161,2,16,0,AA,2296,ORD,678,13.08,115,31.0,0.0
9162,10,20,4,US,1002,SFO,2296,13.87,279,19.0,1.0
9163,1,27,3,AA,1463,ORD,888,10.33,160,-19.0,0.0
9164,8,17,3,UA,836,ORD,733,18.08,137,20.0,0.0
9165,3,6,0,B6,648,SFO,2586,23.08,325,-10.0,1.0
9166,7,5,2,OH,5436,LGA,834,15.98,169,25.0,3.0
9167,9,23,4,WN,1321,SMF,479,19.08,90,57.0,5.0
9168,7,16,6,B6,11,JFK,1069,21.42,193,156.0,2.0
9169,6,10,4,OO,6134,SFO,363,8.0,80,-11.0,1.0
9170,0,17,4,UA,182,ORD,606,15.92,116,42.0,0.0
9171,2,13,4,AA,1191,LGA,1020,17.92,200,23.0,3.0
9172,11,16,2,US,1251,ORD,599,6.0,114,-11.0,0.0
9173,2,9,0,WN,3674,SFO,337,17.0,85,37.0,1.0
9174,9,11,6,US,26,OGG,2845,21.5,340,-15.0,7.0
9175,7,24,0,WN,1859,SFO,447,7.58,85,-6.0,1.0
9176,1,5,2,B6,131,JFK,1074,7.0,194,-23.0,2.0
9177,5,15,0,B6,148,JFK,267,20.58,100,47.0,2.0
9178,6,18,5,UA,670,ORD,733,6.95,128,3.0,0.0
9179,2,11,2,B6,215,JFK,2465,15.92,370,-27.0,2.0
9180,3,18,5,UA,2,ORD,599,6.35,109,18.0,0.0
9181,2,5,3,B6,371,LGA,1076,6.0,175,34.0,3.0
9182,2,8,6,UA,240,SJC,2400,7.67,307,19.0,4.0
9183,1,18,1,B6,53,JFK,1005,13.0,174,63.0,2.0
9184,6,7,1,OO,5473,SFO,329,14.92,93,73.0,1.0
9185,5,27,5,AA,1918,ORD,719,19.75,135,123.0,0.0
9186,2,3,1,UA,1534,ORD,1005,15.6,153,-10.0,0.0
9187,11,5,5,UA,1210,ORD,865,13.27,140,-7.0,0.0
9188,1,21,4,UA,820,SFO,679,12.75,123,183.0,1.0
9189,4,7,3,AA,707,LGA,1389,7.67,225,,3.0
9190,5,16,1,AA,333,LGA,733,13.42,150,22.0,3.0
9191,2,9,0,UA,536,ORD,867,14.07,137,22.0,0.0
9192,1,19,2,UA,618,ORD,612,15.0,106,,0.0
9193,3,29,2,OO,6189,ORD,522,15.13,102,76.0,0.0
9194,6,28,1,UA,552,ORD,264,9.43,73,85.0,0.0
9195,11,17,3,AA,2317,ORD,802,10.08,160,54.0,0.0
9196,0,18,5,AA,354,ORD,733,17.58,130,131.0,0.0
9197,7,5,2,UA,145,ORD,1846,12.63,264,,0.0
9198,0,3,4,WN,2633,SJC,308,13.42,70,5.0,4.0
9199,7,20,3,OO,6036,ORD,224,7.32,64,26.0,0.0
9200,5,21,6,B6,217,JFK,2465,18.25,374,33.0,2.0
9201,0,2,3,WN,567,SMF,1790,13.5,235,94.0,5.0
9202,0,13,0,HA,345,OGG,100,15.13,34,-1.0,7.0
9203,0,14,1,UA,628,ORD,612,20.75,101,20.0,0.0
9204,7,27,3,UA,1101,ORD,802,8.08,150,-13.0,0.0
9205,7,30,6,OO,6382,SFO,522,7.05,92,-17.0,1.0
9206,0,27,0,WN,2705,SMF,397,13.33,80,132.0,5.0
9207,0,13,0,UA,704,SFO,550,8.67,103,22.0,1.0
9208,8,30,2,B6,355,JFK,2465,13.58,358,-14.0,2.0
9209,3,22,2,AA,709,LGA,1389,8.92,225,32.0,3.0
9210,5,21,6,AA,1917,JFK,944,15.92,165,42.0,2.0
9211,3,23,3,OO,6352,SFO,751,21.92,120,-24.0,1.0
9212,11,22,1,UA,311,SFO,372,12.82,95,49.0,1.0
9213,4,10,6,UA,949,ORD,1721,17.33,257,33.0,0.0
9214,6,19,6,B6,119,JFK,1182,14.83,193,30.0,2.0
9215,3,7,1,AA,1807,ORD,606,18.92,120,-18.0,0.0
9216,3,1,2,UA,640,ORD,606,21.08,108,,0.0
9217,0,2,3,WN,1002,SJC,342,13.67,75,31.0,4.0
9218,8,3,3,OO,6035,ORD,409,16.3,89,15.0,0.0
9219,2,5,3,UA,893,JFK,2586,8.53,403,-19.0,2.0
9220,11,29,1,AA,1621,LGA,1097,14.08,190,53.0,3.0
9221,4,19,1,UA,622,ORD,612,17.0,109,86.0,0.0
9222,9,31,5,UA,534,ORD,867,13.08,144,-15.0,0.0
9223,2,9,0,OO,5563,SMF,86,8.4,50,-3.0,5.0
9224,8,30,2,OO,6452,TUS,451,11.05,91,-8.0,6.0
9225,6,11,5,UA,158,SFO,1846,23.08,237,57.0,1.0
9226,2,21,5,B6,919,JFK,740,21.25,177,189.0,2.0
9227,2,25,2,WN,836,SFO,414,13.83,90,122.0,1.0
9228,3,29,2,UA,106,ORD,137,16.57,54,-12.0,0.0
9229,10,25,2,UA,594,ORD,606,6.45,120,1.0,0.0
9230,6,7,1,AA,745,LGA,1389,13.75,225,5.0,3.0
9231,2,6,4,OH,5508,JFK,187,10.33,92,-35.0,2.0
9232,7,4,1,AA,1438,TUS,1437,12.0,210,59.0,6.0
9233,5,2,1,OO,5557,SFO,77,8.75,46,-22.0,1.0
9234,0,3,4,WN,350,SMF,479,9.0,90,-2.0,5.0
9235,5,17,2,UA,454,ORD,606,10.53,116,-12.0,0.0
9236,11,10,3,OO,6123,ORD,286,13.15,74,8.0,0.0
9237,7,31,0,B6,29,JFK,1005,20.5,190,-39.0,2.0
9238,6,4,5,UA,1236,ORD,622,13.33,119,-14.0,0.0
9239,7,3,0,UA,858,SFO,337,10.22,90,,1.0
9240,9,22,3,AA,1588,SJC,1438,10.17,200,81.0,4.0
9241,5,30,1,UA,442,ORD,316,19.12,82,19.0,0.0
9242,11,18,4,OO,6752,ORD,607,6.05,106,90.0,0.0
9243,4,16,5,OH,5661,JFK,184,15.45,78,106.0,2.0
9244,6,6,0,OH,5079,ORD,264,10.17,74,26.0,0.0
9245,0,3,4,UA,349,ORD,1829,10.17,285,38.0,0.0
9246,1,5,2,AA,2293,ORD,978,17.75,165,139.0,0.0
9247,11,29,1,US,548,SMF,397,13.83,80,-5.0,5.0
9248,5,20,5,WN,873,SJC,333,16.33,70,1.0,4.0
9249,2,2,0,AA,354,ORD,733,17.58,135,39.0,0.0
9250,8,15,1,OO,6332,SFO,262,12.75,72,81.0,1.0
9251,4,4,0,OH,5133,LGA,563,13.0,113,2.0,3.0
9252,9,18,6,AA,455,ORD,1745,15.17,260,-12.0,0.0
9253,1,21,4,UA,100,SFO,2419,12.75,303,-4.0,1.0
9254,2,12,3,AA,459,ORD,1197,9.67,175,-6.0,0.0
9255,7,6,3,AA,1931,SFO,337,14.75,85,26.0,1.0
9256,8,11,4,OH,6279,JFK,288,14.92,91,33.0,2.0
9257,5,17,2,OO,5893,ORD,1437,10.02,217,26.0,0.0
9258,6,8,2,OO,5704,SJC,234,20.12,62,3.0,4.0
9259,3,13,0,B6,1002,JFK,187,7.0,78,-33.0,2.0
9260,10,19,3,AA,1031,ORD,1236,19.08,205,-13.0,0.0
9261,5,13,5,UA,542,ORD,867,19.6,139,54.0,0.0
9262,7,12,2,UA,73,SFO,2398,9.13,314,-1.0,1.0
9263,6,3,4,OO,6647,ORD,416,6.0,85,18.0,0.0
9264,1,29,5,AA,1617,LGA,950,11.08,180,63.0,3.0
9265,6,12,6,B6,215,JFK,2465,15.92,356,29.0,2.0
9266,0,10,4,AA,319,LGA,733,10.58,165,-9.0,3.0
9267,9,13,1,OO,6035,ORD,409,16.6,89,2.0,0.0
9268,5,23,1,AA,346,ORD,733,19.33,150,22.0,0.0
9269,5,17,2,UA,1166,SFO,337,18.3,87,-12.0,1.0
9270,9,3,5,OO,5475,SFO,250,14.33,78,24.0,1.0
9271,0,23,3,AA,2435,ORD,1440,12.33,230,55.0,0.0
9272,9,5,0,US,548,SFO,414,13.58,93,1.0,1.0
9273,5,21,6,UA,111,ORD,1745,11.5,251,-6.0,0.0
9274,5,11,3,UA,355,ORD,1721,12.08,267,-19.0,0.0
9275,11,28,0,WN,1168,SMF,358,10.08,70,51.0,5.0
9276,5,15,0,AA,356,ORD,733,9.42,130,36.0,0.0
9277,6,18,5,AA,1761,LGA,1097,19.2,183,146.0,3.0
9278,5,3,2,UA,707,ORD,888,6.08,149,30.0,0.0
9279,11,1,1,OH,6490,ORD,264,7.65,81,199.0,0.0
9280,0,12,6,WN,1668,SMF,373,9.67,80,20.0,5.0
9281,0,17,4,AA,1248,ORD,678,6.83,115,-8.0,0.0
9282,5,10,2,AA,1282,SFO,1464,7.92,210,,1.0
9283,7,9,6,OO,6350,SFO,363,11.75,82,83.0,1.0
9284,0,14,1,WN,1604,SMF,480,16.75,85,-8.0,5.0
9285,11,3,3,UA,807,SFO,337,16.87,88,9.0,1.0
9286,6,25,5,AA,2242,SFO,337,16.17,85,32.0,1.0
9287,2,21,5,OH,5132,JFK,106,14.92,63,57.0,2.0
9288,0,17,4,B6,9,JFK,944,19.33,193,44.0,2.0
9289,10,6,4,WN,2235,SFO,414,11.17,100,-11.0,1.0
9290,6,5,6,AA,181,JFK,2475,16.92,355,133.0,2.0
9291,11,19,5,OH,6467,LGA,431,16.98,118,,3.0
9292,8,23,2,UA,719,ORD,588,20.08,114,59.0,0.0
9293,10,3,1,WN,2817,SJC,308,21.92,70,3.0,4.0
9294,7,9,6,US,1627,LGA,544,17.08,125,-33.0,3.0
9295,5,26,4,B6,29,JFK,1005,20.5,190,-38.0,2.0
9296,8,26,5,UA,90,SFO,2565,8.93,335,165.0,1.0
9297,3,27,0,US,2122,LGA,185,10.0,76,-14.0,3.0
9298,11,4,4,OH,6493,LGA,292,15.17,98,17.0,3.0
9299,1,27,3,AA,179,JFK,2586,8.75,384,,2.0
9300,9,8,3,OO,3912,SFO,599,13.0,113,-10.0,1.0
9301,11,26,5,OO,4551,ORD,264,16.25,73,119.0,0.0
9302,5,8,0,AA,1297,LGA,761,19.25,150,16.0,3.0
9303,11,8,1,US,471,SFO,414,15.67,86,-12.0,1.0
9304,6,28,1,OO,3986,TUS,601,6.17,108,-2.0,6.0
9305,4,23,5,WN,2686,SMF,373,13.5,85,9.0,5.0
9306,4,18,0,AA,1503,ORD,1120,11.67,165,3.0,0.0
9307,8,29,1,B6,215,JFK,2465,15.83,374,-18.0,2.0
9308,7,5,2,WN,618,SMF,910,18.42,135,41.0,5.0
9309,9,22,3,OO,5847,ORD,978,13.28,159,21.0,0.0
9310,11,14,0,UA,472,ORD,528,13.7,102,36.0,0.0
9311,6,7,1,B6,169,JFK,2569,8.67,370,-7.0,2.0
9312,8,5,5,UA,382,ORD,589,8.85,106,-7.0,0.0
9313,9,28,2,OO,5522,SFO,238,7.42,79,0.0,1.0
9314,7,19,2,OO,6069,SFO,599,8.77,110,-11.0,1.0
9315,3,21,1,AA,257,JFK,2248,16.42,330,17.0,2.0
9316,1,25,1,AA,353,LGA,733,19.48,160,143.0,3.0
9317,0,3,4,OO,5497,SFO,250,22.58,81,,1.0
9318,9,3,5,WN,479,TUS,451,19.58,95,-15.0,6.0
9319,6,10,4,OO,6077,ORD,438,16.6,94,,0.0
9320,2,31,1,UA,434,ORD,235,8.12,74,19.0,0.0
