,tailnum,year,type,manufacturer,model,engines,seats,speed,engine
659,N38451,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
660,N38454,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
661,N38458,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
662,N38459,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
663,N38467,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
664,N38473,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
665,N384DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
666,N384HA,2011,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
667,N384SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
668,N385DN,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
669,N385HA,2012,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
670,N385SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
671,N386DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
672,N386HA,2012,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
673,N386SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
674,N38727,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
675,N387DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
676,N387SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
677,N388DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
678,N388HA,2012,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
679,N388SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
680,N389DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
681,N389HA,NA,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
682,N389SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
683,N390DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
684,N390HA,2013,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
685,N390SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
686,N391DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
687,N391HA,2013,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
688,N391SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
689,N39297,2005,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
690,N392DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
691,N392HA,2013,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
692,N392SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
693,N393DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
694,N393HA,2013,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
695,N39415,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
696,N39416,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
697,N39418,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
698,N39423,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
699,N39450,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
700,N39461,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
701,N39463,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
702,N39475,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
703,N394DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
704,N394SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
705,N395DN,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
706,N395HA,2013,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
707,N395SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
708,N396DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
709,N396HA,2014,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
710,N396SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
711,N39726,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
712,N39728,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
713,N397DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
714,N397SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
715,N398DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
716,N398SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
717,N399DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
718,N399HA,2014,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
719,N399WN,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
720,N400WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
721,N401UA,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
722,N401WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
723,N402AS,2012,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
724,N402UA,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
725,N402WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
726,N403AS,2012,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
727,N403UA,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
728,N403WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
729,N404UA,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
730,N404WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
731,N405UA,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
732,N405WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
733,N406UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
734,N406WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
735,N407AS,2012,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
736,N407UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
737,N407WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
738,N408AS,2012,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
739,N408UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
740,N408WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
741,N409AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
742,N409UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
743,N409WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
744,N410UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
745,N410WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
746,N411SW,1995,Fixed wing multi engine,CANADAIR,CL-600-2B19,2,55,NA,Turbo-fan
747,N411UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
748,N411WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
749,N412SW,1995,Fixed wing multi engine,CANADAIR,CL-600-2B19,2,55,NA,Turbo-fan
750,N412UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
751,N412WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
752,N413AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
753,N413SW,1996,Fixed wing multi engine,CANADAIR,CL-600-2B19,2,55,NA,Turbo-fan
754,N413UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
755,N413WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
756,N414UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
757,N414WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
758,N415UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
759,N415WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
760,N416UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
761,N416WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
762,N417UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
763,N417WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
764,N418UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
765,N418WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
766,N419AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
767,N419UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
768,N419WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
769,N420UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
770,N420WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
771,N421LV,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
772,N421UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
773,N422UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
774,N422WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
775,N423AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
776,N423UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
777,N423WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
778,N424UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
779,N424WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
780,N425AA,1968,Fixed wing single engine,PIPER,PA-28-180,1,4,107,Reciprocating
781,N425LV,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
782,N425UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
783,N426AA,1986,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
784,N426UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
785,N426WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
786,N427UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
787,N427WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
788,N428UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
789,N428WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
790,N429UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
791,N429WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
792,N430UA,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
793,N430WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
794,N431AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
795,N431UA,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
796,N431WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
797,N432UA,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
798,N432WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
799,N433AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
800,N433LV,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
801,N433UA,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
802,N434AA,1987,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
803,N434UA,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
804,N434WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
805,N435AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
806,N435UA,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
807,N435WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
808,N436AA,1987,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
809,N436UA,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
810,N436WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
811,N437AA,1987,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
812,N437UA,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
813,N437WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
814,N438AA,1987,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
815,N438UA,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
816,N438WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
817,N439AA,1987,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
818,N439UA,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
819,N439WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
820,N440AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
821,N440LV,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
822,N440UA,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
823,N441UA,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
824,N441WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
825,N442AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
826,N442UA,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
827,N442WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
828,N443UA,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
829,N443WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
830,N444UA,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
831,N444WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
832,N445UA,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
833,N445WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
834,N446UA,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
835,N446WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
836,N447UA,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
837,N447WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
838,N448UA,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
839,N448WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
840,N449UA,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
841,N449WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
842,N450WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
843,N451UA,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
844,N451WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
845,N452UA,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
846,N452WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
847,N453AS,2014,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
848,N453UA,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
849,N453WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
850,N45440,2009,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
851,N454UA,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
852,N454WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
853,N455UA,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
854,N455WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
855,N456AA,1988,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
856,N456UA,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
857,N456WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
858,N457AS,2014,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
859,N457UA,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
860,N457WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
861,N458UA,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
862,N458WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
863,N459AS,2014,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
864,N459UA,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
865,N459WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
866,N460UA,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
867,N460WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
868,N461AS,2014,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
869,N461UA,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
870,N461WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
871,N462AS,2014,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
872,N462UA,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
873,N462WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
874,N463UA,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
875,N463WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
876,N464AS,2014,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
877,N464UA,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
878,N464WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
879,N465UA,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
880,N465WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
881,N466SW,2003,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
882,N466UA,NA,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
883,N466WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
884,N467AA,1988,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
885,N467AS,2014,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
886,N467UA,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
887,N467WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
888,N468AA,1988,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
889,N468AS,2014,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
890,N468UA,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
891,N468WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
892,N469AS,2014,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
893,N469UA,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
894,N469WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
895,N470AA,1988,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
896,N470UA,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
897,N470WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
898,N471AS,2014,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
899,N471CA,2002,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
900,N471UA,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
901,N472AA,1988,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
902,N472CA,2002,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
903,N472UA,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
904,N472WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
905,N473AA,1988,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
906,N473UA,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
907,N473WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
908,N47414,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
909,N474UA,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
910,N474WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
911,N475UA,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
912,N475WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
913,N476AA,1988,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
914,N476UA,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
915,N476WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
916,N477AA,1988,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
917,N477CA,2002,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
918,N477UA,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
919,N477WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
920,N478AA,1988,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
921,N478UA,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
922,N478WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
923,N479CA,2002,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
924,N479UA,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
925,N479WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
926,N480AA,1988,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
927,N480UA,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
928,N480WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
929,N481AA,1988,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
930,N481UA,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
931,N481WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
932,N482UA,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
933,N482WN,2004,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
