,Elbow rest height,Wrist circumference,Ankle circumference,Buttock height,Crotch height
1146,212,181,222,915,882
1147,234,167,205,847,840
1148,226,182,225,908,877
1149,316,172,227,886,816
1150,262,178,227,885,854
1151,243,177,217,919,863
1152,242,170,221,822,792
1153,276,177,224,829,780
1154,238,189,226,851,818
1155,226,169,217,852,847
1156,274,183,240,870,846
1157,223,174,204,868,832
1158,246,176,244,858,821
1159,282,165,210,831,758
1160,269,163,217,827,764
1161,236,177,240,844,841
1162,256,183,240,913,860
1163,213,172,226,935,903
1164,272,186,245,812,785
1165,254,184,247,894,876
1166,280,185,255,964,912
1167,265,175,226,904,875
1168,251,180,236,884,840
1169,225,166,212,897,851
1170,210,189,237,936,905
1171,240,187,253,944,906
1172,242,176,225,866,837
1173,269,177,223,874,829
1174,237,172,223,851,808
1175,275,178,233,883,833
1176,222,179,238,941,895
1177,238,161,223,860,822
1178,249,192,243,951,908
1179,300,182,223,931,877
1180,291,187,267,886,838
1181,230,178,221,942,909
1182,199,174,213,876,869
1183,226,172,233,840,812
1184,249,188,222,938,880
1185,192,191,230,913,875
1186,251,191,243,922,892
1187,271,174,233,816,773
1188,240,171,216,887,863
1189,227,172,207,852,815
1190,285,187,226,875,789
1191,269,175,234,846,793
1192,262,182,234,930,894
1193,247,178,218,823,785
1194,248,190,247,991,921
1195,287,168,212,842,803
1196,240,176,231,838,766
1197,212,180,228,873,841
1198,252,180,237,931,878
1199,258,167,222,825,799
1200,300,170,207,817,753
1201,282,180,233,878,843
1202,206,177,233,938,885
1203,242,182,237,905,870
1204,212,174,214,854,795
1205,256,175,205,869,816
1206,275,187,238,852,800
1207,260,177,228,918,871
1208,265,189,242,839,819
1209,172,170,211,967,936
1210,282,190,241,980,951
1211,262,173,218,798,775
1212,240,174,230,847,831
1213,217,179,220,852,801
1214,261,196,244,882,817
1215,252,190,234,863,809
1216,233,190,268,882,856
1217,250,164,210,842,795
1218,294,191,267,875,816
1219,233,175,217,858,814
1220,270,186,238,884,858
1221,212,168,205,902,869
1222,284,194,237,867,842
1223,268,192,224,871,855
1224,242,186,234,891,859
1225,235,170,218,809,772
1226,235,180,228,885,815
1227,246,182,224,837,749
1228,278,172,235,885,827
1229,247,181,228,873,829
1230,281,174,230,836,804
1231,209,174,233,884,823
1232,227,182,240,901,860
1233,298,188,255,869,832
1234,192,179,217,845,797
1235,227,182,233,922,879
1236,250,190,248,922,900
1237,231,188,236,937,876
1238,238,192,243,827,771
1239,234,174,222,843,828
1240,261,166,225,906,850
1241,291,172,236,838,787
1242,272,198,243,938,891
1243,274,180,234,877,857
1244,212,177,217,897,883
1245,224,174,223,891,820
1246,244,174,220,833,778
1247,271,176,245,833,783
1248,216,187,233,876,818
1249,221,170,217,862,831
1250,176,181,227,857,810
1251,255,181,237,863,820
1252,181,185,249,904,877
1253,237,179,226,883,842
1254,265,175,223,885,873
1255,205,172,211,904,902
1256,257,176,222,893,855
1257,291,187,245,881,822
1258,268,162,230,776,738
1259,313,198,250,895,837
1260,278,172,207,839,826
1261,210,171,218,843,831
1262,267,175,224,895,846
1263,288,183,233,890,863
1264,232,186,238,866,801
1265,220,172,211,804,792
1266,200,178,254,875,825
1267,264,189,244,864,810
1268,281,177,193,857,819
1269,258,177,220,918,900
1270,233,178,243,906,875
1271,250,187,247,869,803
1272,218,179,222,878,837
1273,291,172,218,834,774
1274,226,183,213,882,825
1275,270,174,222,881,834
1276,234,183,233,917,852
1277,268,187,233,870,838
1278,271,197,267,953,927
1279,256,175,239,869,844
1280,240,172,213,818,802
1281,188,174,216,940,905
1282,265,182,253,886,843
1283,254,178,247,900,872
1284,244,186,258,873,862
1285,250,181,249,847,815
1286,252,176,218,914,868
1287,194,166,227,908,888
1288,265,173,221,819,804
1289,251,175,215,845,815
1290,245,165,220,904,852
1291,256,186,237,918,870
1292,232,170,222,839,787
1293,261,188,224,886,857
1294,266,183,219,843,808
1295,221,187,224,925,892
1296,245,174,227,845,822
1297,251,171,223,881,847
1298,185,171,218,909,863
1299,237,177,228,866,805
1300,251,187,245,841,783
1301,214,189,229,919,886
1302,255,185,228,902,867
1303,304,183,249,871,831
1304,278,191,254,918,858
1305,209,174,213,903,865
1306,240,177,234,912,891
1307,289,175,238,897,811
1308,278,177,215,813,797
1309,202,182,238,910,866
1310,281,168,216,820,790
1311,262,182,238,894,831
1312,293,176,213,882,827
1313,252,173,233,857,832
1314,214,180,230,972,924
1315,243,159,197,804,780
1316,269,178,225,915,871
1317,243,175,246,909,870
1318,254,190,246,941,902
1319,262,181,237,890,837
1320,203,186,243,916,881
1321,247,186,228,947,860
1322,239,187,242,943,893
1323,305,197,247,911,879
1324,253,190,227,952,924
1325,216,180,217,939,894
1326,252,193,237,933,910
1327,240,186,247,923,861
1328,221,180,230,1016,940
1329,221,162,197,788,770
1330,216,171,232,960,902
1331,230,177,205,877,817
1332,223,175,214,933,908
1333,253,189,225,849,805
1334,236,175,213,866,841
1335,294,184,235,874,805
1336,224,177,235,916,909
1337,227,175,224,891,825
1338,252,173,225,843,829
1339,285,205,254,935,861
1340,223,171,223,898,833
1341,243,180,238,826,815
1342,243,178,227,947,908
1343,270,178,229,904,846
1344,266,191,253,896,849
1345,247,174,228,843,803
1346,256,174,224,802,769
1347,216,179,232,929,853
1348,272,174,224,844,799
1349,216,188,245,920,872
1350,225,179,228,863,831
1351,291,181,245,815,798
1352,250,176,237,830,800
1353,217,186,249,881,821
1354,273,178,233,869,833
1355,282,178,225,868,811
1356,253,167,222,829,793
1357,264,178,237,861,820
1358,276,183,235,881,811
1359,235,162,207,861,827
1360,203,167,231,948,911
1361,241,168,227,831,763
1362,223,178,234,841,793
1363,316,185,237,916,850
1364,300,180,222,792,749
1365,254,182,237,895,843
1366,215,180,219,910,851
1367,273,187,244,914,883
1368,253,181,237,872,834
1369,269,170,243,804,788
1370,270,189,240,985,936
1371,265,176,214,843,838
1372,232,170,240,855,825
1373,214,177,226,938,905
1374,264,182,231,899,853
1375,184,174,217,937,886
1376,239,204,255,892,841
1377,282,167,213,823,790
1378,280,191,264,884,861
1379,241,185,226,891,816
1380,234,180,255,852,863
1381,210,171,220,975,928
1382,185,160,210,882,860
1383,222,173,228,877,861
1384,223,167,218,824,802
1385,237,160,207,859,817
1386,274,172,229,842,811
1387,227,177,217,937,855
1388,229,182,227,907,866
1389,255,176,255,875,829
1390,241,178,244,916,851
1391,259,179,234,903,832
1392,230,167,213,933,880
1393,241,189,236,827,777
1394,242,177,234,875,825
1395,211,177,273,920,893
1396,175,175,251,886,857
1397,193,173,240,931,898
1398,212,162,209,771,746
1399,267,182,235,969,897
1400,199,176,230,906,861
1401,286,186,250,893,855
1402,264,173,233,970,911
1403,222,161,203,838,803
1404,253,172,249,892,876
1405,298,171,243,852,830
1406,248,176,232,905,865
1407,274,178,215,905,825
1408,301,169,225,875,827
1409,252,185,242,901,862
1410,213,179,241,920,862
1411,217,160,197,826,786
1412,281,170,242,809,768
1413,248,165,210,833,823
1414,255,169,240,743,702
1415,276,170,212,786,771
1416,264,175,235,873,836
1417,231,175,247,934,862
1418,227,168,210,783,748
1419,248,169,254,773,763
1420,240,182,256,848,858
1421,214,166,238,882,860
1422,220,165,220,893,866
1423,195,179,234,892,843
1424,214,164,205,846,807
1425,235,169,225,870,848
1426,219,172,233,845,796
1427,216,170,218,818,745
1428,239,164,218,799,758
1429,254,170,213,830,775
1430,264,182,224,872,829
1431,200,183,217,811,802
1432,231,185,238,908,865
1433,247,177,237,877,855
1434,243,178,246,852,814
1435,232,172,220,856,825
1436,300,187,245,911,851
1437,268,176,243,896,859
1438,204,178,218,854,798
1439,262,181,249,943,890
1440,200,166,226,850,822
1441,235,171,230,916,867
1442,249,180,250,869,861
1443,265,170,202,935,908
1444,270,205,264,916,893
1445,266,175,240,858,831
1446,226,179,254,853,815
1447,240,167,213,869,809
1448,178,149,203,797,772
1449,220,175,215,859,830
1450,221,163,217,882,862
1451,241,164,227,799,763
1452,237,183,239,923,883
1453,254,163,211,780,755
1454,218,179,226,900,815
1455,233,174,243,980,951
1456,213,181,224,961,887
1457,187,173,215,912,873
1458,212,174,230,859,830
1459,257,178,212,859,858
1460,252,171,211,878,832
1461,215,184,216,896,849
1462,231,184,237,890,898
1463,259,181,244,898,846
1464,226,181,242,932,878
1465,260,187,244,874,850
1466,242,174,228,798,769
1467,245,183,227,866,843
1468,243,186,252,875,840
1469,251,175,224,858,825
1470,230,170,220,888,880
1471,223,179,237,909,891
1472,171,172,216,915,879
1473,250,166,231,831,792
1474,228,167,237,820,798
1475,256,156,206,796,774
1476,257,168,222,924,872
1477,246,187,250,845,817
1478,247,171,225,838,794
1479,300,187,277,792,760
1480,228,170,226,801,792
1481,169,176,227,889,851
1482,277,184,224,843,814
1483,257,183,232,849,832
1484,254,180,250,879,846
1485,265,183,252,879,825
1486,249,156,228,716,705
1487,259,174,226,877,853
1488,273,174,232,799,779
1489,238,179,224,860,797
1490,208,175,233,785,788
1491,214,175,220,875,855
1492,296,188,255,825,753
1493,281,185,256,879,818
1494,285,165,233,877,826
1495,225,180,247,939,891
1496,217,174,221,902,836
1497,244,179,230,868,842
1498,255,181,237,893,875
1499,230,170,222,870,851
1500,241,185,237,853,827
1501,210,167,233,832,784
1502,210,184,227,876,862
1503,249,188,255,904,899
1504,251,171,226,839,821
1505,253,172,232,867,840
1506,201,177,245,999,962
1507,284,180,235,927,890
1508,229,181,234,868,834
1509,230,182,218,903,880
1510,251,186,245,908,884
1511,240,184,234,889,873
1512,191,182,232,886,877
1513,215,174,234,886,845
1514,239,177,228,862,816
1515,200,159,201,822,771
1516,238,180,258,883,849
1517,303,177,252,883,870
1518,253,194,244,865,835
1519,242,179,218,804,789
1520,207,174,236,944,933
1521,253,185,243,855,818
1522,210,160,224,782,755
1523,256,163,208,870,815
1524,231,170,229,803,762
1525,285,173,224,832,797
1526,282,182,242,865,842
1527,229,182,227,807,807
1528,314,175,247,900,887
1529,257,174,226,887,863
1530,237,172,234,906,865
1531,241,180,240,910,880
1532,221,188,236,922,893
1533,254,178,234,842,823
1534,254,189,247,922,895
1535,288,177,226,892,850
1536,228,176,227,888,870
1537,237,175,216,872,832
1538,183,185,227,978,934
1539,270,171,222,862,837
1540,254,178,234,917,891
1541,224,182,239,817,797
1542,308,175,241,899,871
1543,278,176,252,933,899
1544,184,166,207,882,848
1545,245,182,230,825,811
1546,269,168,219,834,804
1547,252,170,214,866,842
1548,284,178,225,832,816
1549,240,164,217,799,782
1550,223,168,215,841,783
1551,224,180,224,861,843
1552,266,173,220,916,875
1553,228,167,228,826,778
1554,228,181,223,893,839
1555,216,191,234,924,911
1556,191,166,201,900,878
1557,228,170,224,889,856
1558,235,165,206,849,811
1559,258,157,214,856,807
1560,268,163,215,770,726
1561,246,184,262,896,880
1562,263,162,212,808,786
1563,241,186,243,898,862
1564,330,190,247,786,758
1565,266,190,237,852,827
1566,240,169,220,817,793
1567,260,181,240,923,887
1568,319,184,247,807,774
1569,253,174,244,918,898
1570,286,200,255,944,911
1571,234,158,207,839,796
1572,205,165,217,849,819
1573,212,152,199,822,778
1574,286,176,233,906,896
1575,267,164,220,771,730
1576,316,192,234,885,832
1577,248,197,242,973,906
1578,250,185,218,889,848
1579,278,173,256,895,855
1580,231,174,217,807,772
1581,263,186,224,840,816
1582,257,177,248,831,781
1583,239,185,245,855,837
1584,227,177,225,834,830
1585,256,168,227,778,766
1586,218,170,208,849,832
1587,257,176,218,980,960
1588,263,184,223,885,846
1589,229,167,210,944,924
1590,244,188,250,885,811
1591,217,170,245,926,914
1592,209,166,214,808,810
1593,262,186,217,942,897
1594,233,171,248,870,848
1595,238,174,218,868,857
1596,253,180,233,851,825
1597,222,178,225,840,822
1598,271,179,237,842,812
1599,212,168,220,857,834
1600,275,166,220,864,838
1601,226,180,242,876,814
1602,209,157,201,794,785
1603,249,168,206,729,711
1604,226,169,217,861,816
1605,262,177,232,844,833
1606,250,178,240,905,862
1607,233,174,252,866,842
1608,195,180,236,887,863
1609,246,202,282,946,850
1610,294,175,217,839,768
1611,254,172,222,894,860
1612,279,166,228,873,829
1613,253,178,226,908,883
1614,213,173,228,876,880
1615,226,185,241,905,921
1616,243,181,230,808,809
1617,283,181,245,851,810
1618,232,167,225,777,760
1619,245,161,213,854,793
1620,254,175,235,870,820
1621,236,181,244,855,837
1622,257,185,240,859,819
1623,249,188,242,947,904
1624,236,160,210,884,868
1625,276,156,208,780,763
1626,244,166,228,820,794
1627,259,164,226,831,796
1628,241,178,238,897,871
1629,261,182,239,853,817
1630,259,199,276,863,822
1631,209,175,216,878,852
1632,250,182,235,941,912
1633,255,193,245,929,890
1634,258,176,228,912,876
1635,247,198,247,926,849
1636,243,167,225,787,760
1637,235,182,228,904,868
1638,265,174,231,833,793
1639,232,167,215,868,827
1640,218,175,228,892,842
1641,243,161,208,857,832
1642,251,178,237,878,870
1643,187,164,218,885,826
1644,256,196,253,908,855
1645,288,169,224,847,813
1646,250,175,231,860,831
1647,268,175,231,911,863
1648,244,174,219,877,818
1649,247,187,233,886,842
1650,245,172,212,858,841
1651,277,168,208,849,810
1652,221,175,253,897,838
1653,207,167,233,970,929
1654,221,165,213,837,806
1655,300,184,238,905,864
1656,249,177,221,842,792
1657,236,174,238,920,869
1658,230,168,228,845,797
1659,236,170,214,897,905
1660,306,188,258,918,882
1661,244,183,235,880,856
1662,256,172,224,789,753
1663,205,178,225,845,817
1664,258,173,213,854,819
1665,272,165,205,849,843
1666,230,171,229,855,822
1667,189,154,205,816,785
1668,272,180,240,845,849
1669,276,172,211,901,878
1670,220,171,225,874,858
1671,263,187,243,870,840
1672,231,165,227,845,826
1673,270,200,264,937,899
1674,250,170,222,857,819
1675,190,168,227,796,800
1676,197,190,247,987,925
1677,246,170,226,769,772
1678,227,167,222,826,784
1679,234,172,220,880,861
1680,223,182,226,841,824
1681,254,179,235,806,790
1682,219,167,206,834,779
1683,300,186,227,813,785
1684,259,170,213,859,814
1685,250,168,221,854,802
1686,222,179,228,950,890
1687,237,164,224,838,764
1688,265,188,235,801,783
1689,284,182,257,857,832
1690,241,178,234,886,845
1691,228,183,245,936,911
1692,221,187,243,991,942
1693,200,175,237,919,897
1694,288,190,257,906,859
1695,229,169,218,862,828
1696,227,163,208,897,868
1697,280,178,241,790,783
1698,243,173,220,828,808
1699,321,187,244,816,789
1700,273,182,243,853,825
1701,250,166,206,931,897
1702,250,170,233,870,833
1703,285,187,227,926,876
1704,234,194,246,907,855
1705,231,168,212,835,823
1706,259,170,236,846,822
1707,210,167,235,779,761
1708,265,174,237,784,768
1709,260,173,227,923,848
1710,286,176,243,873,858
1711,230,184,228,861,815
1712,293,178,232,891,838
1713,258,179,244,835,811
1714,232,164,212,839,818
1715,271,184,244,852,809
1716,238,164,224,800,778
1717,227,169,215,821,814
1718,240,174,227,872,837
1719,224,170,217,827,801
1720,268,176,233,852,824
1721,243,175,233,848,828
1722,272,208,283,957,898
1723,225,176,240,874,841
1724,244,162,207,826,799
1725,258,176,218,917,891
1726,208,169,229,894,870
1727,285,180,248,859,826
1728,280,199,253,873,841
1729,290,192,250,878,840
1730,225,171,234,806,769
1731,197,189,250,883,845
1732,280,184,247,910,871
1733,212,174,235,801,773
1734,191,180,249,858,840
1735,249,193,264,945,924
1736,262,169,229,780,757
1737,253,174,226,904,872
1738,192,158,216,836,813
1739,275,184,232,868,816
1740,240,179,253,926,878
1741,225,183,231,901,859
1742,291,183,242,867,822
1743,211,174,226,906,883
1744,278,170,219,802,776
1745,244,167,233,814,796
1746,227,173,234,882,836
1747,224,178,235,916,839
1748,261,193,262,948,926
1749,256,184,244,870,847
1750,235,175,244,928,883
1751,261,178,229,849,810
1752,268,163,210,822,806
1753,251,178,236,924,901
1754,257,182,247,848,829
1755,270,164,203,830,808
1756,232,171,225,825,841
1757,229,177,229,867,867
1758,262,173,237,862,846
1759,253,166,220,840,812
1760,279,181,242,908,881
1761,263,172,246,841,821
1762,243,184,207,859,824
1763,308,174,226,840,826
1764,243,160,204,855,839
1765,233,175,234,948,929
1766,202,184,227,808,797
1767,284,174,237,807,786
1768,283,170,212,878,844
1769,229,168,228,828,833
1770,278,168,230,753,757
1771,245,182,229,882,897
1772,253,178,244,841,812
1773,188,169,224,878,864
1774,241,174,232,981,979
1775,202,176,233,1008,1001
1776,217,175,230,865,861
1777,234,186,254,887,860
1778,228,158,203,808,809
1779,241,196,276,922,941
1780,286,178,249,836,811
1781,229,176,226,874,868
1782,257,167,230,915,859
1783,283,180,234,857,829
1784,242,195,245,932,920
1785,257,186,236,841,827
1786,232,178,240,984,927
1787,208,188,265,994,942
1788,261,178,233,828,826
1789,300,199,260,825,803
1790,273,176,240,796,747
1791,186,170,213,841,836
1792,260,182,230,832,836
1793,215,171,235,896,877
1794,214,174,233,882,848
1795,237,181,269,864,891
1796,172,171,204,847,824
1797,258,177,217,868,834
1798,270,191,256,851,839
1799,237,190,240,919,887
1800,252,194,247,898,872
1801,226,173,228,883,840
1802,269,180,239,846,854
1803,267,174,230,827,812
1804,213,173,217,828,812
1805,250,178,225,856,856
1806,216,189,269,893,859
1807,280,183,254,964,923
1808,244,186,257,874,859
1809,235,167,220,831,812
1810,209,167,214,822,804
1811,248,180,235,862,869
1812,202,168,220,822,795
1813,225,166,205,821,818
1814,266,174,242,896,891
1815,261,173,226,837,825
1816,226,173,212,880,875
1817,212,175,239,904,875
1818,290,162,197,833,805
1819,260,172,244,845,827
1820,218,172,228,905,884
1821,233,187,230,939,909
1822,218,170,227,882,826
1823,217,182,244,877,874
1824,247,171,223,825,796
1825,220,179,237,846,783
1826,229,188,237,940,908
1827,204,154,204,825,807
1828,210,171,206,866,865
1829,256,165,217,871,804
1830,213,175,237,858,841
1831,263,173,228,919,855
1832,273,180,238,858,831
1833,262,179,238,914,902
1834,249,181,225,925,906
1835,252,183,225,800,763
1836,254,178,254,883,873
1837,213,177,237,865,841
1838,271,172,217,855,828
1839,197,166,213,853,875
1840,199,167,223,814,791
1841,186,158,203,785,752
1842,257,188,268,922,887
1843,230,166,216,858,843
1844,271,170,240,849,831
1845,237,173,221,846,818
1846,206,175,240,828,822
1847,227,165,224,912,885
1848,278,183,233,918,901
1849,235,176,212,886,860
1850,243,188,246,918,902
1851,237,163,209,817,806
1852,243,176,227,880,831
1853,244,170,218,875,831
1854,216,177,228,943,878
1855,211,177,227,887,830
1856,246,176,236,886,843
1857,211,176,240,964,906
1858,272,176,224,866,818
1859,218,168,210,877,833
1860,172,170,218,965,903
1861,267,170,229,905,854
1862,248,175,242,812,769
1863,239,172,203,876,834
1864,239,181,228,850,812
1865,261,177,231,868,846
1866,199,178,228,906,851
1867,229,175,243,854,807
1868,287,184,233,892,849
1869,274,181,224,915,850
1870,215,176,243,926,899
1871,253,177,202,863,820
1872,225,171,200,851,806
1873,264,182,246,840,802
1874,252,166,218,789,751
1875,221,161,212,865,813
1876,278,192,234,941,878
1877,259,172,223,905,825
1878,215,186,220,837,805
1879,237,171,212,905,851
1880,219,193,244,1024,942
1881,257,182,230,916,867
1882,272,183,234,894,836
1883,223,173,225,877,843
1884,299,181,244,843,816
1885,224,170,210,853,789
1886,237,168,223,875,815
1887,273,179,241,911,861
1888,271,172,218,808,770
1889,258,158,211,883,815
1890,221,175,233,910,877
1891,234,165,204,803,769
1892,191,182,258,835,850
1893,286,179,238,944,867
1894,247,180,249,956,884
1895,241,179,232,945,895
1896,264,181,215,932,858
1897,186,165,206,848,816
1898,214,180,236,944,893
1899,268,184,240,901,845
1900,261,180,256,868,825
1901,233,183,238,958,876
1902,243,182,234,927,886
1903,255,201,257,953,899
1904,298,197,264,892,810
1905,190,169,227,892,832
1906,250,175,235,830,776
1907,275,188,226,894,839
1908,216,169,230,885,838
1909,226,171,250,816,766
1910,236,181,222,834,769
1911,232,173,217,862,820
1912,244,181,241,951,900
1913,263,190,247,918,849
1914,245,196,262,920,861
1915,276,177,238,950,886
1916,263,181,224,964,911
1917,233,179,242,909,840
1918,265,182,245,884,846
1919,232,168,217,913,856
1920,232,163,214,915,876
1921,186,189,234,965,923
1922,279,197,293,954,900
1923,261,171,228,835,783
1924,268,204,263,1047,951
1925,266,189,254,923,840
1926,273,178,235,868,833
1927,219,192,254,865,823
1928,256,181,227,806,772
1929,259,177,226,874,846
1930,257,185,229,891,837
1931,256,178,240,877,807
1932,235,178,237,843,780
1933,243,197,251,880,800
1934,228,165,212,892,819
1935,257,189,241,949,894
1936,221,175,217,887,836
1937,222,168,215,882,836
1938,246,186,247,938,891
1939,234,182,233,895,819
1940,218,166,207,859,813
1941,233,188,222,898,852
1942,256,177,233,942,872
1943,213,168,222,908,865
1944,250,173,227,891,808
1945,251,172,230,882,830
1946,249,187,232,931,885
1947,229,178,238,861,827
1948,224,172,236,939,905
1949,266,173,236,826,786
1950,233,188,242,858,822
1951,222,174,230,852,810
1952,174,170,236,972,921
1953,281,175,233,890,820
1954,249,188,217,931,833
1955,254,202,253,1002,923
1956,247,180,235,952,910
1957,210,165,211,859,819
1958,220,160,207,824,801
1959,228,186,244,882,830
1960,248,169,212,945,893
1961,257,180,234,860,801
1962,244,175,242,863,824
1963,242,177,227,882,799
1964,237,181,257,857,823
1965,286,184,238,755,715
1966,261,181,255,835,792
1967,284,194,244,966,904
1968,254,172,210,849,795
1969,219,186,260,932,882
1970,218,177,257,824,780
1971,214,178,223,888,854
1972,227,187,226,961,908
1973,226,177,213,896,835
1974,223,168,212,925,865
1975,215,178,223,872,805
1976,249,174,243,859,794
1977,269,171,217,879,823
1978,251,171,234,927,860
1979,217,183,244,840,810
1980,261,190,239,945,885
1981,206,165,213,778,740
1982,219,166,214,890,824
1983,279,192,261,857,808
1984,274,183,241,856,812
1985,255,186,230,944,871
1986,286,193,228,900,851
1987,226,172,229,920,869
1988,216,171,223,862,852
1989,277,175,220,874,808
1990,237,185,229,867,829
1991,249,174,216,859,810
1992,183,170,217,827,764
1993,269,168,249,819,752
1994,283,182,225,894,830
1995,252,191,226,970,888
1996,254,198,242,917,880
1997,271,181,255,860,791
1998,239,180,224,819,802
1999,246,168,202,839,811
2000,225,174,222,883,832
2001,257,175,235,898,861
2002,207,170,214,813,810
2003,232,161,206,823,767
2004,248,169,220,842,839
2005,221,184,240,872,827
2006,257,190,270,893,831
2007,232,179,248,937,866
2008,229,190,273,906,853
2009,208,184,254,883,871
2010,239,188,238,916,862
2011,250,186,235,921,871
2012,241,187,257,974,881
2013,225,185,231,964,931
2014,198,188,240,975,886
2015,283,183,253,812,766
2016,230,175,211,915,865
2017,216,175,254,937,860
2018,309,189,270,835,811
2019,266,174,220,772,729
2020,269,191,256,884,849
2021,235,157,239,889,838
2022,223,173,223,855,824
2023,243,177,217,844,805
2024,262,167,212,931,865
2025,244,196,260,971,913
2026,166,180,228,1013,957
2027,223,174,212,966,906
2028,221,181,245,907,865
2029,207,169,208,899,845
2030,238,182,247,886,826
2031,244,177,223,861,795
2032,209,162,225,815,754
2033,255,177,237,1002,951
2034,197,172,228,926,857
2035,228,175,222,863,831
2036,262,179,233,924,835
2037,254,184,236,818,795
2038,223,174,211,912,870
2039,232,182,233,895,829
2040,180,169,212,950,890
2041,246,183,238,897,863
2042,278,177,238,821,761
2043,257,178,247,836,812
2044,262,193,253,976,902
2045,225,165,217,853,800
2046,212,171,213,909,865
2047,229,186,243,931,893
2048,265,199,273,877,835
2049,256,186,246,848,803
2050,241,169,235,838,807
2051,233,180,220,965,918
2052,201,172,218,810,773
2053,212,170,234,831,791
2054,217,179,203,940,873
2055,248,165,222,824,817
2056,281,180,222,835,807
2057,234,183,258,841,841
2058,226,169,216,824,786
2059,249,185,242,865,801
2060,233,175,217,983,925
2061,228,184,239,844,802
2062,294,181,227,935,889
2063,253,190,238,872,811
2064,261,178,226,876,807
2065,248,170,226,944,890
2066,236,169,221,792,758
2067,226,180,240,973,946
2068,212,166,235,889,860
2069,259,169,233,902,855
2070,209,169,219,860,830
2071,283,165,220,796,759
2072,249,170,216,750,715
2073,250,182,245,865,819
2074,269,174,236,825,786
2075,234,182,236,843,847
2076,204,174,247,908,879
2077,275,188,225,862,814
2078,248,185,244,848,825
2079,230,190,245,881,841
2080,267,179,220,856,821
2081,245,185,233,869,816
2082,266,191,253,948,876
2083,231,185,225,890,842
2084,250,171,234,885,881
2085,271,187,237,910,807
2086,277,188,232,902,852
2087,250,180,220,851,805
2088,229,177,217,863,800
2089,248,188,247,855,800
2090,239,180,235,845,802
2091,269,181,225,928,879
2092,231,184,233,861,838
2093,252,193,260,898,843
2094,291,189,244,825,789
2095,195,174,224,845,800
2096,229,185,227,928,882
2097,297,200,262,815,759
2098,284,183,277,920,824
2099,254,186,250,902,892
2100,229,165,223,881,835
2101,225,179,227,806,729
2102,293,196,251,838,815
2103,257,185,243,913,840
2104,312,182,267,883,830
2105,228,187,244,925,887
2106,283,183,238,958,917
2107,251,170,220,814,785
2108,192,171,228,881,861
2109,244,167,215,882,827
2110,281,177,248,820,803
2111,207,184,224,903,852
2112,250,176,230,851,821
2113,268,183,237,874,853
2114,240,177,223,809,769
2115,231,174,215,874,827
2116,263,193,259,874,834
2117,273,160,222,790,759
2118,237,180,226,800,780
2119,227,190,240,911,860
2120,275,184,241,929,874
2121,263,187,237,891,832
2122,278,182,238,936,872
2123,231,181,234,841,823
2124,252,192,233,874,828
2125,201,186,237,862,842
2126,253,196,248,838,810
2127,242,163,207,775,756
2128,225,176,234,851,810
2129,202,169,227,822,814
2130,210,177,225,979,935
2131,189,180,235,860,864
2132,195,168,234,827,802
2133,244,180,233,882,835
2134,298,176,235,860,836
2135,247,162,212,825,791
2136,230,183,250,859,823
2137,246,192,241,884,843
2138,323,188,254,964,890
2139,265,182,255,911,892
2140,233,156,204,793,784
2141,247,178,242,912,873
2142,240,182,238,922,900
2143,231,193,228,847,825
2144,275,177,232,899,883
2145,206,182,249,880,862
2146,229,180,237,895,875
2147,176,171,223,957,920
2148,232,180,243,914,872
2149,227,178,231,899,877
2150,220,184,246,900,864
2151,229,194,250,975,927
2152,228,171,217,792,765
2153,177,180,220,925,885
2154,223,165,211,916,855
2155,203,185,247,943,923
2156,192,167,219,937,876
2157,207,174,228,900,856
2158,164,168,212,982,939
2159,223,175,224,859,830
2160,260,173,223,882,809
2161,184,183,238,909,872
2162,200,177,223,875,846
2163,198,178,227,941,892
2164,165,180,230,913,850
2165,224,178,222,799,797
2166,257,167,224,799,770
2167,224,171,225,849,816
2168,264,177,222,908,860
2169,213,174,228,899,828
2170,251,175,240,882,832
2171,255,174,235,904,846
2172,283,187,256,858,832
2173,257,178,236,924,893
2174,234,207,277,917,865
2175,248,185,234,849,800
2176,276,196,256,1027,942
2177,266,197,276,891,875
2178,277,176,227,901,850
2179,248,175,225,904,839
2180,200,165,218,801,759
2181,256,174,215,789,738
2182,212,175,222,886,812
2183,222,172,224,913,872
2184,245,172,217,873,856
2185,236,168,237,900,836
2186,228,171,223,916,880
2187,261,175,221,934,881
2188,253,182,240,903,901
2189,212,181,237,956,916
2190,255,166,212,816,791
2191,228,190,233,906,892
2192,243,164,200,887,871
2193,233,182,245,836,835
2194,237,175,228,945,900
2195,228,180,217,854,808
2196,183,177,238,866,821
2197,242,194,280,863,846
2198,218,181,233,867,845
2199,212,185,233,933,893
2200,194,185,239,913,880
2201,261,173,218,900,857
2202,231,163,225,780,772
2203,241,176,214,857,846
2204,281,179,244,884,809
2205,245,181,236,892,869
2206,250,175,237,881,828
2207,219,175,227,872,844
2208,250,170,231,901,894
2209,247,168,215,890,869
2210,240,194,247,886,870
2211,271,185,244,916,857
2212,250,174,231,851,812
2213,183,187,251,933,874
2214,255,180,234,859,815
2215,248,160,227,787,789
2216,193,174,208,861,843
2217,263,174,227,852,822
2218,242,180,250,864,883
