,acromialheight,axillaheight,bideltoidbreadth,buttockcircumference,buttockkneelength,buttockpopliteallength,cervicaleheight,chestcircumference,chestheight,earprotrusion,footbreadthhorizontal,forearmcircumferenceflexed,handlength,headbreadth,heelbreadth,hipbreadth,iliocristaleheight,interscyeii,lateralfemoralepicondyleheight,lateralmalleolusheight,neckcircumferencebase,radialestylionlength,shouldercircumference,shoulderelbowlength,sleeveoutseam,thighcircumference,thighclearance,verticaltrunkcircumferenceusa,waistcircumference,waistdepth,wristheight,BMI
167,1355,1256,489,977,610,504,1435,1021,1255,26,97,288,179,157,65,326,991,447,447,67,412,242,1168,339,555,609,177,1610,908,215,793,26.689337555473376
168,1480,1349,549,1086,610,480,1561,1241,1336,21,103,335,207,155,67,368,1081,474,508,73,463,274,1212,368,624,659,186,1782,1053,247,873,31.728055042662906
169,1378,1272,487,980,595,477,1473,1027,1261,24,98,301,185,154,69,326,1031,401,479,76,453,261,1128,358,582,592,183,1603,912,222,790,26.728356309285264
170,1609,1498,560,1121,691,557,1698,1167,1458,28,110,320,222,158,75,384,1175,471,559,87,455,311,1291,406,675,670,202,1805,1049,265,931,28.257271995866066
171,1388,1279,533,1003,604,483,1484,1082,1267,27,99,320,185,150,72,333,1006,457,471,70,448,250,1190,353,581,631,184,1671,917,230,807,28.06642386982525
172,1461,1337,518,1083,634,508,1531,1139,1278,24,106,331,194,150,77,363,1058,452,498,72,448,263,1184,363,593,631,186,1721,1066,290,874,30.63160851533297
173,1406,1304,471,943,589,470,1497,947,1268,23,102,287,177,149,66,323,1022,415,480,70,407,261,1080,344,570,567,162,1589,848,199,834,23.78728581349153
174,1392,1284,481,916,588,470,1458,948,1251,19,103,306,195,155,68,309,1001,395,476,73,410,264,1097,342,565,563,166,1584,759,200,832,24.25159742348277
175,1517,1390,514,1025,637,522,1601,1058,1363,21,104,301,196,151,65,345,1122,421,514,76,429,282,1151,383,620,600,187,1706,959,251,887,25.19060198138441
176,1385,1275,524,990,586,460,1463,1102,1260,23,102,316,185,150,69,322,1018,487,477,77,443,249,1203,336,561,623,188,1686,970,242,832,29.720632922352532
177,1500,1385,541,1068,653,526,1577,1179,1357,29,101,295,198,150,68,353,1117,478,520,79,465,268,1225,378,595,648,191,1728,1068,292,890,29.702235093190765
178,1448,1331,486,1036,611,490,1549,1028,1302,23,108,292,197,139,71,364,1079,419,499,75,440,279,1134,356,586,601,170,1688,972,251,826,26.148955521008396
179,1419,1314,484,1041,614,498,1506,1048,1288,25,100,293,196,148,65,350,1042,405,478,72,441,258,1109,341,556,640,192,1763,993,261,843,28.0036025537157
180,1428,1317,487,966,594,488,1509,969,1267,23,98,286,187,153,60,337,1057,420,500,78,403,265,1134,360,594,571,173,1621,898,228,827,23.662217427959515
181,1333,1225,512,1053,568,452,1412,1125,1210,21,98,316,182,153,67,359,932,450,455,63,426,242,1186,324,525,678,183,1704,964,246,804,32.87107165930308
182,1425,1302,476,973,632,534,1498,1049,1269,25,104,276,193,151,72,335,1057,409,492,72,407,271,1107,378,615,602,157,1618,881,211,796,25.402264199697466
183,1524,1428,488,945,644,522,1615,957,1379,26,100,287,207,153,68,343,1138,455,535,73,417,282,1122,374,613,550,161,1671,821,207,901,21.15851543531044
184,1388,1296,475,950,578,455,1464,913,1267,20,99,294,185,151,68,330,1029,412,477,77,408,257,1085,338,555,576,173,1581,801,200,828,23.83360674548869
185,1444,1328,470,954,612,494,1521,995,1287,24,107,294,196,145,68,338,1056,430,485,75,441,260,1126,355,587,592,178,1695,845,227,844,25.364028883247403
186,1590,1445,575,1184,675,543,1665,1237,1412,33,108,347,204,152,74,406,1143,446,550,75,451,285,1252,402,642,732,201,1878,1134,271,953,31.707497788102394
187,1508,1406,516,935,653,544,1594,1018,1379,24,99,311,198,150,61,308,1148,414,551,75,418,283,1173,386,613,602,170,1597,877,217,891,23.42140740087161
188,1522,1435,532,1024,649,524,1610,1059,1372,20,105,326,203,156,72,338,1142,454,543,76,446,296,1270,383,635,661,196,1710,951,222,863,26.387486286789546
189,1375,1284,443,915,573,464,1467,907,1267,28,98,290,186,150,67,317,1011,407,479,72,424,258,1083,352,577,548,165,1572,867,223,786,22.937302898434844
190,1312,1213,519,1074,564,427,1404,1063,1183,20,92,316,185,152,66,376,953,450,447,77,440,245,1178,330,530,671,191,1643,1029,275,777,31.86178668868027
191,1515,1403,505,1022,632,504,1568,1017,1352,20,102,306,204,145,63,368,1103,432,523,76,439,282,1171,376,612,631,185,1703,879,204,866,25.357980576144037
192,1483,1352,539,1083,624,493,1570,1130,1354,24,102,341,195,156,76,367,1060,430,496,71,474,272,1254,351,583,676,195,1804,1015,263,900,32.45716784974561
193,1435,1326,550,1143,637,513,1522,1156,1288,23,105,337,206,163,78,377,1050,470,493,75,452,273,1256,353,592,744,212,1770,1034,263,845,33.004564461042484
194,1382,1281,480,988,582,466,1456,978,1266,28,96,280,183,157,70,324,1005,445,464,74,408,255,1107,348,563,613,178,1616,844,198,780,25.027582121538078
195,1470,1368,501,943,603,493,1557,963,1307,26,101,297,189,151,70,332,1085,472,488,65,424,268,1151,373,605,563,171,1628,797,189,857,21.94444444444445
196,1391,1302,444,948,605,504,1480,965,1267,26,96,260,194,161,65,320,1040,425,485,76,418,263,1081,368,596,551,155,1642,892,215,809,23.0516196482758
197,1493,1387,501,997,637,515,1593,956,1366,22,96,301,189,144,65,343,1088,430,501,74,450,267,1153,365,602,587,175,1728,865,214,881,23.047695171537327
198,1386,1279,510,1009,583,454,1475,1080,1271,27,104,322,188,165,68,331,1003,472,477,69,445,264,1158,345,566,632,191,1749,1031,278,824,31.086488150200065
199,1476,1363,518,998,629,505,1542,1078,1310,21,98,330,201,156,71,327,1080,467,504,78,454,276,1215,370,608,615,182,1711,912,235,871,27.33477187993918
200,1590,1472,529,1119,664,538,1677,1158,1421,26,107,320,200,150,67,384,1162,442,535,86,461,286,1243,391,644,691,198,1827,1086,259,948,29.00466718746869
201,1410,1309,508,962,604,494,1505,1013,1268,28,96,299,195,142,66,333,1027,430,484,83,435,280,1105,348,591,578,161,1672,914,236,819,25.09398658034512
202,1436,1326,504,994,621,500,1530,1037,1309,26,104,327,190,153,70,333,1083,480,514,80,415,279,1189,380,624,622,171,1642,923,223,821,26.58878355517252
203,1415,1324,512,1032,632,511,1503,1039,1287,23,101,313,193,152,65,339,1052,471,500,67,424,282,1193,358,608,658,186,1654,918,223,816,29.407787993510013
204,1362,1256,487,1005,567,459,1445,985,1235,26,100,289,175,163,67,345,1010,439,451,65,440,244,1082,335,550,592,166,1651,831,217,821,26.009948805418077
205,1406,1299,592,1153,599,465,1490,1285,1274,21,104,351,183,160,68,399,971,510,470,78,491,242,1293,325,525,701,207,1793,1182,321,880,37.70537786126529
206,1497,1384,488,1058,641,514,1583,1082,1336,24,100,307,195,150,72,348,1081,420,517,74,438,274,1155,364,605,655,192,1768,1054,276,889,28.46656488991121
207,1582,1441,562,1138,660,530,1661,1157,1402,26,107,332,195,148,77,378,1124,429,525,78,501,290,1243,389,635,706,207,1911,1118,303,912,31.178534958624912
208,1434,1336,511,1066,618,494,1516,1049,1314,28,96,311,193,156,73,353,1046,467,489,83,446,261,1187,350,573,674,192,1694,963,242,866,29.41428282335605
209,1400,1295,514,1039,603,485,1491,1063,1266,22,100,302,184,155,63,342,1034,469,475,73,437,254,1205,363,572,641,191,1653,877,224,806,28.104211479208363
210,1389,1289,529,1016,621,512,1489,1061,1270,22,100,327,208,156,68,343,1052,455,487,67,451,296,1230,373,625,647,190,1601,912,243,761,27.458178307636327
211,1393,1288,547,1002,584,464,1479,1120,1275,24,99,324,187,154,65,333,1008,445,477,67,431,259,1242,347,575,618,185,1698,973,260,831,29.5110872033949
212,1414,1310,471,948,579,473,1488,913,1265,25,91,266,190,151,66,327,1015,398,474,67,418,265,1029,338,560,569,170,1641,818,220,849,23.13362995486229
213,1384,1295,469,914,597,481,1483,941,1267,24,106,292,197,144,68,300,1037,410,486,62,434,261,1103,355,567,570,178,1548,783,198,818,23.038945304188616
214,1414,1303,549,1053,620,492,1512,1151,1270,25,100,315,200,177,68,361,1038,495,500,68,482,271,1260,368,605,635,182,1665,1015,250,815,31.02874205154703
215,1267,1178,430,770,539,445,1351,810,1133,18,90,246,172,136,60,264,957,384,437,67,364,243,995,324,533,470,144,1361,694,175,721,19.30369062944285
216,1537,1402,553,1138,657,518,1618,1163,1364,22,104,338,196,163,73,376,1101,449,510,76,499,265,1217,371,600,708,208,1863,1121,303,927,32.28112117518892
217,1409,1304,495,949,628,506,1495,972,1271,20,100,294,188,145,64,318,1052,445,483,75,438,261,1151,358,584,585,174,1600,870,223,823,24.133926407746173
218,1551,1441,533,1121,665,534,1618,1091,1391,23,110,330,203,160,80,379,1135,468,539,84,473,302,1218,401,651,707,214,1812,1015,254,905,31.092769517779413
219,1333,1238,433,842,563,445,1421,846,1196,23,94,260,165,148,57,290,977,397,453,68,405,239,1012,340,550,497,166,1475,738,181,797,19.738891025238004
220,1347,1233,513,1083,600,475,1402,1092,1226,24,99,303,183,148,63,363,971,421,459,69,419,246,1153,322,533,664,192,1639,1032,287,792,31.86841850920733
221,1421,1305,552,1045,589,470,1507,1071,1264,25,100,308,190,161,70,363,1050,475,496,69,440,264,1231,366,600,630,176,1655,979,228,818,28.83491070116174
222,1504,1390,548,1067,673,545,1585,1172,1347,18,107,383,205,144,77,356,1142,482,546,70,453,302,1261,393,629,709,203,1696,1017,261,864,32.583209637815266
223,1438,1332,502,951,648,538,1499,1035,1302,27,101,312,200,144,68,317,1083,454,504,59,419,285,1163,365,607,603,177,1582,883,226,826,26.186468845716345
224,1509,1387,563,1141,656,532,1595,1203,1323,26,115,326,217,160,78,389,1108,525,531,72,505,289,1288,384,635,710,200,1769,1068,268,866,33.27034431467189
225,1423,1300,546,1189,631,472,1498,1212,1262,19,100,348,182,154,71,402,1009,451,463,73,441,261,1183,349,571,764,220,1855,1179,308,846,38.15912421159931
226,1369,1268,505,1078,607,482,1454,1047,1247,26,100,288,181,155,70,363,1015,409,468,70,447,255,1174,333,530,697,204,1773,993,242,821,30.35698198316625
227,1450,1333,466,997,596,478,1527,977,1266,27,100,271,185,145,63,343,1041,413,491,78,415,261,1065,365,583,636,178,1728,880,215,830,24.97027348394768
228,1447,1333,484,1039,607,485,1548,1014,1326,25,105,308,195,158,69,358,1074,410,511,90,424,279,1104,372,610,616,176,1693,977,257,831,26.263382043404487
229,1463,1342,502,985,620,503,1533,1041,1292,25,99,305,201,149,65,347,1075,444,488,67,429,270,1133,361,597,598,176,1655,925,231,856,25.513281988377003
230,1363,1256,522,1041,587,462,1422,1082,1222,23,94,320,179,157,64,361,969,457,458,76,444,241,1167,338,540,644,185,1638,1010,260,823,31.150821957753585
231,1429,1308,533,1058,599,477,1498,1166,1276,26,103,333,187,156,71,351,1041,475,485,79,466,264,1197,349,580,661,194,1742,1004,246,854,31.080724005813174
232,1372,1252,480,904,583,466,1432,967,1226,23,103,283,193,151,64,316,1000,420,451,72,446,253,1083,355,579,519,157,1543,744,186,794,23.258367233727807
233,1498,1378,505,1123,660,519,1569,1171,1342,23,108,369,201,158,80,369,1072,474,521,80,483,290,1235,391,647,738,211,1781,1045,266,842,34.499428334650595
234,1436,1344,528,1044,634,516,1519,1078,1303,23,90,333,187,154,68,345,1082,444,510,68,461,289,1206,366,598,677,190,1668,936,240,830,29.78629075294948
235,1301,1202,473,927,574,454,1382,963,1180,22,102,328,186,138,71,302,963,407,440,63,428,252,1139,330,540,626,183,1547,755,199,755,27.872400306674038
236,1524,1412,545,1024,645,514,1582,1101,1395,21,103,322,199,159,74,346,1144,440,531,77,468,297,1215,397,656,626,193,1697,997,241,859,28.99459524022813
237,1503,1390,501,968,636,514,1569,1053,1349,26,100,320,194,156,68,337,1122,412,520,77,443,285,1171,379,626,585,164,1672,913,229,874,24.816092304874697
238,1425,1319,489,978,602,485,1487,1027,1278,22,98,268,178,153,59,337,1018,399,466,75,413,252,1118,349,566,590,171,1662,921,235,850,25.197230907757767
239,1503,1393,496,1005,639,526,1592,972,1364,28,100,295,195,155,66,352,1116,425,515,78,429,272,1122,378,607,612,175,1685,899,215,890,23.413459066839994
240,1471,1372,473,905,615,510,1523,915,1324,22,102,290,204,151,73,321,1108,420,522,68,419,288,1112,391,636,524,154,1549,734,189,832,20.567347748462605
241,1473,1348,552,1142,649,510,1555,1142,1299,21,106,330,187,157,70,383,1066,470,497,75,477,270,1253,380,601,725,199,1767,1124,292,847,33.48825660880968
242,1356,1265,508,1024,622,494,1426,1081,1218,20,106,328,200,160,67,343,999,441,472,78,415,285,1170,341,571,698,194,1635,976,274,783,31.56492696005917
243,1455,1336,543,1115,629,501,1527,1108,1299,24,104,309,187,160,68,388,1039,435,483,68,445,268,1176,373,590,717,209,1757,1084,286,863,31.992139446633725
244,1522,1398,521,1037,639,517,1577,1069,1357,22,95,296,204,151,68,350,1090,458,508,78,441,282,1143,382,630,619,174,1756,1026,275,878,27.137940968748524
245,1505,1395,557,1138,654,517,1609,1140,1357,25,106,330,197,157,79,396,1103,500,536,87,461,276,1265,378,610,723,200,1777,1078,282,890,32.24661929647192
246,1315,1209,487,1033,563,448,1411,1018,1198,22,92,282,183,153,66,345,967,405,450,72,420,240,1107,326,527,647,178,1605,972,260,772,29.24104582581241
247,1321,1225,511,1003,580,467,1426,1096,1199,23,100,326,193,153,65,337,972,455,464,69,465,255,1214,345,532,608,179,1587,903,217,752,29.78138013087448
248,1400,1297,513,1022,604,485,1487,1127,1269,28,110,314,204,162,69,333,1016,455,464,68,433,263,1209,345,580,621,186,1720,928,237,824,29.270083161865568
249,1304,1199,447,877,554,450,1360,907,1173,26,98,262,176,162,61,303,945,390,444,61,376,240,1025,340,547,537,165,1465,779,182,760,22.022025126820502
250,1540,1390,567,1139,626,496,1603,1241,1361,25,113,325,197,160,70,390,1064,477,506,87,458,269,1298,377,603,699,194,1942,1149,303,920,33.898099540874206
251,1422,1319,522,1021,607,488,1525,1092,1292,27,104,296,194,160,69,370,1066,444,511,80,443,271,1204,380,605,572,176,1647,992,267,817,27.828646479772964
252,1435,1326,563,1041,630,505,1528,1178,1305,27,105,341,200,155,75,360,1070,495,499,69,471,277,1283,356,585,637,187,1663,989,257,840,31.529171309364227
253,1416,1305,489,973,609,502,1493,1031,1285,23,95,295,184,153,60,339,1047,450,487,83,408,263,1118,360,590,597,179,1619,933,235,833,25.70040193581102
254,1348,1238,439,854,546,437,1424,872,1206,24,92,255,180,151,58,316,989,392,460,67,419,247,1026,339,548,501,153,1497,744,175,794,20.25022135021629
255,1340,1241,479,820,575,475,1437,884,1216,20,93,268,184,149,61,288,989,422,454,64,384,263,1081,355,582,493,156,1480,714,171,742,19.342429960807085
256,1379,1271,519,1088,595,472,1438,1121,1223,20,106,305,183,158,64,370,968,455,443,70,449,241,1128,326,510,717,208,1761,1147,319,850,33.13582063896375
257,1435,1324,489,976,632,510,1517,1063,1293,27,104,328,202,150,66,341,1049,410,493,68,458,274,1110,359,585,641,187,1712,976,264,846,28.768613641837398
258,1454,1318,583,1061,601,471,1523,1242,1295,23,117,347,200,177,70,359,1018,511,495,83,529,280,1283,366,610,637,207,1806,1077,296,848,35.78775510204081
259,1377,1267,496,942,584,469,1463,949,1240,25,99,284,190,157,66,316,1013,416,481,75,404,262,1108,347,570,585,166,1584,835,206,807,23.36350889489566
260,1423,1316,487,918,619,506,1516,953,1307,22,100,305,201,154,70,307,1031,416,482,67,415,267,1133,356,584,592,174,1644,797,198,834,23.66073017408761
261,1507,1386,537,1051,637,517,1585,1106,1334,23,104,307,199,161,71,359,1085,463,512,80,432,283,1223,376,611,619,181,1711,969,248,887,27.714542631380855
262,1464,1339,533,1033,620,506,1538,1094,1325,27,104,315,205,160,68,354,1084,455,517,74,449,270,1239,382,620,640,182,1678,918,222,846,27.336424765984827
263,1346,1252,479,897,582,470,1441,954,1217,23,97,306,188,152,74,298,1010,396,475,70,424,263,1109,346,575,597,174,1527,776,198,784,25.256200919743648
264,1469,1344,576,1068,632,509,1547,1242,1329,25,106,313,192,158,74,350,1057,506,514,77,460,275,1298,368,608,703,198,1797,1124,319,864,35.151756279475066
265,1506,1383,562,1152,696,576,1590,1166,1349,24,90,301,194,152,74,384,1095,484,514,72,447,283,1259,387,626,757,204,1829,1146,286,858,33.382565431675985
266,1320,1218,463,898,563,453,1410,904,1182,17,100,285,184,144,63,307,996,435,462,75,417,258,1110,356,580,526,157,1505,797,200,726,22.86792498889811
267,1530,1403,499,1115,650,524,1590,1071,1368,21,103,317,210,147,67,387,1103,428,513,74,431,290,1128,392,636,684,190,1764,1032,253,883,28.56661102499312
268,1553,1435,560,1067,669,535,1639,1182,1401,22,110,337,204,163,70,362,1137,495,533,82,467,304,1275,402,660,646,195,1780,1005,261,877,29.78948668531477
269,1453,1359,527,1079,636,514,1555,1052,1308,21,101,316,189,163,62,368,1087,461,501,79,450,275,1192,371,605,667,181,1712,921,222,841,27.93239792865681
270,1592,1476,555,1124,671,543,1660,1162,1437,25,113,362,220,158,74,386,1156,475,553,75,452,306,1261,401,671,684,199,1863,1132,296,910,31.71745152354571
271,1437,1316,527,1074,629,513,1502,1069,1285,22,98,313,190,153,69,358,1048,428,477,69,431,260,1162,355,575,678,188,1751,988,251,859,28.89586935170981
272,1419,1310,473,951,593,477,1480,957,1277,26,101,282,194,150,58,313,1021,397,473,66,396,255,1074,351,565,566,172,1643,797,209,848,22.98773764576164
273,1349,1237,501,943,560,445,1410,1020,1217,28,93,308,195,147,66,323,972,402,470,67,438,272,1141,345,575,579,175,1583,897,232,777,26.92069693513553
274,1442,1321,558,1119,643,518,1532,1198,1304,27,97,311,187,150,68,391,1048,493,482,68,455,272,1232,376,601,682,194,1770,1145,315,831,33.149081582130016
275,1384,1276,498,974,604,486,1463,1079,1243,27,100,305,190,149,66,341,1009,441,485,76,420,259,1097,358,586,581,171,1598,1003,264,799,27.03253455182023
276,1456,1340,563,1182,652,517,1531,1172,1325,25,102,328,195,150,74,403,1063,435,508,83,444,269,1233,370,605,739,217,1823,1175,312,861,35.591842414138306
277,1426,1298,487,1009,594,483,1488,1008,1260,23,103,304,200,152,65,340,1026,435,486,72,435,269,1128,360,602,613,170,1613,987,246,823,27.68388318009736
278,1408,1288,517,1019,614,491,1478,1168,1268,26,89,290,180,161,64,346,1010,431,465,65,457,261,1184,350,587,622,182,1691,1043,271,816,29.752134997494466
279,1584,1473,485,976,686,557,1652,1027,1454,25,102,322,225,142,74,326,1160,430,551,77,460,312,1181,401,665,596,181,1728,842,213,908,23.40218170811151
280,1450,1348,500,939,597,480,1528,1068,1326,32,108,296,199,159,67,327,1071,432,496,74,422,262,1129,360,592,583,172,1643,915,243,878,24.350730961813024
281,1520,1389,553,1179,651,524,1591,1139,1346,25,105,319,187,156,71,389,1088,492,510,77,466,258,1253,374,601,767,211,1884,1076,273,895,32.608453548545164
282,1490,1376,524,1116,629,505,1575,1076,1339,25,104,292,198,153,70,384,1075,426,529,77,450,281,1200,375,619,699,205,1770,968,244,852,29.0371491958816
283,1329,1219,494,912,570,463,1398,1045,1195,22,104,280,181,150,66,315,979,444,458,71,421,246,1132,345,562,568,158,1551,822,206,762,25.05948839976205
284,1406,1272,542,1063,615,493,1475,1231,1257,26,103,320,196,166,77,358,1003,486,486,75,491,266,1228,366,594,663,196,1728,1108,284,789,35.33525094227335
285,1408,1315,480,841,607,498,1502,913,1272,27,94,277,193,154,65,301,1080,432,502,61,407,291,1095,364,612,483,151,1477,719,172,805,20.08085803067259
286,1340,1235,476,945,570,455,1430,960,1213,25,93,273,190,154,60,332,971,441,442,70,420,249,1112,357,552,569,179,1567,869,216,773,24.650516931550328
287,1350,1251,528,1032,584,462,1442,1043,1229,23,101,349,195,153,69,339,986,455,468,63,442,258,1220,333,552,695,198,1629,931,245,800,31.162120663181692
288,1334,1214,519,1022,571,455,1412,1089,1198,23,96,309,180,157,62,340,922,466,449,72,464,244,1175,342,560,632,178,1631,939,242,773,30.899007752807933
289,1537,1425,531,1025,650,518,1616,1019,1396,23,102,318,209,155,70,342,1140,425,528,68,424,276,1191,391,625,623,185,1750,884,219,907,24.889405284696394
290,1348,1246,519,944,574,459,1430,1097,1195,23,89,319,186,164,65,322,975,452,466,71,443,262,1167,339,575,612,176,1627,912,237,775,29.54418114577444
291,1454,1333,494,880,616,503,1535,963,1323,24,91,290,185,159,61,308,1060,457,489,69,438,266,1132,367,596,526,155,1631,812,205,847,21.791064049586762
292,1426,1307,533,1019,599,478,1504,1074,1287,22,102,300,184,147,70,346,1043,497,487,81,446,261,1208,360,590,630,179,1683,957,245,842,28.017555930860485
293,1516,1405,541,1084,654,527,1635,1069,1388,30,103,309,204,150,74,375,1100,494,519,70,446,281,1265,392,630,661,179,1776,1008,247,878,26.820384391773285
294,1424,1303,510,1065,618,489,1499,1168,1260,24,112,322,200,155,78,360,1013,493,496,75,460,268,1172,355,599,654,189,1667,1121,304,833,32.44753785072192
295,1477,1350,522,1045,643,520,1557,1087,1333,21,102,314,193,151,70,353,1071,468,480,74,416,270,1208,360,585,619,191,1759,946,239,891,27.93296089385475
296,1400,1278,526,1082,595,466,1510,1173,1232,24,107,320,190,167,73,352,997,493,461,77,482,248,1207,352,575,642,192,1753,1029,279,831,33.36590011576259
297,1368,1253,498,1023,579,450,1453,1002,1221,22,92,295,186,152,67,335,994,423,464,62,438,244,1123,362,575,636,189,1614,913,232,800,26.952749838301287
298,1415,1319,494,934,615,504,1507,1022,1283,21,98,283,197,153,65,316,1057,445,491,63,419,272,1154,365,600,564,164,1548,828,199,809,24.02856542743121
299,1450,1332,507,1031,643,524,1530,1076,1296,26,105,302,201,156,63,370,1063,460,483,77,443,268,1155,359,582,638,178,1718,972,239,875,28.931397242484387
300,1296,1197,414,802,556,462,1378,820,1183,27,91,244,187,152,58,284,960,371,443,65,373,241,968,341,542,452,139,1402,694,171,762,17.707650167817594
301,1362,1247,500,991,583,465,1450,1030,1218,25,92,302,178,156,68,341,985,441,459,71,448,251,1141,352,563,594,173,1618,872,223,789,26.0059683009262
302,1516,1388,524,1104,632,503,1605,1131,1354,23,102,325,200,163,74,377,1091,470,534,89,472,289,1211,377,630,684,197,1764,1010,243,884,29.614073560168208
303,1516,1378,563,1234,646,498,1570,1183,1342,25,101,334,193,153,70,419,1064,462,508,86,480,272,1242,374,609,769,205,1849,1141,285,919,34.35575413597391
304,1461,1349,511,1022,612,485,1544,999,1305,22,100,309,195,158,69,335,1079,440,503,72,448,261,1142,358,585,641,192,1722,908,225,872,26.63136109082055
305,1458,1355,572,1135,693,548,1553,1115,1338,26,105,348,200,157,75,376,1072,468,498,74,450,286,1299,375,624,755,214,1796,1091,305,838,34.729139213032724
306,1648,1522,509,1015,691,563,1718,1072,1477,23,106,294,221,156,61,359,1243,447,579,77,450,308,1209,416,687,575,165,1756,948,240,963,23.242031487541556
307,1492,1373,524,1039,646,523,1575,1063,1317,22,100,311,207,157,71,353,1092,461,513,72,458,291,1210,378,622,652,195,1734,944,237,864,28.080019546611013
308,1472,1357,521,1064,615,499,1549,1099,1309,30,95,287,194,150,69,385,1076,460,510,75,408,278,1162,366,615,648,181,1704,1012,235,862,27.08214455315091
309,1427,1308,505,1039,615,488,1499,1043,1259,19,102,317,197,148,70,346,1026,448,477,71,450,268,1148,357,572,642,186,1631,893,220,852,28.560874519052852
310,1537,1424,540,1070,644,523,1627,1113,1373,20,104,312,210,156,64,371,1110,473,511,83,450,288,1227,383,618,617,181,1782,992,256,901,27.14186611168921
311,1433,1313,529,1054,630,510,1510,1121,1272,28,113,295,190,171,68,350,1041,479,490,76,434,270,1214,361,571,647,183,1707,939,237,840,29.63159339147904
312,1302,1200,496,1003,574,462,1397,1015,1192,23,90,275,175,148,67,341,973,436,452,69,412,251,1103,337,570,652,189,1574,912,222,754,27.45152757892693
313,1412,1297,499,1036,614,488,1500,1011,1257,28,97,322,183,150,66,347,1017,435,473,70,432,263,1130,367,600,677,194,1685,942,238,827,29.84442163632989
314,1348,1243,518,947,562,445,1436,1058,1207,28,100,315,177,158,67,335,965,449,440,67,433,251,1163,334,549,584,172,1649,848,221,806,26.871014846503343
315,1437,1355,502,1022,631,505,1523,1034,1315,24,113,337,206,160,80,334,1086,433,512,71,428,284,1153,370,606,668,188,1613,877,233,827,28.17655289958758
316,1444,1331,545,1095,658,536,1538,1138,1292,22,101,313,197,153,78,361,1069,465,501,68,469,290,1230,379,625,704,205,1696,1086,307,821,32.073268436238344
317,1486,1376,450,934,626,512,1562,937,1323,27,96,286,204,160,63,326,1100,393,517,73,437,282,1061,375,622,564,170,1583,902,225,865,22.835920534679754
318,1466,1364,471,929,625,515,1537,953,1319,22,95,284,197,154,60,318,1069,433,504,67,412,269,1104,380,601,547,156,1589,826,197,838,21.58301924221385
319,1401,1287,482,867,572,465,1470,976,1272,30,103,285,197,150,69,292,1024,398,479,67,377,263,1080,361,585,522,141,1543,815,210,807,22.620201142704396
320,1435,1323,478,942,621,508,1519,1008,1278,26,100,280,178,154,65,315,1074,443,496,65,410,264,1118,375,585,574,165,1604,919,225,821,24.27665477606025
321,1418,1319,462,943,628,525,1516,893,1287,19,89,297,199,148,70,324,1075,431,517,65,422,284,1081,368,617,548,161,1502,766,196,803,21.14348116177728
322,1379,1264,476,994,590,480,1452,1024,1243,24,97,290,174,154,68,349,995,411,469,65,448,243,1094,346,553,603,160,1583,978,257,799,27.367610968338237
323,1518,1410,512,993,653,532,1591,1029,1383,19,107,311,208,150,70,336,1127,410,539,79,415,290,1194,379,635,597,167,1702,892,226,908,25.127830533235933
324,1483,1363,508,994,675,559,1573,1066,1360,24,104,300,200,150,71,325,1136,471,539,75,429,292,1168,389,655,628,176,1543,904,202,835,24.91374117548513
325,1380,1274,503,1027,603,492,1485,1011,1257,26,101,308,184,150,68,354,1002,436,465,70,430,250,1142,337,550,645,181,1677,952,235,810,26.85640273740841
326,1386,1279,469,991,606,484,1477,988,1269,26,102,302,194,156,72,331,1029,440,489,68,413,275,1097,351,587,632,190,1673,911,227,810,26.220375300745662
327,1374,1271,556,1055,628,504,1442,1068,1260,23,102,323,197,161,76,330,1026,466,483,68,444,282,1276,358,600,689,192,1621,903,225,784,31.478217073784947
328,1532,1407,512,1044,657,536,1605,1065,1367,26,114,309,197,151,70,353,1128,472,520,77,428,288,1184,381,630,630,189,1759,904,228,892,26.442658875091304
329,1617,1500,445,1020,686,564,1681,962,1470,24,99,278,197,158,69,357,1203,441,560,80,435,297,1097,394,651,626,186,1777,908,222,956,22.58876654901032
330,1406,1294,522,1035,603,481,1466,1094,1273,24,99,303,189,153,66,342,1034,477,488,75,400,261,1205,347,581,643,184,1664,958,241,831,28.96549643775813
331,1588,1446,593,1213,666,532,1670,1228,1448,23,110,350,212,160,74,417,1154,514,550,82,467,288,1341,381,627,739,210,1931,1104,283,955,32.5317224857481
332,1360,1260,495,975,560,450,1443,979,1253,30,96,300,184,153,60,330,971,397,451,70,420,262,1136,345,567,623,188,1647,891,229,798,27.117032740731553
333,1461,1340,533,1122,657,533,1535,1094,1311,22,101,312,187,150,70,381,1055,460,505,68,438,266,1231,382,615,707,204,1744,1106,273,841,32.04876307879422
334,1549,1431,546,1079,665,533,1625,1201,1384,21,106,316,203,159,80,356,1132,440,535,71,465,283,1199,375,627,670,199,1811,1120,288,933,30.173244233518012
335,1450,1338,512,1053,648,516,1531,1054,1285,21,96,317,197,151,66,359,1049,457,481,67,430,268,1174,380,610,642,191,1680,995,247,841,27.89664421285395
336,1366,1255,505,907,571,462,1431,1080,1229,26,93,315,174,141,68,316,994,417,469,70,412,252,1127,338,544,603,166,1629,922,237,819,26.956851784759245
