,account,ward,aid,business,address,zip
1659,243019,50,,CENTER CLEANERS,6019 N LINCOLN AVE,60659
1660,24302,40,,MILAKNIS ANIMAL HOSPITAL LTD,5638 N WESTERN AVE 1ST,60659
1661,24303,36,,MONT CLARE ANIMAL HOSPITAL LTD,6854 W GRAND AVE 1ST,60707
1662,243033,8,775,ORBIT SUB,8061 S COTTAGE GROVE AVE,60619
1663,243089,33,775,DANIEL'S GROCERY,3101 W IRVING PARK RD,60618
1664,243092,37,775,OHIO FOOD MART,5345 W OHIO ST,60644
1665,243128,12,,TV AZTLAN,4100 S ASHLAND AVE 1 84,60609
1666,243134,35,775,BHARAT BAZAAR,3900 W LAWRENCE AVE,60625
1667,243136,2,725,IMPERIAL PARKING,777 N MICHIGAN AVE,60611
1668,243146,17,,"GEORGE'S AUTO REPAIR, INC.",6500 S KEDZIE AVE,60629
1669,243162,35,775,JEREZ RESTAURANT SEA FOOD,4803 N PULASKI RD,60630
1670,243183,42,775,ONE NORTH,1 N WACKER DR,60606
1671,24322,39,,JON'S BARBER SHOP,5309 W DEVON AVE  1ST,60646
1672,243233,21,,KREMS JOINT HAIR SALON,155 W 95TH ST,60628
1673,24327,40,,JOE MARIANO,1509 W BALMORAL AVE  1,60640
1674,243293,46,,DELGADO TRAVEL AGENCY INC,4552 N BROADWAY,60640
1675,243307,26,,SERGIOS CONSTRUCTION INC,1334 N LAWNDALE AVE,60651
1676,243308,28,775,SUN  SUMRINE FAST FOOD,321 N LARAMIE AVE,60644
1677,243325,13,,CUMBIA'S TOWING SERVICES,6554 S KEELER AVE,60629
1678,243326,26,,THE DOCTOR AUTO RADIATORS,1947 N PULASKI RD,60639
1679,243338,25,,FLEET SERVICE,2641 S LEAVITT ST 1,60608
1680,243352,25,763,LA ADELITA,2058 W 19TH ST,60608
1681,243355,19,,CULBERSON CONSULTING,10511 S BELL AVE 1,60643
1682,243386,20,775,SABRINA SUB,1206 W 51ST ST,60609
1683,243400,32,,NEXTEL,3169 N LINCOLN AVE,60657
1684,243418,32,,LUZ M RIVERA,2623 N CALIFORNIA AVE # 1N,60647
1685,243439,16,,FRANCISCO MARTINEZ,5925 S MOZART ST,60629
1686,243473,37,,GOT 2 GET IT MUSIC & VIDEO,5465 W CHICAGO AVE,60651
1687,243499,42,,"INDUSTRIAL OPTICAL SERVICE , LTD",44 E CHICAGO AVE,60611
1688,243505,42,775,DUNKIN DONUTS,201 N CLARK ST,60601
1689,243508,28,,KABOSH INC,1425 S ASHLAND AVE,60608
1690,243524,38,,"THE DISCOVERY MORTGAGE GROUP, LTD",5643 W IRVING PARK RD,60634
1691,243548,11,673,JOHN'S HEATING INC,2940 S WENTWORTH AVE,60616
1692,243550,9,,MUZICNET INC,8737 S STATE ST # 1,60619
1693,243577,25,,"TELOLOAPAN MUFFLER & BRAKE II, INC.",2100 S ASHLAND AVE,60608
1694,243579,22,775,SONORA MEATS,4135 W 26TH ST,60623
1695,243609,37,,WESTOWN MORTGAGE CORPORATION,3846 W CHICAGO AVE,60651
1696,24363,27,,PAT'S BARBER SHOP,768 W JACKSON BLVD  1ST,60661
1697,243630,23,,RM SYSTEMS SERVICES INC,5220 S PULASKI RD # C260,60632
1698,243678,47,,REX FASHION,1969 W LAWRENCE AVE,60640
1699,243687,12,,DUKA DO SANTOS,3553 S ARCHER AVE,60609
1700,243689,46,,WINDSOR CLEANERS,4521 N SHERIDAN RD,60640
1701,243691,30,,COSTA DEL SOL TRAVEL INC,5413 W DIVERSEY AVE  A,60639
1702,243695,33,,ANGEL KIDS,3509 W LAWRENCE AVE,60625
1703,243707,27,,VISION WERX CONSTRUCTION,1437 W CHICAGO AVE,60642
1704,243714,14,,KOWALKOWSKI CONSTRUCTION CO,5100 S WESTERN AVE # 2,60609
1705,243721,48,775,JIMMY JOHNS SANDWICH SHOPS,6153 N BROADWAY,60660
1706,243739,42,,SPECIALTY TITLE SERVICES INC,123 W MADISON ST 2ND 205,60602
1707,243742,12,,ANDRES REYES COMPUTERS,4100 S ASHLAND AVE 1ST 411/412,60609
1708,243747,14,,ALGO ESPECIAL MODA URBANA,5421 S KEDZIE AVE,60632
1709,243753,8,,THE HAIR LOFT SALON,8156 S STONY ISLAND AVE,60617
1710,243789,14,,DEPORTES EL CHANFLE,2810 W 55TH ST,60632
1711,243800,42,,AKAL YOGA,141 W JACKSON BLVD  750,60604
1712,243803,48,,RAVEN THEATRE COMPANY,6157 N CLARK ST 1,60660
1713,243806,44,829,PADDY LONG'S,1028 W DIVERSEY PKWY 1,60614
1714,243836,19,,WORTHY INVESTMENTS LLC,11147 S ESMOND ST,60643
1715,243862,22,,ESPERANZA GROUP INC.,3810 W 26TH ST 2ND FL,60623
1716,243878,43,638,NORTHSTAR EATERY,1765 N STOCKTON DR,60614
1717,243950,30,,HIGH STYLE FLOWER GIFT SHOP,6001 W BELMONT AVE,60634
1718,243962,37,,KBS FASHIONS,4545 W DIVISION ST,60651
1719,243969,35,,LAUNDRY BY PHONE LLC,4841 N RIDGEWAY AVE # 1,60625
1720,243986,37,,Tom's Clothes,4545 W DIVISION ST # O1920,60651
1721,244016,10,720,CHURCH OF THE ANNUNCIATA,11128 S AVENUE G,60617
1722,244037,44,,U S CELLULAR,3019 N CLARK ST,60657
1723,244056,37,,CENTRO MUSICAL DISTRIBUTON CORP,4545 W DIVISION ST,60651
1724,244073,37,,RUBEN'S,"4545 W DIVISION ST  A18,1",60651
1725,244130,28,,HENRY E. FINLEY,101 N PINE AVE,60644
1726,244134,37,,AMBROSIO BELTRAN,4545 W DIVISION ST # M-18,60651
1727,244138,37,,ANGEL LOW PRICE,"4545 W DIVISION ST 17,18 O-16",60651
1728,24415,8,,SMITHS BARBER SHOP,925 E 79TH ST 1ST,60619
1729,244157,44,638,PLATIYO,3313 N CLARK ST,60657
1730,24416,19,,PETE'S BARBER,1958 W 95TH ST  1,60643
1731,24418,29,,GALE OAK BARBERS,6836 W NORTH AVE  1,60707
1732,24422,20,,HELEN'S BARBER SHOP,6055 S DR MARTIN LUTHER KING JR DR 1ST,60637
1733,24427,26,,SPORTSMANS BARBER SHOP,3628 W ARMITAGE AVE  1ST,60647
1734,24452,6,,JOE'S STYLE CITY,6959 S HALSTED ST,60621
1735,244617,22,,LOYOLA METAL WORKS,3242 S PULASKI RD,60623
1736,24465,6,,MUJ-TA-MIN BARBER SHOP,718 E 79TH ST 1ST,60619
1737,24467,1,,JOES HAIR STUDIO,3005 W ARMITAGE AVE,60647
1738,24469,14,864,CLOVERHILL-PASTRY,4464 W 44TH STREET ST,60632
1739,24478,30,,TRAVEL BUREAU INC,5736 W BELMONT AVE 1ST,60634
1740,24479,42,,HOLLANDER & FEUERHAKEN,141 W JACKSON BLVD 33RD 3325,60604
1741,244791,44,,CORPORATE CREATIONS CHICAGO LLC,705 W BELMONT AVE,60657
1742,244808,34,,FOUR H JANITORIAL SERVICE,1208 W 110TH PL  HOUSE,60643
1743,244848,9,666,AMM CITGO INC.,9452 S COTTAGE GROVE AVE,60619
1744,244914,33,,"Al Ameer General Merchandise, Inc.",3207 W LAWRENCE AVE,60625
1745,244918,42,775,PATTIES QUICK & LITE,700 N MICHIGAN AVE # 815,60611
1746,244920,12,,AG SALES,4100 S ASHLAND AVE 1 140,60609
1747,244955,26,775,BEGIN,3209 W ARMITAGE AVE,60647
1748,244994,33,775,LITTLE CAESAR'S,3135 W ADDISON ST,60618
1749,245019,19,,Fairshare Amusement,3410 W 111TH ST,60655
1750,24503,35,864,ARWAY CONFECTIONS,3323 W NEWPORT AVE 1ST,60618
1751,245031,13,,OZZIE'S CUSTOM CONCRETE,5636 S NAGLE AVE 1ST,60638
1752,245036,5,,BIKE CLINIC,2221 E 71ST ST,60649
1753,245048,42,775,GRAND LUX CAFE,111 E ONTARIO ST  2ND,60611
1754,245054,27,,"NITEL, NI Investments",1101 W LAKE ST 4&6TH,60607
1755,245056,48,,JACK'S LIQUIDATORS,6166 N SHERIDAN RD # 4B,60660
1756,24506,12,,NORTON & SON OF ILLINOS,4219 S WOLCOTT AVE,60609
1757,24518,26,,M & J LAUNDERETTES INC,3812 W NORTH AVE,60647
1758,245185,8,829,CLUB ESCAPE,1530 E 75TH ST,60619
1759,245209,3,775,Opera,1301 S WABASH AVE # 1ST,60605
1760,245218,20,,DRUMMOND INTERNATIONAL,5636 S LOWE AVE,60621
1761,24524,8,,SWAN CLEANERS,8216 S STONY ISLAND AVE,60617
1762,245253,28,,QUICK  COM  ll,238 N PULASKI RD,60624
1763,24530,46,,MONITOR CLEANERS INC,4601 N CLARK ST 1ST,60640
1764,245307,45,,DIAMOND NAILS,3953 W IRVING PARK RD 1ST,60618
1765,245322,42,,JENNIFER DUBOWSKY,325 W HURON ST # 308,60610
1766,245323,42,,THE VANDERBILT GROUP INC,200 S WACKER DR # 3100,60606
1767,245351,1,,"HENRY SMID PLUMBING & HEATING CO., INC.",1311 N WICKER PARK AVE # 1ST,60622
1768,245357,50,,HYBRID SYSTEMS,2335 W DEVON AVE # 214,60659
1769,24536,34,,BELL BROS 29 MINUTE CLNRS,10000 S HALSTED ST 1ST,60628
1770,245361,47,,HANGER  18 INC.,4726 N LINCOLN AVE,60625
1771,245397,26,,EL RINCONCITO SABROSO,1300 N WESTERN AVE,60622
1772,245413,44,775,AVENUE TAVERN,2914-2916 N BROADWAY,60657
1773,24545,30,,E & J SERVICE,5359 W ADDISON ST 1ST,60641
1774,245492,43,774,PARKWEST LIQUORS AND SMOKE SHOP,2581 N LINCOLN AVE,60614
1775,245499,6,,UJAMAA CONSTRUCTION INC,400 W 76TH ST 3 335,60620
1776,245500,21,829,REESE'S LOUNGE,1827 W 87TH ST,60620
1777,245519,14,775,Pete's Fresh Market #2,4700 S KEDZIE AVE,60632
1778,245542,5,638,BAR LOUIE,5500 S SHORE DR,60637
1779,245548,14,775,MARY'S LEMONADE STAND,2423 W 51ST ST,60632
1780,245559,27,,"THE NEW SCHOOL FOR MASSAGE, BODYWORKS AND HEALING",800 N WELLS ST # 3RD,60610
1781,245569,21,,DUPE'S  AUTO ENTERPRISES,9200-4 S ASHLAND AVE,60620
1782,24561,32,712,LARRYS SERVICE STATION INC,1834 N DAMEN AVE  1,60647
1783,245657,6,,JAMES J. JORDAN JR.,360 W NORMAL PKWY,60621
1784,245677,1,,MOONSHINE,1824 W DIVISION ST 1ST,60622
1785,245700,9,673,HATTEN PROPERTIES,9339 S CALUMET AVE,60619
1786,24573,35,666,KENNEDY-KIMBALL SERVICE INC,3330 N KIMBALL AVE 1ST,60618
1787,245758,42,763,BILLY GOAT TAVERN & GRILL,430 N MICHIGAN AVE LL,60611
1788,245764,3,,CROSSROAD - BUSINESS CONSULTANTS,5108 - 10 S CALUMET AVE # 1,60615
1789,245769,8,,"WIDEOPENWEST ILLINOIS2, LLC",9511 S DORCHESTER AVE,60628
1790,24578,21,,D & W AUTOMATIC TRANSMISSION,501 W 95TH ST,60628
1791,245799,42,,"FOX STATIONS SALES, INC.",500 N MICHIGAN AVE # 900,60611
1792,245822,14,,MC JEWELRY,4762 S KEDZIE AVE,60632
1793,245827,7,,THOMAS QUALITY CONSTRUCTION,8051 S ESSEX AVE # 2,60617
1794,245836,40,638,OLYMPIC CLUB,2615 W LAWRENCE AVE,60625
1795,245885,34,775,BASS FISH & CHICKEN,10343 S HALSTED ST,60628
1796,245896,28,,"AA DISCOUNT MUFFLER, INC",151 N CICERO AVE,60644
1797,245919,42,,SPEX,44 E CHICAGO AVE,60611
1798,245934,2,,"Glassworks, Inc.",1647 N CLYBOURN AVE,60614
1799,245952,42,775,BELLWETHER MEETING HOUSE & EATERY,302 E ILLINOIS ST,60611
1800,24596,6,,LEOS METROPOLITAN FLORIST,407 E 71ST ST 1ST,60619
1801,245998,50,638,WHATS COOKING RESTAURANT,6181 N LINCOLN AVE,60659
1802,246136,6,,QUALITY MART PLUS,7910 S COTTAGE GROVE AVE 1ST,60619
1803,246150,6,,JOHN HOME CONSTRUCTION,7732 S COTTAGE GROVE AVE 313 #,60619
1804,246166,42,,AVANADE INC,161 N CLARK ST,60601
1805,24617,40,,FOSTER FLORAL SHOP,2463 W FOSTER AVE  1,60625
1806,246170,15,,NINAS FASHION,4504 S ASHLAND AVE,60609
1807,246183,17,,J & R FOOD,2638 W 71ST ST,60629
1808,246213,27,,"BYTEMANAGERS, INC",700 N GREEN ST,60642
1809,246223,34,,WILD WILD CLOTHING CO.,11125 S HALSTED ST,60628
1810,246227,37,,Jamestown Computers,4545 W DIVISION ST,60651
1811,24625,1,,BARBARA'S FLORIST-GIFT SHOP,753 N ASHLAND AVE  1,60622
1812,246263,9,763,CITGO,10007 S MICHIGAN AVE,60628
1813,246269,41,,AIM SUPPLY INC.,5422 N SAYRE AVE,60656
1814,246281,4,,MARC'S CUSTOM DRY CLEANERS,4856 S COTTAGE GROVE AVE,60615
1815,246290,25,,MEK LI CHEN,230 W 24TH ST,60616
1816,246306,49,720,HOUSING OPPORTUNITIES FOR WOMEN,1607 W HOWARD ST 3RD,60626
1817,246319,6,775,YUNG'S CHOP SUEY,119 E 79TH ST 1,60619
1818,246336,11,,WINDY CITY HARDWARE,3263 S HALSTED ST,60608
1819,24634,7,,EVELYN MCCURINE,7801 S EXCHANGE AVE,60649
1820,24635,27,,VANS INC.,1311 W RANDOLPH ST 1ST,60607
1821,246356,8,,ABC CELLULAR 21,804 E 79TH ST,60619
1822,24638,45,,ELECTRIC MTR CORP,3865 N MILWAUKEE AVE,60641
1823,246388,11,,ED'S AUTO CENTER,3621 - 3625 S HALSTED ST,60609
1824,246393,45,,TRENDS,4908 W IRVING PARK RD,60641
1825,246421,4,,"EDUCATIONALGAMEWORKS, LLC",3148 S DR MARTIN LUTHER KING JR DR,60616
1826,246426,1,,G & E GIFT SHOP,1837 W CHICAGO AVE,60622
1827,246434,50,,"SYED'S STUDIO , INC.",2752 W DEVON AVE,60659
1828,246436,47,,312 CONSTRUCTION COMPANY,4043 N RAVENSWOOD AVE,60613
1829,24644,39,816,BOHEMIAN NATL CEMETERY AS,5255 N PULASKI RD,60630
1830,24646,47,,"The Dupli Group, Inc",3628 N LINCOLN AVE,60613
1831,246472,28,763,"Tayson Food Mart, Inc.",4153 W MADISON ST,60624
1832,24656,37,929,CHAMBERS GASKET & MFG CO,4701 W RICE ST,60651
1833,246566,25,,MICO DESIGNS LTD,1432 W 21ST ST,60608
1834,246574,7,775,79TH KINGSTONE FOOD MART,2523 E 79TH ST,60649
1835,246598,10,,SOUTH CHICAGO PARENTS & FRIENDS,10241 S COMMERCIAL AVE,60617
1836,246599,14,,"GARCIA LIFE PARTNERS, LTD.",5101 S KILDARE AVE,60632
1837,246662,43,,"SYMED,INC.",2502 N CLARK ST  210,60614
1838,246668,28,,TAYLOR & ASSOCIATES,349 N HOMAN AVE,60624
1839,246717,50,775,HOT ROD GRILL,6237 N WESTERN AVE,60659
1840,246722,42,,LaSalle Network,200 N LA SALLE ST 25 2500,60601
1841,246728,32,,IMPERIAL LANDS INC,3355 N WESTERN AVE,60618
1842,246790,44,763,HALSTED & ADDISON FOOD,801 W ADDISON ST,60613
1843,24681,2,,HOWE CORPORATION,1650 N ELSTON AVE,60622
1844,246832,40,638,CAFE MIMOZA,2625 W LAWRENCE AVE 1,60625
1845,246853,15,775,RED SNAPPER GRILL,1951 W GARFIELD BLVD,60636
1846,246865,35,763,CROWN LIQUORS,2821 N MILWAUKEE AVE 1,60618
1847,246872,16,775,JUN HOE TOY RESTAURANT,2550 W 63RD ST,60629
1848,246876,24,775,GOLO,3731 W ROOSEVELT RD,60624
1849,24689,14,,GEO-RAE CORP,4500 S TRIPP AVE 3RD,60632
1850,246900,42,775,BELLA! BACINO'S,75 E WACKER DR,60601
1851,24691,8,816,RAY ANDERSON CO,1140 E 78TH ST 1ST,60619
1852,246914,2,,"SEISMICOM, INC.",1401 W WABANSIA AVE 2 #,60622
1853,246915,32,,AMC THEATRES,2600 N WESTERN AVE,60647
1854,24692,27,,VEECO BEAUTY EQUIP MFG CO,1217 W WASHINGTON BLVD,60607
1855,246955,42,775,GATEWAY NEWS STAND,128 N STATE ST,60602
1856,246956,11,775,WALLACE FOODS CORPORATION,3758 S WALLACE ST,60609
1857,246973,14,,El Dorado Western Wear,2621 W 51ST ST 1 #,60632
1858,246993,27,,WOW CONCEPTS,113 S PAULINA ST,60612
1859,246995,42,,GALLAGHER TRAVEL SERVICE,330 S WELLS ST 1400 #,60606
1860,247002,25,638,PLUSH-CHICAGO,1104 W MADISON ST 1 #,60607
1861,24702,30,,AUTOMATIC LABEL & LITHOG,3734 W BELMONT AVE  NE CO,60618
1862,247073,50,775,Al Sabah Audio Video,2506 W DEVON AVE,60659
1863,247132,38,,"POLSOFT, CORP.",3407 N HARLEM AVE,60634
1864,247146,36,638,Los Cazos,5945 W FULLERTON AVE,60639
1865,24717,17,,COOKIES COCKTAIL LOUNGE,1024 W 79TH ST,60620
1866,247187,28,775,SIAM POT,1509 W TAYLOR ST,60607
1867,247196,14,,Bel Aire Bridal Gown Cleaners,4454 S KEDZIE AVE,60632
1868,24721,11,,TONYS BODY & FENDER SHOP INC,2701 S HALSTED ST 1ST,60608
1869,247213,21,,COIN OP,9301-9303 S HALSTED ST,60620
1870,247221,28,775,LAKE& PULASKI FOOD,3961 W LAKE ST,60624
1871,24723,37,,WILKENS ANDERSON CO,4525 W DIVISION ST,60651
1872,247248,46,,TIME TRADING II,4537 N CLARK ST,60640
1873,247287,5,894,RAAD & COMPANY HAIR DESIGN,1709 E 55TH ST 1,60615
1874,24730,40,,FAMILY PRIDE,5564 N LINCOLN AVE,60625
1875,247321,1,763,SULTAN 'S  MARKET,2057 W NORTH AVE,60647
1876,247372,14,929,ANONIO DIMAS,5025 S HOMAN AVE 1 #,60632
1877,247375,25,,THE A & H BINDERY,1060 W ADAMS ST 3 W,60607
1878,247379,47,,KEARNS DESIGN GROUP,3701 N RAVENSWOOD AVE 252 #,60613
1879,247384,7,775,LAKESIDE FOODS INC.,8058 S COLES AVE,60617
1880,247403,27,,"SOLIS CONSTRUCTION, INC.",2300 W MADISON ST,60612
1881,24744,4,,HYDE PARK ANIMAL CLINIC PL,5210 S HARPER AVE 1ST,60615
1882,247450,15,763,TERRY FOOD #2,6558 S ASHLAND AVE,60636
1883,247485,29,,GLEN ELLYN STORAGE CORPORATION,5410 W ROOSEVELT RD B3 102,60644
1884,247493,42,623,GENEVA SEAL,112 E OAK ST 1 1,60611
1885,247497,26,663,PALETERIA FLOR DE MICHOACAN,2642 W DIVISION ST,60622
1886,24750,3,904,H MEYERS ACE HDW INC,315 E 35TH ST 1ST,60616
1887,247503,16,,JIMMIE WROUGHT IRON FENCE,6310 S CARPENTER ST,60621
1888,247505,22,,G & G'S INSTALLERS,4049 W OGDEN AVE,60623
1889,247507,10,,TONY FREEZE,8464 S COMMERCIAL AVE,60617
1890,24752,31,,CITY WIDE AUTOMOTIVE SPLY INC,5210 W BELMONT AVE,60641
1891,247523,38,673 | 816,UGLY TUB? INC,6057 W IRVING PARK RD,60634
1892,247525,8,,SOUTHSIDE TATTOOS & BODY PIERCING LLC,8548 S STONY ISLAND AVE,60617
1893,247569,27,,AACHEN STORAGEMART,1015 N HALSTED ST,60622
1894,24757,2,864,BEAR STEWART CORP,1636 N HONORE ST  1,60622
1895,24760,20,825 | 823,BUSY BUMBLE BEE ACADEMY DAYCARE,6450 S COTTAGE GROVE AVE # 1ST,60637
1896,247602,43,,"LASALLE STREET DEVELOPMENT, INC.",1132 W MONTANA ST,60614
1897,247639,4,,THE UPS STORE,47 W POLK ST,60605
1898,24766,21,,SAMPSON FRANKLIN,8331 S RACINE AVE 1ST,60620
1899,247717,40,775,J&B FOOD & CIGARETTES,6532 N CLARK ST,60626
1900,24774,44,,ALAMBRA GARDEN HOME AND PATIO,3753 N SOUTHPORT AVE,60613
1901,24777,19,724,CUSTOM TRAVEL SERVICE INC,10716 S BELL AVE,60643
1902,247776,12,,CRUZIN SOUNDZ INC,3115 W 26TH ST,60623
1903,247781,28,775,DANS CHINESE MIDWEST,3854 W MADISON ST,60624
1904,247804,42,,SHOPPERTRAK RCT CORPORATION,200 W MONROE ST 11TH,60606
1905,247844,27,,MARQUETTE PARTNERS LP,801 W ADAMS ST  5,60607
1906,247851,42,,THE KALEIDOSCOPE GROUP,434 W ONTARIO ST  200,60610
1907,247942,39,,METROPOLITAN-CONSTUCTION AND DEVELOPMENT,4001 W DEVON AVE  338,60646
1908,247958,50,,Geet Video,6353 N WESTERN AVE,60659
1909,248,45,,J SON LIQUORS,3652 W IRVING PARK RD,60618
1910,248006,40,,OMEGA HOME HEALTHCARE,2320 W PETERSON AVE 5TH,60659
1911,248046,3,,SONAK ELECTRICAL CONTRACTORS,18 E 24TH ST,60616
1912,248049,32,,WOW & ZEN,2105 W ARMITAGE AVE,60647
1913,248115,42,855,RELIABLE VALET PARKING INC./ AY CHIWOWA,311 W CHICAGO AVE,60654
1914,248139,8,775,HAROLDS CHICKEN SHACK #19,808 E 79TH ST,60619
1915,24821,27,864,L ISAACSON STEIN FISH CO INC,800 W FULTON MARKET,60607
1916,248217,9,,STUDIO 121 HAIR SALON,12145 S MICHIGAN AVE,60628
1917,248236,47,,"Lakeview General Contractor, Inc.",4350 N DAMEN AVE,60618
1918,248269,27,864,FULTON STREET BAKING,2011 W FULTON ST,60612
1919,24829,27,864,MALONEY CUNNINGHAM & DE VIC,1114 W FULTON MARKET  1ST,60607
1920,248291,47,,BIONIC HAIR DESIGNS,5028 N BROADWAY,60640
1921,24832,39,864,V.E. BERG & SON CO.,4949 N ELSTON AVE  BLDG,60630
1922,248330,2,704,Kiva Salon #24107,835 N MICHIGAN AVE,60611
1923,248398,30,775,ZASCIANEK,5752 W BELMONT AVE,60634
1924,248426,36,,MUEBLERIA-DOMINGUEZ INC,5319 W FULLERTON AVE,60639
1925,24845,27,864,NORTHWEST MEAT COMPANY,351 N JUSTINE ST 1ST,60607
1926,248454,3,,EQUINIX OPERATING COMPANY,350 E CERMAK RD,60616
1927,248482,27,,WAK PICTURES INC,1504 N FREMONT ST,60622
1928,24849,35,865,ELSTON SELF SERVICE,3761 N ELSTON AVE,60618
1929,248498,42,,CHICAGO WINTER DANCE,201 E RANDOLPH ST,60601
1930,248504,6,,RENEE S SMITH,7324 S EBERHART AVE 2,60619
1931,248535,31,775,MARTINI CLUB AT MANOR BOWLING AND BILLIARD,3124 N CENTRAL AVE,60634
1932,24854,46,729,LAWRENC HOUSE DRUG CO,1026 W LAWRENCE AVE  GRND,60640
1933,248543,12,,LOPEZ HNOS  CONSTRUCTION,2815 W 25TH ST,60623
1934,248548,42,775,QUIZNOS,128 S FRANKLIN ST,60606
1935,248570,2,911,AKIRA,1922 W NORTH AVE,60622
1936,248630,29,,CENTURY FUNERAL HOME,5838 W DIVISION ST,60651
1937,248640,37,775,JJ FISH & CHICKEN,5500 W CHICAGO AVE,60651
1938,248644,47,775,MIMI'S MART,3601 N DAMEN AVE,60618
1939,248649,22,,Monica Ortiz,3040 S HOMAN AVE 1,60623
1940,248665,4,,APOLLO COMPUTER CORP.,5234 S BLACKSTONE AVE,60615
1941,248667,9,666,KADALIMATTAM CORPORATION,721 E 103RD ST,60628
1942,248679,2,,FLETCHER JONES AUDI,1111 N CLARK ST,60610
1943,248682,2,712 | 818,FLETCHER JONES VOLKSWAGEN,1111 N CLARK ST,60610
1944,248683,27,,FLETCHER JONES OF CHICAGO,1111 W DIVISION ST,60622
1945,24872,26,829,ROSA'S LOUNGE,3420 W ARMITAGE AVE 1ST #,60647
1946,248730,39,775,SUBWAY SANDWICHES,4101 W LAWRENCE AVE,60630
1947,24875,43,775,THE MARKET PLACE FOODSTORE,521 W DIVERSEY PKWY # 1ST,60614
1948,248771,47,720,THE THRESHOLDS,4101 N RAVENSWOOD AVE,60613
1949,24878,26,,GREGOLIO RIVERA ACEVADO,3743 W ARMITAGE AVE 1ST,60647
1950,248788,10,,CRYSTAL WIRELESS TWO,9274 S SOUTH CHICAGO AVE,60617
1951,24879,27,763,UPDOWN TOBACCO SHOP,1550 N WELLS ST 1ST,60610
1952,248790,26,,GRAND WHOLESALE,3834 W GRAND AVE,60651
1953,248794,42,,"KC JEWELERS, INC.",5 S WABASH AVE 10 1011,60603
1954,24880,13,,JOHN'S SERVICE CENTER,6301 S MAJOR AVE 1ST,60638
1955,248815,34,,"""HIS"" GIFT TO ME :The Inspirational Novelty Shop ,INC.",1215 W 115TH ST,60643
1956,24889,16,,ENGLEWOOD HARDWARE & PAINT INC,1013 W 63RD ST,60621
1957,24894,30,,G M G AUTO SERVICE,3076 N MILWAUKEE AVE 1ST,60618
1958,24899,38,711,A-ACTION AUTO INC,6645 W IRVING PARK RD 1ST,60634
1959,24923,50,712,"HOWARD AUTO SALES, INC.",2857 W HOWARD ST 1ST,60645
1960,24935,39,,IMPERIAL REALTY CO,4747 W PETERSON AVE  200,60646
1961,24939,15,796,PALETERIA AYUTLA,2404 W 46TH PL,60632
1962,24942,22,,ALLENDES HARDWARE & PLUMBING,3558 W 26TH ST  1ST,60623
1963,249666,37,,"ADVANTAGE MANUFACTURING, INC.",1458 N LAMON AVE,60651
1964,249673,33,,HORUSS MICROSYSTEMS,4334 N SACRAMENTO AVE 3 E,60618
1965,249676,43,720,MIDWEST BUDDHIST TEMPLE,435 W MENOMONEE ST,60614
1966,249677,36,,ELSA MENDEZ,3135 N NARRAGANSETT AVE,60634
1967,24969,29,,MONTCLARE PAINT STORE,7106 W GRAND AVE 1ST,60707
1968,249696,18,724,PROMAR PRODUCTIONS,4658 W 84TH PL 1ST,60652
1969,249706,14,,FELIPE ROSAS,5337 S CAMPBELL AVE,60632
1970,24974,10,,NAPA AUTO PARTS,12958 S CARONDOLET AVE,60633
1971,249749,31,,FRUTO DE FE,2441 N LARAMIE AVE  1 SO.,60639
1972,249773,42,,MEETINGLINK,360 E RANDOLPH ST 3206,60601
1973,249795,34,,ARCE DEVELOPMENT,1019 W 109TH PL,60643
1974,24982,45,,"STANTON HOBBY SHOP, INC",4718 N MILWAUKEE AVE,60630
1975,249847,25,,Best 1-Hour Cleaners,500 W ROOSEVELT RD,60607
1976,249858,40,,MERCADO G. BALTAZAR,2202 W FOSTER AVE,60625
1977,249886,16,,JOSE F CARDENAS,3037 W 59TH ST,60629
1978,24995,45,,PORTAGE AUTO PARTS INC,3920 N MILWAUKEE AVE  1,60641
1979,249956,21,724,MARVELOUS MAGIC,8720 S ASHLAND AVE 3 3B,60620
1980,249962,8,,BROTHER HOOD BARBER SHOP,1734 E 87TH ST,60617
1981,249964,50,775,RAVIKABAB HOUSE,2447 W DEVON AVE,60659
1982,24997,17,,WALTER H TRIBBLE,7126 S ASHLAND AVE,60636
1983,24998,46,,WALLIS DISC DEPT STORE,4647 N BROADWAY  1ST,60640
1984,249989,49,,CHAMPION CLOSEOUTS,1600 W PRATT BLVD,60626
1985,250014,25,,PILSEN BOOKS,500 W CERMAK RD  42,60616
1986,250044,1,,DANA'S TOWING INC,1501 W GRAND AVE,60642
1987,250133,26,,SALVADOR GENERAL MERCHANDISE,4056 W ARMITAGE AVE 1,60639
1988,250135,16,,"G.I.R.L. MAX, INC.",5652 S ASHLAND AVE,60636
1989,250162,49,,LINDA L  POWELL,1354 1/2 W GREENLEAF AVE  1B,60626
1990,250169,16,,MARK A. MOSLEY,6005 S CAMPBELL AVE,60629
1991,250214,44,,EDC PROPERTY MANAGEMENT,710 W OAKDALE AVE,60657
1992,250304,15,,DENNIS J HADER,2308 W 48TH PL,60609
1993,250346,42,,THOMAS S WAICUNAS,441 W ERIE ST,60610
1994,250354,42,775,FRESH CHIOCE,233 N MICHIGAN AVE  F,60601
