,category_desc,title
561,Strengthening Communities,Volunteer at Back to School Event-Queens
562,Strengthening Communities,Branding and Marketing Project
563,Helping Neighbors in Need,Administrative Volunteer
564,Emergency Preparedness,World Cares Center Annual Volunteer Recruitment Event 
565,Strengthening Communities,Brand Identity for Professionals
566,Strengthening Communities,Mt. Zion Kidz Fair
567,Strengthening Communities,Volunteers needed to reorganize a library for seniors!
569,Education,Reading Program Volunteers
570,Helping Neighbors in Need,Passover Food Distribution Volunteer Needed!  
571,Strengthening Communities,Ice Skating - Police Athletic League
573,Strengthening Communities,Musician for Alzheimer's Program
574,Strengthening Communities,Need volunteers for Make Music New York Event 
575,Strengthening Communities,Summer Back to School Bash
576,Education,Be a Proctor for Students Taking Exams - 55+ Only
577,Health,Fitness Instructor for Seniors
578,Health,Yoga Instructor
579,Strengthening Communities,Promotional Video for Professionals
580,Health,Community Health Promotion and Awareness Intern
581,Strengthening Communities,"Office Support, Volunteer Recruitment and Personnel Opportunities"
582,Strengthening Communities,Marketing Intern
583,Strengthening Communities,August Movie Event volunteers needed in Queens
584,Strengthening Communities,Halloween Carnival/Haunted House Set Up
586,Education,Help A Middle School Student Learn A New Skill --55+ Only
587,Strengthening Communities,Social Networker
588,Strengthening Communities,Online / Social Media Marketing Intern/Volunteer
589,Environment,Ecological Art: Costume & Puppet Design 
590,Strengthening Communities,Give the Gift of Bicycling!
591,Strengthening Communities,Administrative Assistant
592,Strengthening Communities,Development/Fundraising Assistance
593,Strengthening Communities,Market Analysis for Income-Generating Organizations for Professionals
595,Emergency Preparedness,Free CPR Training in Brooklyn!
596,Helping Neighbors in Need,Become An Activity Leader! --55+ Only
597,Strengthening Communities,Make a difference for the LGBTQ community of Queens!
598,Strengthening Communities,Volunteer with El Museo del Barrio
599,Health,Met Council Nutrition Workshop Volunteer info session
600,Health,Making Strides Against Breast Cancer Volunteers Needed
602,Helping Neighbors in Need,Volunteer program aide/escort
603,Strengthening Communities,Volunteer at Queens Sand Castle Contest
604,Education,Fall Internship  for High Schools Students at ClassWish.org
605,Helping Neighbors in Need,GED Math/Humanities Tutor
606,Education,Computer Skills Tutor
607,Helping Neighbors in Need,English as a Second Language Instructor
608,Helping Neighbors in Need,Help Care for Babies at the Teen Family Center - 55+ Only
609,Strengthening Communities,Volunteers at Governor's Island 
610,Health,Queens:Yoga Fitness Instructor for Shape Up New York at Al Oerter !
611,Helping Neighbors in Need,Help New Yorkers Affected by the Storm In Staten Island 
612,Education,College Mentor
613,Strengthening Communities,HTML Curriculum Design Intern
614,Strengthening Communities,Photographer
615,Strengthening Communities,Board Secretary
616,Strengthening Communities,Marketing/PR Volunteer
617,Education,I would like to become a mentor
618,Strengthening Communities,Governor's Island Family Festival
619,Strengthening Communities,Computers / Technical Support Volunteer Opportunity
620,Strengthening Communities,GrowNYC Volunteer
621,Education,Be a Mentor and Make That Extraordinary Difference - 55+ Only
622,Helping Neighbors in Need,Volunteer-Foreclosure Prevention Project at NYLAG
623,Health,Queens Fitness Instructor for Shape Up NY!
624,Strengthening Communities,2011 Concern Spring Run in Central Park!
625,Environment,Inspire NY Recycling at Summer Streets 2011!
627,Education,ACADEMIC TUTORING OPPORTUNITIES AT HARLEM RBI:  GREAT EXPERIENCE FOR ANYONE
628,Strengthening Communities,Volunteer at CMA's Annual Family Benefit
630,Strengthening Communities,Website CMS Conversion Coordinator 
631,Strengthening Communities,Fundraising and Development Manager for Healthy Eating Programs
632,Strengthening Communities,Be A Learning Leader: Chaperones needed for Brooklyn Museum Visits!
633,Helping Neighbors in Need,Career Gear
634,Strengthening Communities,Intern for Brooklyn Unlimited workshop
635,Helping Neighbors in Need,Help New Yorkers Affected by the Storm in Queens 
636,Strengthening Communities,Lifeguard Workshop Facilitators 
637,Helping Neighbors in Need,Help feed our Bronx community
638,Strengthening Communities,Troop Leader / Assistant Troop Leader
639,Helping Neighbors in Need,Fall Volunteer ESL Teacher
640,Strengthening Communities,Route Marshall
641,Strengthening Communities,Communications Intern
642,Helping Neighbors in Need,Volunteer for inMotion's Story by Story Stair Climb to End Domestic Violence
643,Helping Neighbors in Need,Help the Catskills Relief Effort
644,Strengthening Communities,Special Events Assistant
646,Strengthening Communities,Audience support
647,Strengthening Communities,Web Editor
648,Strengthening Communities,Senior Counselor   
649,Helping Neighbors in Need,Pharmacy Assistant
650,Environment,Tour Guide Volunteer Opportunity
651,Helping Neighbors in Need,Overnight Night Volunteer
652,Strengthening Communities,World Science Festival needs immediate office assistance 
653,Environment,Dirty Hands Wanted!
654,Strengthening Communities,Graphic Designer
655,Strengthening Communities,Boys Scout Leader
656,Strengthening Communities,Technology Course Facilitator 
657,Strengthening Communities,Sports Marketing Specialist
658,Health,Be a Chapter Ambassador!
659,Helping Neighbors in Need,Administrative Intern
660,Helping Neighbors in Need,Volunteer for NYLAG's Food Stamps Project
661,Strengthening Communities,Iridescent Science Studio Open House Volunteers
662,Helping Neighbors in Need,French Translator
663,Strengthening Communities,Marketing & Advertising Volunteer
664,Strengthening Communities,Volunteer filmmakers to help Mayor's Office with YouCanToo! initiative 
