,R1,R2,R3,R4,R5,Class,Explanation
2863,8,5,13,11,13,1,One pair
2864,12,9,8,6,6,1,One pair
2865,8,2,10,11,13,0,Nothing in hand
2866,2,3,13,7,3,1,One pair
2867,9,13,1,4,10,0,Nothing in hand
2868,1,4,11,7,12,0,Nothing in hand
2869,6,1,3,9,8,0,Nothing in hand
2870,7,7,6,13,8,1,One pair
2871,12,13,9,13,4,1,One pair
2872,8,13,1,1,6,1,One pair
2873,9,10,13,13,3,1,One pair
2874,12,2,5,8,9,0,Nothing in hand
2875,4,3,9,7,12,0,Nothing in hand
2876,3,4,12,10,12,1,One pair
2877,7,5,3,7,1,1,One pair
2878,13,13,3,10,3,2,Two pairs
2879,13,11,8,7,12,0,Nothing in hand
2880,1,8,12,10,1,1,One pair
2881,6,2,1,7,8,0,Nothing in hand
2882,1,8,8,5,7,1,One pair
2883,11,6,10,10,10,3,Three of a kind
2884,6,12,4,13,9,5,Flush
2885,7,2,12,12,7,2,Two pairs
2886,10,6,4,3,13,0,Nothing in hand
2887,5,11,1,13,9,0,Nothing in hand
2888,12,3,9,9,2,1,One pair
2889,10,11,9,9,2,1,One pair
2890,6,10,2,10,4,1,One pair
2891,2,1,3,7,12,0,Nothing in hand
2892,7,8,4,2,8,1,One pair
2893,10,1,5,10,8,1,One pair
2894,2,4,6,3,10,0,Nothing in hand
2895,3,5,9,7,4,0,Nothing in hand
2896,2,9,9,11,7,1,One pair
2897,6,8,4,5,12,0,Nothing in hand
2898,9,7,12,7,11,1,One pair
2899,9,8,9,1,10,1,One pair
2900,12,11,7,11,8,1,One pair
2901,8,3,7,11,4,0,Nothing in hand
2902,8,6,1,4,1,1,One pair
2903,2,10,6,8,10,1,One pair
2904,3,13,12,8,2,0,Nothing in hand
2905,13,2,8,5,11,0,Nothing in hand
2906,3,12,7,11,5,0,Nothing in hand
2907,12,6,5,11,2,0,Nothing in hand
2908,4,3,10,1,6,0,Nothing in hand
2909,9,4,7,2,9,1,One pair
2910,12,13,11,11,13,2,Two pairs
2911,12,7,8,1,4,0,Nothing in hand
2912,6,11,10,4,13,0,Nothing in hand
2913,9,1,9,8,13,1,One pair
2914,13,12,10,13,3,1,One pair
2915,4,6,4,3,10,1,One pair
2916,2,1,8,12,13,0,Nothing in hand
2917,2,13,3,11,5,0,Nothing in hand
2918,3,2,4,12,13,0,Nothing in hand
2919,9,11,9,10,12,1,One pair
2920,1,11,5,4,5,1,One pair
2921,3,1,4,4,3,2,Two pairs
2922,9,12,4,1,8,0,Nothing in hand
2923,4,2,7,6,12,0,Nothing in hand
2924,4,1,5,12,11,0,Nothing in hand
2925,12,8,5,8,4,1,One pair
2926,3,12,2,3,9,1,One pair
2927,3,12,8,6,2,0,Nothing in hand
2928,12,1,13,7,2,0,Nothing in hand
2929,2,12,2,4,9,1,One pair
2930,4,11,12,1,3,0,Nothing in hand
2931,9,10,2,1,8,0,Nothing in hand
2932,2,2,13,12,9,1,One pair
2933,8,13,10,12,8,1,One pair
2934,4,10,3,13,1,0,Nothing in hand
2935,4,9,5,10,6,0,Nothing in hand
2936,2,5,3,7,2,1,One pair
2937,6,12,11,2,10,0,Nothing in hand
2938,3,2,3,8,11,1,One pair
2939,6,13,1,5,11,0,Nothing in hand
2940,9,8,9,4,3,1,One pair
2941,2,7,2,10,9,1,One pair
2942,8,6,13,11,13,1,One pair
2943,3,6,10,8,11,0,Nothing in hand
2944,2,9,12,3,10,0,Nothing in hand
2945,8,10,10,13,4,1,One pair
2946,10,1,9,3,8,0,Nothing in hand
2947,10,2,9,8,10,1,One pair
2948,5,3,10,10,2,1,One pair
2949,7,13,9,3,4,0,Nothing in hand
2950,4,12,10,10,3,1,One pair
2951,10,13,13,7,1,1,One pair
2952,1,5,9,7,10,0,Nothing in hand
2953,8,9,10,1,1,1,One pair
2954,11,3,11,2,11,3,Three of a kind
2955,6,6,4,3,5,1,One pair
2956,6,12,8,12,7,1,One pair
2957,7,3,6,2,1,0,Nothing in hand
2958,9,7,7,4,5,1,One pair
2959,10,8,3,12,2,0,Nothing in hand
2960,10,12,2,8,4,0,Nothing in hand
2961,11,10,8,12,1,0,Nothing in hand
2962,12,6,10,2,1,0,Nothing in hand
2963,7,12,2,3,6,0,Nothing in hand
2964,8,8,3,7,11,1,One pair
2965,5,8,5,1,10,1,One pair
2966,4,6,6,9,2,1,One pair
2967,5,4,10,3,6,0,Nothing in hand
2968,7,7,11,4,5,1,One pair
2969,13,1,10,6,13,1,One pair
2970,7,8,9,3,8,1,One pair
2971,11,9,11,10,2,1,One pair
2972,2,11,3,8,1,0,Nothing in hand
2973,3,13,10,5,5,1,One pair
2974,13,2,6,4,6,1,One pair
2975,6,13,4,7,4,1,One pair
2976,11,10,12,5,4,0,Nothing in hand
2977,2,7,10,11,5,0,Nothing in hand
2978,12,11,13,13,8,1,One pair
2979,8,13,5,7,4,0,Nothing in hand
2980,1,8,7,8,5,1,One pair
2981,7,11,12,2,9,0,Nothing in hand
2982,3,12,13,1,8,0,Nothing in hand
2983,11,12,12,5,5,2,Two pairs
2984,2,6,11,11,11,3,Three of a kind
2985,9,5,5,7,3,1,One pair
2986,2,11,4,2,10,1,One pair
2987,13,1,8,7,12,0,Nothing in hand
2988,13,7,3,1,10,0,Nothing in hand
2989,12,8,10,8,3,1,One pair
2990,1,8,8,13,9,1,One pair
2991,9,4,8,11,4,1,One pair
2992,7,12,1,13,1,1,One pair
2993,2,2,4,11,3,1,One pair
2994,7,12,13,1,9,0,Nothing in hand
2995,10,7,12,9,5,0,Nothing in hand
2996,2,12,7,5,5,1,One pair
2997,6,4,2,9,13,0,Nothing in hand
2998,7,1,2,12,13,0,Nothing in hand
2999,9,3,7,1,4,0,Nothing in hand
3000,8,9,3,10,11,0,Nothing in hand
3001,4,10,2,3,8,0,Nothing in hand
3002,2,10,11,10,8,1,One pair
3003,9,9,3,4,13,1,One pair
3004,9,3,6,4,10,0,Nothing in hand
3005,1,12,13,3,8,0,Nothing in hand
3006,4,12,13,3,6,0,Nothing in hand
3007,9,2,1,11,1,1,One pair
3008,5,11,12,6,11,1,One pair
3009,11,12,3,12,2,1,One pair
3010,2,5,13,9,8,0,Nothing in hand
3011,6,10,4,1,10,1,One pair
3012,1,7,4,3,2,0,Nothing in hand
3013,6,4,12,11,1,0,Nothing in hand
3014,5,13,4,1,2,0,Nothing in hand
3015,8,6,5,1,2,0,Nothing in hand
3016,8,11,2,6,10,0,Nothing in hand
3017,13,11,2,8,3,0,Nothing in hand
3018,1,11,5,1,4,1,One pair
3019,10,13,10,13,11,2,Two pairs
3020,10,1,1,2,9,1,One pair
3021,10,5,3,4,8,0,Nothing in hand
3022,1,12,4,1,1,3,Three of a kind
3023,4,9,12,7,12,1,One pair
3024,1,7,12,13,8,0,Nothing in hand
3025,7,11,7,13,11,2,Two pairs
3026,6,2,2,2,11,3,Three of a kind
3027,5,5,7,2,7,2,Two pairs
3028,12,10,13,5,13,1,One pair
3029,13,9,5,2,13,1,One pair
3030,10,8,10,1,9,1,One pair
3031,4,7,12,3,2,0,Nothing in hand
3032,12,6,3,7,1,0,Nothing in hand
3033,7,2,13,1,11,0,Nothing in hand
3034,13,11,1,11,12,1,One pair
3035,4,3,9,1,2,0,Nothing in hand
3036,4,6,2,2,10,1,One pair
3037,13,7,12,10,10,1,One pair
3038,8,1,11,9,10,0,Nothing in hand
3039,7,10,4,5,10,1,One pair
3040,9,11,9,8,7,1,One pair
3041,12,3,7,3,2,1,One pair
3042,13,5,7,2,5,1,One pair
3043,11,1,4,10,1,1,One pair
3044,7,6,5,4,9,0,Nothing in hand
3045,5,10,5,11,13,1,One pair
3046,4,9,6,4,3,1,One pair
3047,6,5,2,1,4,0,Nothing in hand
3048,1,2,13,7,8,0,Nothing in hand
3049,6,11,7,12,4,0,Nothing in hand
3050,1,5,9,8,13,0,Nothing in hand
3051,6,10,12,10,1,1,One pair
3052,13,13,6,12,8,1,One pair
3053,6,7,3,11,5,0,Nothing in hand
3054,5,4,12,9,11,0,Nothing in hand
3055,9,9,7,6,11,1,One pair
3056,5,8,10,13,5,1,One pair
3057,12,1,8,4,2,0,Nothing in hand
3058,11,9,11,13,1,1,One pair
3059,2,4,3,10,6,0,Nothing in hand
3060,12,9,3,6,3,1,One pair
3061,10,6,9,13,12,0,Nothing in hand
3062,3,13,13,5,6,1,One pair
3063,11,13,2,3,12,0,Nothing in hand
3064,12,3,11,8,1,0,Nothing in hand
3065,9,10,2,3,3,1,One pair
3066,1,5,2,1,3,1,One pair
3067,8,9,12,1,11,0,Nothing in hand
3068,3,1,1,10,6,1,One pair
3069,6,4,7,12,5,0,Nothing in hand
3070,5,6,12,1,10,0,Nothing in hand
3071,5,10,13,12,10,1,One pair
3072,11,10,13,11,11,3,Three of a kind
3073,13,4,8,7,3,0,Nothing in hand
3074,7,2,5,11,5,1,One pair
3075,8,1,7,13,3,0,Nothing in hand
3076,9,12,5,9,2,1,One pair
3077,10,2,3,12,13,0,Nothing in hand
3078,8,2,2,8,1,2,Two pairs
3079,5,12,9,5,2,1,One pair
3080,13,5,8,4,10,0,Nothing in hand
3081,11,5,9,11,7,1,One pair
3082,11,8,13,6,7,0,Nothing in hand
3083,2,8,11,2,3,1,One pair
3084,13,7,5,4,6,0,Nothing in hand
3085,13,11,12,10,9,4,Straight
3086,12,12,7,8,1,1,One pair
3087,6,7,3,6,8,1,One pair
3088,9,8,10,13,7,0,Nothing in hand
3089,11,13,3,12,4,0,Nothing in hand
3090,3,10,1,13,6,0,Nothing in hand
3091,6,3,4,1,6,1,One pair
3092,7,12,10,11,5,0,Nothing in hand
3093,4,2,7,13,10,0,Nothing in hand
3094,13,9,10,8,4,0,Nothing in hand
3095,10,9,2,12,11,0,Nothing in hand
3096,3,1,13,3,8,1,One pair
3097,2,13,2,4,13,2,Two pairs
3098,9,12,1,13,9,1,One pair
3099,13,7,9,13,12,1,One pair
3100,10,2,13,10,11,1,One pair
3101,1,10,2,12,4,0,Nothing in hand
3102,13,10,10,7,5,1,One pair
3103,2,4,12,12,8,1,One pair
3104,2,10,8,7,6,0,Nothing in hand
3105,8,13,5,5,3,1,One pair
3106,9,12,7,2,3,0,Nothing in hand
3107,9,7,1,11,8,0,Nothing in hand
3108,11,10,10,1,13,1,One pair
3109,12,11,2,9,2,1,One pair
3110,13,13,12,3,2,1,One pair
3111,12,13,2,7,8,0,Nothing in hand
3112,3,7,11,1,12,0,Nothing in hand
3113,6,6,5,13,7,1,One pair
3114,1,3,7,9,10,0,Nothing in hand
3115,10,1,9,11,6,0,Nothing in hand
3116,13,10,6,6,13,2,Two pairs
3117,1,7,3,13,8,0,Nothing in hand
3118,11,9,6,2,11,1,One pair
3119,12,1,7,11,11,1,One pair
3120,3,11,5,1,4,0,Nothing in hand
3121,8,1,2,11,2,1,One pair
3122,2,5,9,6,13,0,Nothing in hand
3123,4,3,6,13,4,1,One pair
3124,2,2,1,8,2,3,Three of a kind
3125,7,11,5,12,5,1,One pair
3126,7,6,7,13,13,2,Two pairs
3127,11,13,13,5,4,1,One pair
3128,10,4,13,5,4,1,One pair
3129,2,6,2,1,3,1,One pair
3130,1,6,11,3,13,0,Nothing in hand
3131,8,5,1,1,13,1,One pair
3132,5,3,11,4,9,0,Nothing in hand
3133,5,6,11,1,10,0,Nothing in hand
3134,2,2,11,10,13,1,One pair
3135,7,9,2,10,9,1,One pair
3136,10,13,8,12,10,1,One pair
3137,9,1,11,8,3,0,Nothing in hand
3138,7,3,13,8,3,1,One pair
3139,2,8,7,3,9,0,Nothing in hand
3140,7,9,4,12,10,0,Nothing in hand
3141,8,5,2,3,7,0,Nothing in hand
3142,6,8,12,8,2,1,One pair
3143,6,1,11,2,12,0,Nothing in hand
3144,7,12,6,8,13,0,Nothing in hand
3145,3,4,2,8,5,0,Nothing in hand
3146,10,6,1,11,6,1,One pair
3147,8,12,9,11,6,0,Nothing in hand
3148,7,12,1,9,9,1,One pair
3149,12,8,4,6,7,0,Nothing in hand
3150,2,1,7,11,1,1,One pair
3151,13,12,6,8,4,0,Nothing in hand
3152,5,2,5,9,12,1,One pair
3153,12,8,10,3,2,0,Nothing in hand
3154,3,8,2,7,10,0,Nothing in hand
3155,2,7,2,1,4,1,One pair
3156,3,11,2,6,6,1,One pair
3157,3,4,3,8,6,1,One pair
3158,2,4,8,3,7,0,Nothing in hand
3159,9,2,10,11,12,0,Nothing in hand
3160,5,8,4,8,10,1,One pair
3161,4,1,13,8,6,0,Nothing in hand
3162,11,6,8,7,2,0,Nothing in hand
3163,3,1,11,11,3,2,Two pairs
3164,7,11,9,3,6,0,Nothing in hand
3165,6,3,4,3,2,1,One pair
3166,8,5,6,2,11,0,Nothing in hand
3167,8,1,9,2,7,0,Nothing in hand
3168,3,1,11,7,11,1,One pair
3169,13,8,12,8,3,1,One pair
3170,4,2,11,10,3,0,Nothing in hand
3171,12,9,13,1,2,0,Nothing in hand
3172,4,10,10,1,2,1,One pair
3173,7,3,5,3,11,1,One pair
3174,12,12,4,5,8,1,One pair
3175,9,6,6,11,1,1,One pair
3176,13,8,2,5,6,0,Nothing in hand
3177,9,4,11,10,13,0,Nothing in hand
3178,12,4,1,4,5,1,One pair
3179,12,1,4,9,3,0,Nothing in hand
3180,4,5,12,1,6,0,Nothing in hand
3181,5,9,2,1,2,1,One pair
3182,4,4,10,9,6,1,One pair
3183,1,6,9,11,1,1,One pair
3184,8,13,1,8,4,1,One pair
3185,6,5,8,3,3,1,One pair
3186,4,12,5,10,2,0,Nothing in hand
3187,4,6,5,11,1,0,Nothing in hand
3188,8,11,10,7,12,0,Nothing in hand
3189,7,11,9,2,13,0,Nothing in hand
3190,6,4,1,5,9,0,Nothing in hand
3191,6,10,12,4,9,0,Nothing in hand
3192,2,7,13,5,12,0,Nothing in hand
3193,2,7,8,4,6,0,Nothing in hand
3194,6,4,9,1,13,0,Nothing in hand
3195,4,3,6,7,3,1,One pair
3196,1,10,8,11,1,1,One pair
3197,13,12,10,2,10,1,One pair
3198,1,13,5,11,12,0,Nothing in hand
3199,4,4,12,2,8,1,One pair
3200,2,2,9,12,5,1,One pair
3201,9,11,2,3,13,0,Nothing in hand
3202,6,1,8,13,2,0,Nothing in hand
3203,9,1,4,6,4,1,One pair
3204,11,13,5,12,13,1,One pair
3205,7,1,11,2,7,1,One pair
3206,7,8,3,1,8,1,One pair
3207,3,11,6,5,11,1,One pair
3208,9,4,2,2,4,2,Two pairs
3209,1,11,4,1,9,1,One pair
3210,9,4,11,1,10,0,Nothing in hand
3211,3,1,11,3,4,1,One pair
3212,13,9,8,6,11,0,Nothing in hand
3213,1,2,7,3,9,0,Nothing in hand
3214,8,12,4,5,13,0,Nothing in hand
3215,6,3,7,7,13,1,One pair
3216,8,6,6,10,6,3,Three of a kind
3217,1,2,5,6,7,0,Nothing in hand
3218,5,10,13,12,5,1,One pair
3219,8,6,10,11,3,0,Nothing in hand
3220,11,1,13,8,8,1,One pair
3221,7,9,3,2,10,0,Nothing in hand
3222,2,6,4,5,4,1,One pair
3223,13,1,9,1,10,1,One pair
3224,4,7,9,11,10,0,Nothing in hand
3225,7,12,4,8,1,0,Nothing in hand
3226,8,11,6,5,1,0,Nothing in hand
3227,10,1,12,4,8,0,Nothing in hand
3228,9,7,3,3,8,1,One pair
3229,5,8,3,5,4,1,One pair
3230,8,11,7,13,4,0,Nothing in hand
3231,13,10,1,6,3,0,Nothing in hand
3232,3,5,7,13,6,0,Nothing in hand
3233,10,12,8,6,5,0,Nothing in hand
3234,6,13,8,10,12,0,Nothing in hand
3235,6,5,13,2,4,0,Nothing in hand
3236,1,11,10,1,12,1,One pair
3237,7,9,1,12,12,1,One pair
3238,7,12,1,8,11,0,Nothing in hand
3239,1,7,10,7,5,1,One pair
3240,10,3,7,11,10,1,One pair
3241,2,6,9,7,9,1,One pair
3242,4,9,10,12,12,1,One pair
3243,13,4,2,1,6,0,Nothing in hand
3244,7,3,5,1,13,0,Nothing in hand
3245,1,6,7,10,2,0,Nothing in hand
3246,9,8,13,6,8,1,One pair
3247,10,10,11,8,3,1,One pair
3248,3,2,3,4,6,1,One pair
3249,9,7,5,13,10,0,Nothing in hand
3250,6,9,4,8,12,0,Nothing in hand
3251,8,1,6,3,8,1,One pair
3252,13,9,1,5,12,0,Nothing in hand
3253,8,13,6,13,4,1,One pair
3254,2,4,6,13,7,0,Nothing in hand
3255,9,4,1,10,12,0,Nothing in hand
3256,13,10,3,5,6,0,Nothing in hand
3257,1,7,9,11,2,0,Nothing in hand
3258,4,6,5,1,13,0,Nothing in hand
3259,3,7,1,12,3,1,One pair
3260,5,6,8,2,9,0,Nothing in hand
3261,6,8,3,5,8,1,One pair
3262,4,11,10,5,5,1,One pair
3263,11,3,10,6,1,0,Nothing in hand
3264,4,12,8,7,2,0,Nothing in hand
3265,9,5,4,9,7,1,One pair
3266,11,4,5,13,2,0,Nothing in hand
3267,2,1,1,3,11,1,One pair
3268,12,3,12,1,6,1,One pair
3269,11,12,3,13,1,0,Nothing in hand
3270,5,7,2,6,8,0,Nothing in hand
3271,1,10,5,8,7,0,Nothing in hand
3272,9,6,4,6,13,1,One pair
3273,5,12,13,5,4,1,One pair
3274,3,1,6,9,4,0,Nothing in hand
3275,13,12,10,13,5,1,One pair
3276,12,2,11,13,11,1,One pair
3277,2,6,13,6,7,1,One pair
3278,1,13,8,12,11,0,Nothing in hand
3279,7,3,4,10,4,1,One pair
3280,3,6,8,2,7,0,Nothing in hand
3281,7,9,11,12,1,0,Nothing in hand
3282,8,5,1,9,7,0,Nothing in hand
3283,4,2,7,10,10,1,One pair
3284,1,8,4,3,2,0,Nothing in hand
3285,1,7,2,3,6,0,Nothing in hand
3286,3,12,4,11,5,0,Nothing in hand
3287,7,12,7,13,2,1,One pair
3288,10,3,5,2,7,0,Nothing in hand
3289,2,5,11,1,4,0,Nothing in hand
3290,4,4,3,3,12,2,Two pairs
3291,13,12,11,1,8,0,Nothing in hand
3292,3,3,9,10,7,1,One pair
3293,11,10,12,3,3,1,One pair
3294,5,4,12,3,8,0,Nothing in hand
3295,6,9,6,4,7,1,One pair
3296,3,2,10,6,12,0,Nothing in hand
3297,8,10,2,2,6,1,One pair
3298,6,11,9,3,10,0,Nothing in hand
3299,13,1,3,2,4,0,Nothing in hand
3300,6,12,4,5,4,1,One pair
3301,6,13,4,1,4,1,One pair
3302,7,1,1,4,13,1,One pair
3303,8,13,2,9,12,0,Nothing in hand
3304,12,4,13,2,1,0,Nothing in hand
3305,10,13,9,13,9,2,Two pairs
3306,12,2,9,9,4,1,One pair
3307,13,1,9,4,10,0,Nothing in hand
3308,3,13,3,9,8,1,One pair
3309,8,11,7,10,3,0,Nothing in hand
3310,9,1,6,10,12,0,Nothing in hand
3311,9,3,1,2,3,1,One pair
3312,8,4,9,12,2,0,Nothing in hand
3313,7,9,3,6,3,1,One pair
3314,4,10,11,3,12,0,Nothing in hand
3315,5,4,3,9,11,0,Nothing in hand
3316,2,4,13,5,4,1,One pair
3317,9,10,4,8,11,0,Nothing in hand
3318,8,2,3,12,13,0,Nothing in hand
3319,5,13,12,5,13,2,Two pairs
3320,2,11,1,9,11,1,One pair
3321,8,12,7,9,13,0,Nothing in hand
3322,11,2,10,2,12,1,One pair
3323,13,8,6,12,6,1,One pair
3324,4,5,13,1,11,0,Nothing in hand
3325,9,12,2,10,6,0,Nothing in hand
3326,3,1,6,10,7,0,Nothing in hand
3327,4,1,3,12,6,0,Nothing in hand
3328,2,11,7,11,1,1,One pair
3329,5,9,7,5,5,3,Three of a kind
3330,2,11,5,7,7,1,One pair
3331,3,3,12,2,4,1,One pair
3332,12,7,2,1,5,0,Nothing in hand
3333,11,2,9,7,12,0,Nothing in hand
3334,8,7,7,5,1,1,One pair
3335,7,9,1,12,6,0,Nothing in hand
3336,1,1,2,3,10,1,One pair
3337,13,8,12,12,13,2,Two pairs
3338,1,9,3,13,4,0,Nothing in hand
3339,13,3,10,3,2,1,One pair
3340,10,12,12,7,9,1,One pair
3341,8,9,3,2,3,1,One pair
3342,5,13,10,12,11,0,Nothing in hand
3343,12,13,12,9,12,3,Three of a kind
3344,8,5,7,11,9,0,Nothing in hand
3345,6,9,3,4,8,0,Nothing in hand
3346,12,8,10,5,13,0,Nothing in hand
3347,4,9,2,10,12,0,Nothing in hand
3348,8,13,9,7,6,0,Nothing in hand
3349,10,6,10,2,13,1,One pair
3350,5,5,4,11,3,1,One pair
3351,5,8,3,12,6,0,Nothing in hand
3352,10,12,3,9,1,0,Nothing in hand
3353,11,8,6,5,13,0,Nothing in hand
3354,1,6,12,7,11,0,Nothing in hand
3355,7,2,6,13,2,1,One pair
3356,1,12,3,5,4,0,Nothing in hand
3357,12,4,5,8,1,0,Nothing in hand
3358,4,10,8,8,11,1,One pair
3359,3,6,7,4,6,1,One pair
3360,4,3,10,2,5,0,Nothing in hand
3361,5,12,12,13,1,1,One pair
3362,11,5,3,7,2,0,Nothing in hand
3363,5,8,11,7,10,0,Nothing in hand
3364,10,8,5,12,3,0,Nothing in hand
3365,5,7,8,6,7,1,One pair
3366,6,11,7,12,2,0,Nothing in hand
3367,7,10,1,13,2,0,Nothing in hand
3368,11,7,4,13,4,1,One pair
3369,7,13,9,12,4,0,Nothing in hand
3370,6,9,2,9,2,2,Two pairs
3371,13,12,1,2,7,0,Nothing in hand
3372,11,12,4,4,9,1,One pair
3373,9,3,11,10,3,1,One pair
3374,3,6,11,4,13,0,Nothing in hand
3375,7,7,3,11,12,1,One pair
3376,6,9,13,7,6,1,One pair
3377,4,2,5,7,13,0,Nothing in hand
3378,13,3,9,4,11,0,Nothing in hand
3379,1,4,11,5,11,1,One pair
3380,11,6,4,8,9,0,Nothing in hand
3381,6,8,11,9,9,1,One pair
3382,12,9,2,13,1,0,Nothing in hand
3383,7,2,8,7,4,1,One pair
3384,6,12,3,10,13,0,Nothing in hand
3385,13,4,8,1,10,0,Nothing in hand
3386,4,13,8,2,7,0,Nothing in hand
3387,13,12,10,9,8,0,Nothing in hand
3388,11,6,6,1,10,1,One pair
3389,13,9,6,9,7,1,One pair
3390,2,5,9,7,2,1,One pair
3391,12,2,9,13,8,0,Nothing in hand
3392,13,6,8,7,12,0,Nothing in hand
3393,8,6,8,11,10,1,One pair
3394,9,1,5,8,1,1,One pair
3395,10,2,10,3,7,1,One pair
3396,3,12,7,1,1,1,One pair
3397,12,6,6,4,3,1,One pair
3398,11,2,11,9,13,1,One pair
3399,12,6,9,1,4,0,Nothing in hand
3400,2,2,4,3,12,1,One pair
3401,1,2,13,5,4,0,Nothing in hand
3402,12,2,7,10,9,0,Nothing in hand
3403,4,11,12,7,5,0,Nothing in hand
3404,13,6,11,6,12,1,One pair
3405,2,4,9,2,4,2,Two pairs
3406,5,3,2,8,6,0,Nothing in hand
3407,4,6,4,5,11,1,One pair
3408,8,2,2,8,8,6,Full house
3409,1,6,7,1,13,1,One pair
3410,3,9,9,5,4,1,One pair
3411,1,4,5,9,11,0,Nothing in hand
3412,5,1,2,3,12,0,Nothing in hand
3413,6,13,7,12,2,0,Nothing in hand
3414,8,9,1,5,8,1,One pair
3415,4,9,2,3,4,1,One pair
3416,1,2,5,9,4,0,Nothing in hand
3417,12,7,12,5,4,1,One pair
3418,1,8,3,3,10,1,One pair
3419,12,13,6,11,10,0,Nothing in hand
3420,4,6,10,12,1,0,Nothing in hand
3421,11,12,3,1,4,0,Nothing in hand
3422,8,2,5,13,10,0,Nothing in hand
3423,6,8,9,2,4,0,Nothing in hand
3424,8,13,11,8,12,1,One pair
3425,10,3,7,9,2,0,Nothing in hand
3426,13,5,3,7,2,0,Nothing in hand
3427,4,6,12,13,9,0,Nothing in hand
3428,2,10,9,8,6,0,Nothing in hand
3429,12,11,9,4,7,0,Nothing in hand
3430,10,6,9,5,7,0,Nothing in hand
3431,6,3,3,3,12,3,Three of a kind
3432,13,11,10,3,8,0,Nothing in hand
3433,5,6,3,9,7,0,Nothing in hand
3434,7,1,6,5,13,0,Nothing in hand
3435,13,12,9,5,9,1,One pair
3436,11,8,13,1,1,1,One pair
3437,12,6,10,8,8,1,One pair
3438,1,2,4,12,1,1,One pair
3439,11,12,5,3,10,0,Nothing in hand
3440,6,3,12,2,11,0,Nothing in hand
3441,2,5,12,9,4,0,Nothing in hand
3442,5,6,3,1,13,0,Nothing in hand
3443,10,13,1,5,7,0,Nothing in hand
3444,10,11,7,8,8,1,One pair
3445,12,10,9,4,13,0,Nothing in hand
3446,2,10,11,8,3,0,Nothing in hand
3447,13,11,4,4,8,1,One pair
3448,10,4,11,5,11,1,One pair
3449,12,4,5,3,13,0,Nothing in hand
3450,11,5,9,4,6,0,Nothing in hand
3451,11,12,10,1,7,0,Nothing in hand
3452,13,10,5,4,10,1,One pair
3453,4,9,12,7,3,0,Nothing in hand
3454,6,1,4,13,8,0,Nothing in hand
3455,10,2,9,6,5,0,Nothing in hand
3456,11,6,1,11,3,1,One pair
3457,1,7,3,6,3,1,One pair
3458,13,12,9,4,13,1,One pair
3459,7,8,13,1,8,1,One pair
3460,1,12,4,2,1,1,One pair
3461,6,13,6,9,12,1,One pair
3462,7,5,2,8,10,0,Nothing in hand
3463,9,9,8,11,4,1,One pair
3464,5,4,11,12,12,1,One pair
3465,7,5,13,4,8,0,Nothing in hand
3466,6,2,6,9,4,1,One pair
3467,11,12,13,4,9,5,Flush
3468,2,3,11,13,6,0,Nothing in hand
3469,6,2,9,1,5,0,Nothing in hand
3470,10,3,1,1,3,2,Two pairs
3471,4,9,3,10,10,1,One pair
3472,9,1,13,7,1,1,One pair
3473,8,4,12,11,13,0,Nothing in hand
3474,6,10,6,2,13,1,One pair
3475,12,1,8,8,12,2,Two pairs
3476,12,6,5,9,1,0,Nothing in hand
3477,12,5,6,10,11,0,Nothing in hand
3478,2,9,13,11,4,0,Nothing in hand
3479,4,3,8,3,5,1,One pair
3480,9,1,7,3,8,0,Nothing in hand
3481,12,8,1,11,5,0,Nothing in hand
3482,6,3,9,13,1,0,Nothing in hand
3483,9,11,12,1,2,0,Nothing in hand
3484,12,13,9,4,12,1,One pair
3485,8,3,8,9,7,1,One pair
3486,9,7,2,12,7,1,One pair
3487,4,6,3,6,5,1,One pair
3488,4,5,3,2,12,0,Nothing in hand
3489,6,7,8,6,12,1,One pair
3490,4,6,7,6,9,1,One pair
3491,8,3,5,1,2,0,Nothing in hand
3492,12,11,2,8,11,1,One pair
3493,3,13,13,5,5,2,Two pairs
3494,3,2,7,2,7,2,Two pairs
3495,10,5,4,2,4,1,One pair
3496,8,1,11,3,12,0,Nothing in hand
3497,5,8,6,12,4,0,Nothing in hand
3498,13,5,11,13,7,1,One pair
3499,1,11,13,6,13,1,One pair
3500,10,7,1,6,5,0,Nothing in hand
3501,11,1,8,13,3,0,Nothing in hand
3502,13,10,3,7,8,0,Nothing in hand
3503,5,5,8,12,12,2,Two pairs
3504,2,3,3,6,6,2,Two pairs
3505,3,5,8,2,4,0,Nothing in hand
3506,6,6,1,3,3,2,Two pairs
3507,12,11,2,11,4,1,One pair
3508,10,3,11,13,7,0,Nothing in hand
3509,12,13,8,6,6,1,One pair
3510,5,1,10,10,4,1,One pair
3511,9,8,4,3,12,0,Nothing in hand
3512,1,6,11,13,8,0,Nothing in hand
3513,9,7,9,2,3,1,One pair
3514,9,8,9,12,8,2,Two pairs
3515,1,12,6,2,10,0,Nothing in hand
3516,11,3,12,7,4,0,Nothing in hand
3517,11,7,8,7,10,1,One pair
3518,5,3,12,5,3,2,Two pairs
3519,2,5,11,10,12,5,Flush
3520,12,4,13,2,1,0,Nothing in hand
3521,5,9,7,7,11,1,One pair
3522,7,12,3,4,4,1,One pair
3523,5,1,6,2,2,1,One pair
3524,9,9,11,4,13,1,One pair
3525,9,9,12,1,2,1,One pair
